player_index,username
0,91332t
1,aecr2
2,af55kfn
3,aggrooma
4,al3ph0x
5,alf_pacino
6,alimck
7,alpaton
8,alphapuft
9,ananthmm
10,andre151191
11,arlojames
12,ashlearn
13,aubergejerbourg
14,bakebeanz
15,bakerboy77
16,bauernopfer2
17,bills7777
18,bishopsfinger2
19,blim696969
20,bobnicolle
21,bren1970gsy
22,buddybro1234
23,bulgyhawkh
24,cahnaltis
25,catiedavid
26,cely0405
27,charlief747
28,chessj78
29,christornacl
30,chuckl3s1706
31,cmibrierley
32,craymond13
33,crazypatrasie
34,c_j_hall
35,dabam
36,daddarules2006
37,danibee2
38,danieljsantos94
39,dantroop
40,dave_miller
41,davidwoodlandgsy
42,ddg21
43,dejimmyg
44,determinedmink
45,dineshiyngaran
46,discotuktuk
47,dominicburnard
48,doubleb75
49,dreadjemnbe
50,dylan2504
51,enfarn
52,enrokrrot
53,farentes
54,fchristou-moore
55,finpatterson1136
56,finplayer14
57,fjmevan
58,fredforsure
59,freitasisascrub
60,friskehh
61,fub1967
62,garycarlsen2020
63,gemm2k2000
64,genaro42
65,gianluca121104
66,gingerngrey
67,giraffe2382
68,gman201124
69,gmwannabe123
70,grandmalel
71,greg4845
72,gsherb09
73,gsyguy
74,guyepicveryowo
75,hammakhaldi
76,haribosam
77,harrisonbradshaw
78,hedge05
79,hibzie
80,honoranderson
81,hypocrite_dog
82,igor1293
83,ireallyhatethefrench
84,i_oio_i
85,jackroedel
86,jacrisp411
87,jerehelander
88,jess1013
89,jimmio7
90,jlyoung1991
91,jonedsall
92,joshf1007
93,joshgsy
94,joshiet123
95,js1819
96,jsebire
97,jspicer
98,jstngatmaitan
99,k1o0n
100,kaigarnham
101,kaileenaz
102,kesh100
103,kingkyammerz
104,klodrik1
105,konleachiwa
106,leonhoward
107,leware0
108,libbylet
109,ljd9
110,lucasmez
111,lukakugsy
112,lydcol
113,macallett
114,manortavern
115,maria_clara
116,markmam
117,mdujardin
118,mechlob
119,mil_75
120,mintcheesecake
121,mkchess225
122,mmzy
123,mrmmu
124,mudb
125,mybishophurts
126,n4ffy
127,nandy2232
128,nathan10290
129,nerdgoggles
130,newsom
131,nikehmann
132,nikesc
133,noobslayerrrr
134,notgoodatchess010
135,ojp2431
136,opicka2020
137,paulbugden
138,pawnto_e4
139,penguinjoe
140,per_jansson
141,petesh
142,pfmartin
143,philipsillars
144,philomather
145,plumbow
146,pmbbrierley
147,pottera011
148,proteuskz
149,realambition
150,ricsydney
151,robebra
152,rodrednose
153,rojoe2816
154,sc00terrat
155,seb1224
156,sharpie1981
157,sjheggs
158,slytendencies69
159,sophierkm
160,starlord-gbg
161,steve-m
162,stevedarlow
163,steveym_gsy
164,stuckonarock7
165,sznjaichelzon
166,tamspraggins
167,tarquinblake26
168,tcham96
169,thehighbeach
170,thekirkster1986
171,tiesu
172,tillie_morris
173,timbo242
174,timhigg
175,tom40151
176,tomo1550
177,torijoro
178,travellerofjungles
179,true_donkey
180,tveillard
181,uri_caar
182,verymuchdeadzombie
183,voluptuosidade
184,war-like-thunderbolt
185,whitesugarr
186,williamwallaceheart
187,ykeehc
188,youcanbeatme20times
189,ywei55
190,zinzanbubba
