player_index,username
0,0lavnt
1,11thlord
2,1grandmasterbruce
3,1regicyde
4,3xck
5,42757
6,472bmt
7,aaadokwei
8,aadharagarwal
9,aatexes
10,ababio
11,abashun
12,abcyonow
13,abdallahbawah
14,abdullahdemir72
15,abdulmateen0226
16,abele123
17,abjay7
18,aboma7
19,acbutterfly
20,acedeception
21,acezerodeaths
22,achumboro
23,adarkz
24,addai01
25,adjei29
26,adnan712
27,adofo
28,aduamah
29,adubos
30,adugeorge
31,aduuna
32,adzitso
33,aeby
34,afcole
35,afenyo13
36,afi_kodjo
37,africanfuturist
38,africanhunter
39,africanking101
40,afrikanaans
41,ahmed199351
42,aimgloball
43,aishaagha
44,aj2120
45,ajebowills
46,akashi5
47,akl_joe
48,akowuah
49,akwasi233
50,akyh
51,alanfrazeto80
52,albertdkpllh
53,albert_252
54,alexispinto
55,alfredyaw
56,alima5s
57,alonehenry
58,alphapalco
59,alphaxsalt404
60,amakyeharden
61,amalinze
62,amarkineboy
63,ambrosejr
64,amegah
65,amitmk
66,amos_aidoo
67,amvladimere
68,anasfalcon
69,andrescassinello
70,annan_kojo
71,anyib
72,aquilat
73,aries_francis
74,arun11919
75,asaramenra
76,ashesichessclub
77,asterixgh
78,atikpui7
79,atmrbossey
80,atojones
81,awkwardemotion
82,awmmboy21
83,ayahusseinagha
84,aycee_nahnah
85,ayeakupepe
86,ayisibediako
87,azumaazuma
88,b-pee
89,badjasmine
90,bakrasi
91,base1988
92,bassicallybb
93,batsaaza
94,bbroman
95,benbask332
96,beneb1
97,bennis1977
98,benny_blinks
99,benokishere
100,benoky
101,benzyno
102,berimasefa
103,bernardmwinyoglee
104,bestoutoffive
105,bhodidalton
106,bigbag27
107,bigbaz45
108,bigdoint
109,billybean2
110,binladen9
111,bkodaz
112,blackjake0
113,blackstar03
114,blaknightx
115,blarckat
116,blkice24
117,bn1462
118,bombo420
119,bonneylac
120,borkyjason
121,boscodicaprio
122,bosom1k
123,bossbaku233
124,braajoe
125,brefogyamera
126,brightmayer
127,brikisa
128,brilliant_chesser
129,bugrock
130,burney13
131,caisey
132,canwelat
133,cap30
134,cap993
135,capablejoy
136,capn_cole
137,carlpoppaavag
138,cassfears
139,cassieoh18
140,cegerr
141,cephasv
142,chaland
143,charbro2
144,charlesboyle11
145,chesshene
146,chessmants3
147,chesstog4
148,chess_puzzler_000
149,chess_tactician_000
150,chiefjab
151,chinkata72
152,chips162
153,chr_amh
154,ciandrew73
155,cicilartey
156,cletusatiim
157,clinton616
158,commonsince
159,craziest8
160,crazycastana
161,cricris
162,crosher14
163,cryslerpower
164,csbello
165,cubesly
166,curlyfarmery
167,dadaboat98
168,dadajoe18
169,dahyper
170,dangales
171,daniel6796
172,danielofori335
173,darkknighttx
174,darksightkellar
175,daroo00
176,davidnsiahpasha
177,davidquartz
178,dbiggestdave
179,dealer1q
180,deenilai
181,deezy73
182,dehshini
183,deladem
184,delah0
185,delalio
186,delalipearce-kporha
187,dennisay
188,denofwill
189,deryjesse
190,dexter265
191,de_phantom
192,dhiraj_1223
193,dicksonprince
194,didirush
195,dimpsy
196,djarley
197,djay35
198,dloveboss
199,dnnnyi
200,donatello0
201,donduci
202,donfade
203,donmicky
204,donsonic
205,doopenight
206,dootzy0
207,dorlish
208,drapoptosis
209,drcrack
210,dreamingharp
211,drewandy004
212,drippydrop
213,drjy
214,drpanee
215,drpaulie
216,dvzxxx
217,dynamobin
218,e5ans
219,eamensah
220,eapire
221,earl-jay
222,eastwind420
223,ebojacky
224,eddyorbz
225,edemseshie
226,edwardvandrews
227,ee-k
228,einsteingideon
229,electriocyan
230,elikemattah
231,elormnyale
232,elrose1
233,elvisappoh
234,el_shemu
235,em2580
236,emeralddust01
237,emmakel
238,emmanueleffah
239,emmanueloman
240,emortoo
241,enbee8
242,enchill
243,ennart
244,ernest_adokwei
245,erospera
246,ethel_ema
247,etornamyao
248,evangelappiah-dankwa
249,evansagblevor1
250,exhousia
251,eyram3451
252,eyram_john
253,ezanetor
254,fadik6
255,faharry101
256,falconbird0
257,famouscrypgh
258,fantinii
259,faresnabhan
260,farhano1234
261,fda
262,fearless775
263,fearme0406
264,felixquansah
265,fhblay12
266,fiifijd
267,fiifi_ghmillionaire
268,flantastic_flan
269,flip-og
270,fokinell
271,fordkevin
272,forever09
273,fosu_knight
274,frankampadu
275,franya5
276,frederickashiabor
277,frigidblade7
278,fykto
279,gabby0_sama
280,gambit180
281,gamer1005
282,gawvi
283,gbeke
284,gbetsatsu
285,genius_chesser_101
286,geniuz1122
287,georgeyyy1717
288,gessss
289,ghodha
290,gianlucaramella
291,gideon89
292,giff777
293,giftyfed
294,giogio64
295,gj_ansah
296,gleb1994
297,gmhboadugh1
298,gms777
299,gm_joelklo
300,goddy99
301,goddynanamens
302,goldenstarboy
303,goldfinger47
304,goonersubra
305,gospelfred
306,goverdhan08
307,governor44
308,grandmasterb225
309,greyfoxbox
310,guineldissidents
311,gusseyy
312,guy2759
313,gyedu
314,hadijah7
315,hailceasar97
316,hallfred
317,hanz_nii_ablorh
318,haqq199
319,harrie3
320,hattenet
321,hawary60
322,henrydegrt
323,henrydegrt32
324,hepcat83
325,heshamalisalem
326,humbledeclipse
327,icecoldkofi
328,icecreaman2
329,iffypop
330,ikb4r
331,ikecarleo1
332,illskillx
333,imqueensgambit
334,ineedthis
335,inortey
336,irnmn6
337,is144rael
338,isaacato
339,isaachonu
340,isaduss
341,isayg007
342,ivanchukstudent
343,iwnda
344,izrailjasir
345,izraylay
346,j-beau
347,jaberl1
348,jackietee
349,jaedag
350,jamham143
351,janewolfe
352,jayjamal
353,jaymal3488
354,jeezyalive
355,jelanifoster4
356,jenadu
357,jerian7
358,jimmyc89
359,jje_10
360,jkcg87
361,jmanutawiah
362,jnaqaddo
363,jnrgh
364,joekens
365,joelnanakwaku
366,joey2pluto903
367,joeyapzor
368,johnmensah
369,johnseadzi4
370,jose33561
371,joshanshunjaiy2006
372,josh_sel
373,josjua1234
374,jossy105
375,jsarps
376,jsolarays
377,just-2-ice
378,justiceandoh
379,k-azor
380,k6trading
381,kalicosummers
382,kalysto515
383,kaneshieninja
384,kayay25
385,kboat14
386,kbrachie
387,kdinkrah
388,kdomzy
389,kekelsxiv
390,kekotoprak
391,kelvinlarbi
392,kenneth202
393,kessekofi86
394,khani12
395,khaphuy
396,khaxtro
397,khemteelvis
398,khiddfinch
399,kidiaba
400,king7406
401,kingcoffie
402,kingkiad45
403,kingkiller6ix
404,kingkojh
405,kingloekie
406,kingmeeech
407,kingmenz
408,kingzkidbio
409,kitnes
410,kjdaa_2329
411,kk18teen
412,kkj1978
413,kkonfucius
414,kksquad
415,kl3rimiah
416,klenam333
417,kmare
418,kniteforu
419,knysbart
420,kobby88
421,kobbyyalley
422,kobby_kay
423,kobistonenyame
424,kofi436
425,kofiabankwa
426,kofiagyekum
427,kofidark
428,kofidennis2001
429,kofifrimpongofori
430,kofiplans
431,kofivey
432,kojo01
433,kojo27
434,kojoagbesi
435,kojoayirebi
436,kojoscutch
437,kojo_stunner
438,konat
439,kourtneyslove1
440,krayliii
441,krishna130181
442,kruana
443,ksk12bq
444,ksmoney12
445,kunzen
446,kurkles1
447,kuvordo
448,kwaa24
449,kwabena923
450,kwabenamensah
451,kwadwofosu123
452,kwameaddy
453,kwame_jona
454,kwarteng
455,kwasam
456,kwasibasi
457,kwasiofori-anti
458,kwasit
459,kwekue
460,kwekupentium
461,kweku_sacks
462,kwesiessah
463,kwesi_jnr
464,k_otuo
465,labman20
466,laurensezo
467,lavishiguana
468,lawfish
469,layno64
470,ldenovice
471,lebatea
472,lee_xiii
473,leifhp
474,lemanjnr
475,leslie_houston
476,linux138
477,lionrex
478,lolm83
479,loothefork
480,lorddsy
481,lore2590
482,lorenzomake
483,lutaboyy
484,lutfizivaneli
485,m434
486,madeinafrica
487,magicplayer111
488,magyeman
489,mainprice
490,maktub_tpr
491,mambisi96
492,manchere
493,mandaloriaa
494,maniac_chesser_0005
495,maniac_chesser_1
496,maniac_chesser_1015
497,mannymcstorm
498,mannyrules10
499,mannyrules11
500,mannyrules12
501,marfoh
502,mariamabuk
503,martinkojo
504,masongq
505,mate_becomes_you
506,mathilde_ubtn
507,mawushi
508,maxbarclays
509,maxipolo
510,maxwellagyemanduah
511,mazberax
512,mbalakh
513,mcbrown22
514,mc_m87
515,mdolapo
516,meek8110
517,melvinfiifi
518,mettawarrior
519,mfattal
520,miguelbawuah
521,mik040813
522,mikwame
523,mlayimsertoluters
524,mm88882
525,mns95
526,mnsarfo
527,moira95
528,monstarmania
529,morklee
530,motsask
531,mrtonyegyiri
532,mrwest1
533,mrzola
534,mr_grunitzky
535,ms7116
536,mtabu
537,mtbrl123456789
538,muffyarrini
539,muhaa23
540,muridot0
541,muskaan2008
542,mvmanzini
543,mythical_hat
544,mzerlly
545,m_phil
546,naaabea
547,naabbisco
548,nab_amos
549,nalikem27
550,nanaerxn
551,nanahex
552,nanak123
553,nanasam
554,nanayaa
555,naroshamster
556,narrowgiant
557,nathanielwelbeck
558,nehmyrob
559,nenyiampa
560,nightmare419
561,nii100
562,niiamenson
563,niidjan
564,niikpani
565,niilaryea
566,niinii7
567,nii_oblyt
568,ninaeee111
569,nkayyy
570,nkrumahist
571,nlaryea
572,nmicah
573,noaah08
574,nobbie03
575,nodartey
576,norak19
577,numbers43
578,numbers743
