player_index,username
0,1clairebear
1,753-vrm
2,acezoo
3,achim14
4,acliclas
5,actorboi2004
6,adamrocca
7,adigib
8,advantagelucy
9,africanlettuce
10,agg69
11,agius75
12,ajedrez_80
13,ajm0220
14,alechesso2
15,alexcarr08
16,alexdlion
17,alexthedad29
18,alexthegreate
19,ambrada
20,andrews7865
21,andy999
22,andysene
23,antsche
24,arune10
25,aryanthecool1
26,asd038
27,ashimbs
28,ashtonjames69
29,ashxvella
30,aubergineplatypus
31,aydenvinales13
32,ayjayes
33,bcaetano95
34,bellabaldachino
35,benrobertspatterson
36,black8344
37,blerimi
38,blorki
39,bobbyfischerjr6
40,bobmorthon
41,botskimo
42,brgy_tanod_na_mabait
43,cacarjakin
44,calpe1704
45,ccardona26
46,cello4chess
47,chessglitch264
48,chrishenny
49,chriso1294
50,cowboyketchup
51,craggen02
52,craigp98
53,curlsntwirls
54,damarch
55,dancinglover
56,dannysnakester86
57,darkmanzana1
58,darter05
59,davidgib
60,dayanp67
61,dayphew
62,debbiemb
63,destall20
64,djee-djay
65,drache631
66,dvdmm123
67,dyeonize
68,eapap
69,ecasciaro
70,efs1957
71,elcata7
72,ele-phant
73,elscouserr
74,el_guitar_man
75,emzlily
76,erinandrades
77,ernestpallas
78,escadre_commode
79,evan3578
80,evgeniyforostovets
81,feanor8664
82,fishachips
83,flaggnaeher
84,francis899
85,frikst93
86,fulcrumv
87,fusillis
88,gashi07
89,gg37
90,gianin
91,gibdemon
92,gibraltardodo
93,gib_stu
94,glopez1986
95,golivero
96,gonzalommozo_1
97,gorg2
98,gphughes
99,grannymum
100,greatmaz
101,guanacogringo
102,guliganx
103,gullga
104,hansjuniorvb
105,harrymaloney20074
106,hellofrendo
107,hermtheworm
108,horginson
109,huron94
110,inkdarkchess
111,itziklevy
112,jamesscott7891
113,jamiemc3
114,jamiemc46
115,javale1997
116,jeremygersh
117,jezreel2010
118,jkaram18
119,jlo1420
120,jmruiz30
121,john_guzman
122,jokoolo15
123,jonathanamasse
124,jpreco
125,jude1987
126,judebenneworth
127,julian7028
128,justgiveupyouwontwin
129,jwarwickk
130,kapivarowski
131,karl1704
132,karlxciruela
133,kayray1
134,kcervan
135,kduarte
136,kebazick
137,knighttemplargib
138,koelnpatriot
139,ktu_1985
140,kushnertodd
141,leahpg
142,learner125
143,leohide
144,lewisvictor2003
145,light-fire
146,linnep
147,lirazx
148,lochglow
149,loeenenberg
150,lordcoxswain
151,ludwig32
152,luisaarno
153,magcrossways
154,makychang
155,mangostreifen
156,marcolattarulo
157,marekmahdal
158,margot96
159,mariezz
160,markcanepa
161,mascrapone
162,mcflyfocker
163,miapeach
164,michael658
165,michaelprescott62
166,michu234
167,miff8
168,mjkirwan
169,mk4akash
170,momo2008
171,mrwacko
172,myko96
173,nareshsad
174,nathan90s
175,neilb81
176,neilserra1979
177,neilvictorr21
178,neo_1king
179,neo_1world_1king
180,netherfortress
181,newbie15000
182,ngreen8
183,nikitalysenko
184,no1sniper
185,obmobm
186,odato
187,oliviarp
188,oocapmanoo
189,orsito
190,ownball
191,paeppae
192,pascual98
193,pillarofhercules
194,pinhas84
195,pjmorgan999
196,polyiamond
197,quigonsng
198,ravensness
199,razzlebasileus
200,rcaiiin
201,rdeaves
202,remashiach
203,remortal89
204,renzolee
205,retanna
206,ribdoctor
207,rispoliantonio
208,ritzmelwani
209,rocketleagueislife
210,russianchessegg
211,ryandean21
212,sachagatenby
213,samgib
214,sandrowax
215,saray1985
216,saschariaz
217,satansbar
218,satorinaut
219,schorchi
220,schwallus
221,sgtsnikkers
222,shamayscheff
223,shanus2000
224,shaunfromgib
225,shundamental
226,skills96
227,sownata
228,speedcool1
229,steveworld
230,sti002
231,stratoprince
232,stratos0
233,supermaxibillion
234,sweetboi1220
235,sweet_sweet_bung
236,szarzanak
237,tambru
238,tatobro
239,taughtduke
240,terie54
241,terrylorett
242,thealyxmartinez
243,theweem
244,the_egg_came_first
245,thomasaterfa1
246,tonydavidson
247,tonyh44
248,tramos55
249,treeofbees
250,triny1111
251,tsbubuuu
252,tufluq
253,tunicam
254,ucantoutfoolthefools
255,vanoug
256,vilandes
257,viveksadhwani13
258,voyaperderylosabes
259,wassylli
260,whitelion123
261,whynotplay77
262,williamcolton
263,willjamesg
264,xarloschess
265,xt-500
266,yassin568
267,yazsers
268,yooc1
269,yzuf
270,zcancosar
271,zhekawds
