player_index,username
0,2mattak
1,4bong2rip0
2,abysmalocean
3,adadat
4,aens86
5,ahmed78_2022
6,akirleis
7,alexamzn
8,alexandergi
9,alexcoquard
10,allabout600
11,alonebigwhale
12,altruist234
13,amchich
14,amolrathore
15,amondsen
16,anacreontedacorio
17,angutivikr
18,anne1809
19,annomxmn
20,apuplatou
21,aputsiaqlindhardt
22,aqbballdestroyer
23,aqqalu96
24,arjun95
25,arnakkuluk
26,artsyfartsy6964
27,aryanman
28,asmodaeusd
29,asshol45
30,atanarjuat-salty
31,avbozal
32,az_1807
33,bachisama
34,barkoft
35,baron-von-rhubarb
36,bgeisler
37,bigpapadank
38,billbob762
39,bilthy
40,birtheronnhornbech
41,blitzen_reindeer
42,blitzking22
43,blunderboy1818
44,bockfotzngsicht
45,bongjunkie
46,bou86000
47,broens
48,buniscar34
49,carmanalac
50,carter1co
51,casparofv
52,casperthecasper
53,celt95
54,cgcgators
55,chanchopaalu
56,chaostrix
57,cheeseburgerrrr
58,chess58245810
59,chessaroundtheworld9
60,chesszool567
61,clarkwg
62,colonelbombom
63,corinne888
64,cornelius0
65,coughup
66,crackdaddy
67,danielhart93
68,daniridoo
69,darthjesias
70,davijekp9
71,der_herrscher
72,dmitriychislov
73,dmitry123456
74,dogdave1
75,dogman444
76,donlucius
77,drewchess19
78,drsantaclaus
79,dr_backfire
80,earlymorningrain
81,egorbeliy
82,elfinks
83,eliott9323
84,elisasen
85,ellipsis88
86,elmoandbigbird
87,eraserhead
88,erik_brandt
89,erninnguaq
90,etxeba00
91,far_f_out
92,fblomstein
93,fernsfolly
94,festivefleece
95,ffruhhling
96,fireguy255
97,fmgr
98,frarpeto
99,fredd_42
100,fromgreenland
101,frozenstar
102,fylion
103,gabsej
104,gadkaree
105,gejoha
106,generation_hex
107,geometrist
108,gleamingoatmeal
109,glutamatealpha
110,grandterr
111,granitequarryman
112,gugux6
113,gulpp
114,hafre09
115,halfkksb
116,hamtie
117,haviskam
118,hcdahl
119,headpiecajingaqanngi
120,hegelundmiki
121,hhharb7
122,hochukakpele
123,holyvus
124,horosensu
125,humbleg69
126,idkhowtoplaychess03
127,idlecuriosity
128,iilliilliillli
129,ilaaila
130,iluvhotmail
131,im5yearsoldcantthink
132,impresza
133,inoqutkristensen
134,inuits
135,inunnguaqsandgreen
136,itiiteq
137,ivaaq
138,jaakoors
139,jaimelopez99
140,jamesreston
141,janeyre
142,jemeltraigo
143,jglez2020
144,jjsandgreen
145,jkkgl
146,jnic1982
147,johnlaw14
148,johnnynapalm7712
149,jonelster
150,jonhunt7
151,jonkekarlberg
152,joscharf
153,jowian
154,jusupkaban
155,k2harry
156,kaguyagat
157,kalaaleqnps
158,kalaaliuvunga
159,kennydavidsen
160,kenzoqaq
161,kevinfontain
162,kingmilwaukee
163,kista89
164,knightmare2299
165,kon_fu_tse
166,kujalleq
167,kununguak
168,kuroi79
169,labambala
170,larsfh
171,lassenrregaard
172,ldldldldldl
173,lemonke12345
174,leony2020
175,liamjoobnoob
176,lokere
177,lucaskere
178,ludoricky
179,luiseduardo49
180,luizxavi
181,luminectar
182,lusukusu
183,lux666999
184,lzpredator
185,m00nter2k
186,mabusemd
187,makehell_tal
188,makeneno
189,manbatforever
190,maniitsoq
191,maqe87
192,marlonpr
193,marthinlvstad
194,mbg4m3s
195,medtner2
196,megaman248
197,megapawn38
198,melchior1
199,melottt
200,meneerbeerdewitte
201,menton
202,merove89
203,mfunch62
204,mgraizon
205,michaud85
206,mickskarup
207,mikaelerikl
208,milogudmundur
209,minikisme
210,miniknielsen
211,miwoho
212,monarota
213,moritzzubehr
214,mregeaj
215,mrmeo
216,msinuk
217,mukuok
218,mulder67
219,munru
220,musaczi
221,muscletonjeurobert
222,nard479
223,newie
224,newpoem
225,nickottosen
226,niels094
227,nikolaiv85
228,nirotal
229,nishi111x
230,njkleist
231,nkgiger
232,nobo74
233,nojuice5
234,norval
235,nucleat
236,nunuu1
237,nuukje
238,oeidpusrex
239,opn4a
240,otto_katz
241,oulj
242,paarthurnaxpartysnax
243,pauliw
244,pawelixpierwszy
245,peibbol82
246,petefoll123
247,pettit32
248,philantrop1st
249,philippva77
250,pichonero72
251,platou00
252,pobo96
253,pony-pepperoni
254,poopeatingmonkey
255,poulkattu
256,pratyahara
257,privatbss
258,qiteraq
259,qkwe
260,quee0950
261,rajaonlinegbccom
262,rammooq
263,rasmusdk
264,reza-m57
265,rfrost12
266,rift_garage
267,rikaine
268,roach69
269,rob_prem
270,rometa
271,roxer23
272,runelund
273,sakkariaschristensen
274,salgir
275,salikaronsen
276,salikchessmaster64
277,salikg
278,samuvski
279,santaklausisready
280,santasgambit
281,sarcasmunderfined
282,sashalatinovic
283,schlumpeschlauber
284,scorb95
285,sebjohansen
286,seereal
287,seppetoni
288,sergeypotter
289,sialc
290,siivaklamer
291,skaksvinet595
292,sl_on
293,soranusgl
294,soso212121
295,sovatn
296,spaisan
297,spyingbarbecue
298,steenrafaelsen
299,steve86nuuk
300,stohlkovich
301,strativari
302,stylishhuman
303,sungartoqappaluartoq
304,supernoobishdude
305,superral
306,sx2323
307,sylvania88
308,tabaillaud
309,taba_8
310,talisman007
311,tamyorza
312,taytaytres
313,templeoftheking
314,thebruhlord
315,thefridgemon
316,thenbr
317,theortaat
318,thorolfff
319,thorsuhr
320,thor_89
321,thunderbirdinn
322,thunderlett
323,thyrex
324,timiusiaq
325,tokatoko1221
326,toke_kd
327,tomasspanish
328,touch_move77
329,tpedersen
330,tripletroubl3
331,trotrotro
332,tsinanfu
333,tulugaq
334,tupilaq
335,tuppi1
336,tuturdu505
337,two-18
338,unapologeticpawn
339,unbranded_crackers
340,urquikuki
341,valentine222karpok
342,van51
343,vd_coach
344,venividivici6636
345,ventana29errider
346,viktorjung
347,vinlight
348,voki1221
349,vvreverievv
350,walltech
351,warnefrit
352,weekys
353,woodlandmagic
354,worlds-worst-player
355,wp_kiku
356,wrongdecisionlife
357,xenoiq
358,xrootx
359,xxmaximaxx
360,yalfalasi
361,yarikudza
362,yxyo
363,zababibo123
364,zeke78
365,zohanist
366,zrink0
367,zurrapilla
368,zxc_cxz
