player_index,username
0,110110110
1,account330
2,allo123
3,alwayshc2
4,amadoudibbajr1
5,amarise
6,amnonbc
7,basrecter
8,bfaal
9,burnmorefire
10,captainpredictable
11,chakqs
12,childishwind
13,chodotron
14,collincrypto3
15,cunha0
16,danutda
17,dav5288
18,davington
19,ebou_d
20,gm_chamalie
21,goanderson
22,gondorchess
23,heceasy
24,herocat7
25,huub1966
26,iampomi
27,ibenyadi
28,jaali29
29,jaybird583
30,krisssss66
31,ksqmbgbjvbmkdqbdvfqb
32,lamba
33,mararembelski
34,mblell1
35,mrfriction
36,muha1
37,muhammeddabo
38,my_name_is_toby
39,ousuboy787
40,pa78
41,pawnpusher2047
42,phokukid
43,pulapaschulke
44,ruudery
45,safitanoway
46,satanluvsyou
47,sumz25
48,tapalapa8
49,tfue1564
50,turbo_2020
51,vagabundo18
52,waxq999
53,weyloj
54,xpim_pim
55,zeph74
