player_index,username
0,ardamahmut
1,arsup7
2,asyiiik
3,bamba_m
4,bansoumane
5,bbff
6,bilali96
7,bino7
8,bintabcm
9,camarabaga0
10,cheesyapplesauce
11,cheobah
12,dotteddoctor
13,drpowittle
14,dumann07
15,elcrackc12345
16,gycha
17,iamnoob247
18,ibrahim17d
19,ibrahima_keita
20,ilyas2121
21,joselito979
22,kaizochesu95
23,kazbi84
24,keitasolution
25,kives420
26,korka123
27,kostya2010
28,lucas_legend
29,matxtam
30,metiny02
31,mohamedkoma
32,msom
33,murizk
34,nasmnogo
35,nazmywalhan
36,oliviergi
37,oliviergiraud
38,ouryhamdalayediallo
39,oyokigvng6
40,petitcon224
41,qutoo
42,schooloflutely
43,serhedi
44,smokethc
45,stgc1987
46,wasabexx
47,whitneysm
48,zedzdead
49,zejtinjav
50,zyad2o17
