player_index,username
0,albertowindhoek
1,alexsstanaccount
2,angocastro
3,antsmarching
4,blauerspringer1998
5,bokombe
6,cagilb
7,cendje
8,dachaa
9,dalelafi
10,fidelobama
11,firstsmiley
12,foxsolo77
13,gemelachica
14,gregtheliar
15,guld_due
16,hollowstove
17,ignaciovito
18,jackvlc
19,janno27
20,japonce67
21,jonasballenato
22,jose9876789
23,jotafar
24,julian197
25,julio7667
26,jzbull2020
27,las-vegas
28,latorre36
29,luisedo12
30,malabo00
31,mehmehmehmehsuchmeh
32,mekoer
33,mfluder9
34,monuga9
35,moyogerardo
36,nachodefelipe
37,nadavhurvitz
38,nduan
39,nieuwbille
40,paul258
41,pedronguema
42,pijuan9
43,pinopink
44,redkiller4
45,sua71
46,tomhewitson
47,tupoikachok
48,vibrantskunk
49,vidadesk
50,whiteagle77
51,whitewater123456
52,yechtum
