player_index,username
0,-kosmas-
1,007king0077
2,00dafni11
3,01000001ris
4,011george011
5,01kyriakoskar
6,01smarter
7,02784
8,08theo80
9,09op09
10,0disseas
11,0dy33ey7
12,0fun
13,0hakunamatata
14,0missam
15,0neself
16,0nick
17,0nikk
18,0xshad3
19,1-spartan
20,101rekoj
21,10annivrom
22,10kdimas
23,10maraki
24,10neas
25,11rizla
26,1212eltar
27,1234563111
28,123a4567b
29,123d896
30,123masterdd
31,123nr
32,1245s
33,12tzigman
34,13a13is1
35,13andy13
36,150cmkoukla
37,150cmkouklara
38,161015
39,1641985
40,1908nikos
41,1950arkadi
42,1977george
43,1987chessninja
44,19kadayif76
45,1a2b3g4d
46,1apostol
47,1asis
48,1bearson1
49,1c4exclam
50,1camera
51,1d2d4
52,1droidshow
53,1eliaspap
54,1eve1
55,1friday13
56,1georgeclouz0
57,1joantriantafullou
58,1ogelglyfadas
59,1pk1
60,1queensgambit2
61,1sthazard
62,1tking1
63,1topiary3
64,1voukkopls
65,1vs1_me_scrub
66,2002anastasis
67,210billy
68,21chess21
69,21george21
70,21lav
71,21wolf21
72,24horses
73,271259emp89
74,280iq
75,290411le
76,29kid
77,2call77
78,2fastyungone
79,2ffragiskos
80,2island
81,2qu4ens1cup
82,2s1mple4u
83,2yo0
84,300big
85,3031
86,30phill0s
87,3141mrchess
88,31do
89,321giannis
90,324357441
91,333mark333
92,33antonis
93,395mits
94,3basilis0
95,3d6y
96,3iordanis3
97,3lijahblue
98,3rdmagnus
99,3zsh
100,40is40inos
101,40rc3
102,40wreunedog
103,420chestmaster69
104,433fifa
105,44odysseus44
106,4b1dden
107,4fair
108,4kspal
109,4overnor
110,4real4realz
111,4risgr
112,4rtie
113,4skr
114,500daysofmike
115,505in
116,50lek
117,513lio5
118,51nn401
119,54giannis
120,54sokratis
121,5kyne7
122,5pawns
123,5thdegreepolyonomial
124,5v5
125,60euros
126,6937303999
127,6946534724
128,69eros69
129,69nice420wow
130,6alexandros6
131,6tea4
132,777rafo777
133,7anarchy
134,7asos
135,7gamble
136,7jrr
137,88montecarloss
138,8anos7
139,8pcer
140,91mike2021
141,930693
142,93st
143,96bobby
144,96parisa
145,98simonk
146,9a8b
147,9ab8
148,9bill9
149,9mmwires
150,9nly9ne
151,9olives
152,9queens87
153,9th_prince
154,9vikis
155,9vmsfischer
156,a-kyr
157,a-mine
158,a123papadim
159,a123xxsp
160,a1asdasdsa
161,a1k007
162,a2431
163,a2gelos
164,a7tasos1968
165,a822greece
166,a8anpan
167,aaagirl1950
168,aangelo82
169,aantegeia
170,aaronbigbee
171,aaronbtb
172,ab1aze
173,abaddont
174,abaddonvx
175,abal0s
176,abananik
177,abartzis
178,abasiou
179,abbisqq
180,abd119
181,abdini99982
182,abdool69
183,abdoulax
184,abducted_cow
185,abdulhamidnajem
186,abebablomm
187,abelaler
188,aberdolth
189,abigail178
190,abiochess60
191,abiotic_trust
192,abirnolis
193,abis1
194,abituale
195,ablaoublas6
196,ablhidell
197,abnaxuspawn
198,abostanitis
199,abouamine009
200,aboudapianis
201,abouz4
202,abraamakis
203,abrahamasmodeus
204,abramiii
205,abresas
206,absolute44
207,absolutegm
208,aburaxy
209,abx321
210,acabianos1312
211,acacar1
212,accountant85
213,accoy
214,acdc_bon
215,ace274194
216,ace94grr
217,acesapo
218,acevsjuju
219,achaean7
220,achard
221,achaziris
222,achf07
223,achikan
224,achikyrt
225,achileas2030
226,achill42
227,achille27
228,achilleas-paok
229,achilleas110
230,achilleas18
231,achilleasflash
232,achilleasg
233,achilleaskalathas
234,achilleasmp
235,achilleasthegreeck
236,achilleas_04
237,achillekouros
238,achillesgr
239,achil_iv
240,achimode
241,achmet77
242,achrisko
243,ackerrman
244,acon1978
245,acon9
246,acopo
247,acrolol
248,acronimia
249,acsellero
250,active_member
251,ad4099
252,ada300
253,adak7756
254,adaletpeinde
255,adaman12
256,adamhill17
257,adamkara
258,adampanagiotidis
259,adamroxas
260,adamsin07
261,adamvszeus
262,adaptivesol
263,adco21
264,adderalljunky
265,addicted15
266,addicted71
267,addiction777
268,adebisi7
269,adespotos_skylos
270,adhimitris53
271,adi2609
272,adi77778
273,adimako
274,adiony
275,adiotos
276,adl1882
277,admi72
278,admiralkato
279,admiralnilson
280,adocavalier
281,adonelo
282,adonis1990
283,adonis744
284,adorableicicle
285,adreaskar
286,adreasmanalatis
287,adreass
288,adreasyiannis
289,adreas_pasalopoulos
290,adrian1200
291,adriandenbraber
292,adrianidramas
293,adrianmam
294,adriannatiedgr
295,adrias7
296,adriiiiui
297,adriissopoulou
298,adriko08
299,adrikosgm
300,adrikosss
301,adrojunior
302,adth9200
303,advancedpeter
304,advice4u1
305,advocatusdiabolic
306,adwniss
307,ad_oooo
308,ae12
309,aealp
310,aegeas
311,aegon13tr
312,aek21
313,aek2117
314,aek365
315,aek365original
316,aek9
317,aekara
318,aekdikefalos
319,aekfil
320,aek_tzouv
321,aelinash
322,aenaoskosmos
323,aeo1os
324,aeolianwind
325,aeollos
326,aeolmindov
327,aerasanemos
328,aerial8
329,aesirvi
330,aetheriumis
331,aevagel
332,af2531
333,afasias
334,afemperoras
335,afergadis
336,aflefkas
337,afoukis
338,afoutopatisa
339,afraidofpawn
340,afraidsandwich
341,africababata
342,afro001
343,afrodite-lydia
344,afroditi80
345,afroditikater
346,afroditipa
347,afsmdl
348,agalabop
349,agalal14
350,agaman94
351,agamemnonst
352,agamemnontheodorou
353,agamemos
354,aganatios
355,agapi1991
356,agapits
357,agapitsas
358,agaspalais99
359,agatharchides
360,agathon3
361,agatsinio
362,agela1952
363,ageliki1
364,agelo77
365,agelos0
366,agelosason
367,agelosdt
368,ageloskarkalemis
369,agelpap13
370,ageo1
371,agerwxos
372,agg356
373,aggabuggu
374,aggbilmar
375,agge19601
376,aggel0s
377,aggel13
378,aggela8
379,aggelap18
380,aggelikichr
381,aggeliki_lazou
382,aggelo4
383,aggeloda
384,aggelos11
385,aggelos111
386,aggelos1122339
387,aggelos131
388,aggelos2006
389,aggelos29
390,aggelos31
391,aggelos31569
392,aggelos343
393,aggelosair23
394,aggelosalek
395,aggelosarys
396,aggelosathens
397,aggelosavdelidis
398,aggelosbirb
399,aggelosbjj
400,aggelosdelis
401,aggelosdiama
402,aggelosfekos
403,aggelosfo
404,aggelosgeo
405,aggelosgero
406,aggelosgiamakidis
407,aggelosgr
408,aggeloskaradaku
409,aggeloskiadas
410,aggeloskonsoulas
411,aggeloskotsaris
412,aggeloskottis
413,aggelosktag
414,aggeloskylo
415,aggeloskyr
416,aggeloslekas
417,aggelosmavropoulos
418,aggelosmavropoulos21
419,aggelosmeg
420,aggelosmich
421,aggelosmylonopoulos
422,aggelospetoua
423,aggelospriftis
424,aggelossioutis
425,aggelosstath1
426,aggelosvasilopoulos
427,aggelosvossos
428,aggeloszoga
429,aggelos_tsiripov
430,aggelos_tsm
431,aggelos_vtr
432,aggeloukos1
433,aggelyr
434,aggion
435,aggkosti
436,aggorf
437,aggpao13
438,aggrelos10
439,aggressivefuel
440,aggressive_plays
441,aggsak
442,aggxlos
443,agiakallioph
444,agiannakakis
445,aginos
446,agios13
447,agiosefraim
448,agiosmpanagios
449,agis001
450,agis33
451,agischil
452,agisilaos39
453,agisilaos65
454,agissss
455,agistriclub
456,agis_ziogas
457,agitatoras
458,agmarios
459,agodeo
460,agonistis
461,agorastos
462,agorneo
463,agrafiod
464,agrinio
465,agrinio345
466,agriokatsiki
467,agronomist21
468,agrpower
469,agtk
470,aguero88
471,agunator
472,agushqevani2
473,aguywithbigworms
474,agyrius
475,ahaaaa
476,ahahouha
477,ahaios71
478,ahazu
479,aheadhoney
480,ahhano
481,ahilleasm
482,ahimsaanarchy
483,ahirobman
484,ahitow
485,ahmad2952
486,ahmedelshark1
487,ahomer
488,ahtarmas
489,aiadas1000
490,aiantas1
491,aiantas4
492,aian_2k21
493,aias3
494,aiaslokros
495,aiezwin
496,aigiannis
497,aikatris
498,aimatochysia
499,aimilios1
500,aimilios1113
501,aimiliospetrou
502,ainigmatikosmc
503,aioi
504,aiolos18
505,aiolos457
506,air1414
507,airaris
508,airfatkos
509,aitherovamon22
510,aiva00
511,aiwn99000
512,aizikson
513,ajelman
514,ajionesti
515,ak008
516,ak402
517,akakos
518,akalaskam
519,akallio
520,akamatos
521,akampal73
522,akaragr
523,akarakos
524,akarosg
525,akats9
526,akatsukios
527,akavatar
528,aka_manah_93
529,akbandana
530,akentoka
531,akersekomis
532,akesochania
533,akif2543
534,akindunos99
535,akirakorr
536,akis-hellas
537,akis00
538,akis000
539,akis07
540,akis100
541,akis1111
542,akis1981
543,akis2
544,akis200
545,akis239
546,akis250100
547,akis30fyllakos
548,akis48
549,akis66
550,akisdalampiras
551,akisgal
552,akisgl
553,akisjems
554,akiskon8
555,akisliantzouras
556,akisloukas
557,akisoikon
558,akispapageorgiou
559,akisphysics
560,akisrys
561,akissagia
562,akistsidar
563,akisvasdokas
564,akisxal
565,akiszaf
566,akis_anto
567,akis_k10
568,akis_nks
569,akis_vr
570,akita604
571,akjett
572,akmon69
573,akontinis
574,akordonis2
575,akostas21
576,akostopoylos
577,akotsolis
578,akou82
579,akoulini07
580,akoumias
581,akoutsop
582,akraifnis
583,akremvar
584,akrid4s
585,akrido
586,akripo
587,akritasn
588,akrivos_macedonian
589,akrommatopsia
590,akrovatis
591,aksonap47
592,akstevee
593,aksutheemir
594,akteniz
595,aktipitos
596,aktouda1970
597,al-chrisal-baghdadi
598,al3x11
599,al3x330
600,al3xand3r123
601,al3xandr05
602,aladam13
603,aladdin40
