player_index,username
0,-bench-
1,4444chess
2,4thandone
3,50percentormore
4,670joseph670
5,671ben
6,671royal
7,671tjs
8,6768jmendiola
9,accomplisher
10,adrenn
11,adrian2198
12,aflo230
13,agentprovocateur2020
14,ajlampl
15,aliceyaa
16,alimegawalker
17,allonstea
18,allons_tea
19,aloydelarojo
20,alphiusjude
21,alterno10k
22,alybob55
23,andrewkang2
24,andyparanormal
25,annaleecharfauros
26,annaleerose16
27,anon671
28,arschlocher
29,ashflame17
30,awesomesaurus671
31,aziabay
32,ballrash
33,bazookaballs
34,bestbunbun
35,bigp00per2006
36,binacio653
37,bishop6603
38,blankshotz670
39,bobsalas
40,bobtatc
41,bondjamesbond1970
42,bootyconnoisseur32
43,boracay123
44,boxingjun
45,bradm700
46,brandumb
47,brianramiro
48,brigz916
49,bug_b
50,burgerflickr
51,buttpiratedan
52,cadenfischer671
53,caeser777
54,calebsdad671
55,callmedaddy03
56,captain_ahvious
57,carl671
58,carlos949494
59,carmichael_d_angelo
60,carry671
61,cashg123
62,cgeeezy
63,chagimalagi
64,charliecoltrane
65,checkers671
66,chernojopik
67,chessboipauli
68,chikkenmynugget
69,chowdzzzz
70,christianpaul671
71,chrisw59
72,chualexchu
73,cj671
74,cobymunabarnes
75,coffeecc
76,corcovaxe
77,coreytate21
78,cotchyoulookin
79,coufu
80,cyier
81,dabi0313
82,danielleanne
83,dapperseal
84,darkjedi671
85,darnelly
86,darynjarrell24
87,dasuofafame
88,ddraider227
89,defeatedwren
90,derrickquinata
91,destinywang
92,devi93
93,dgeneric
94,dhech
95,dilp671
96,dirtmcgirt45
97,dixell
98,dixoncider17
99,dobiss
100,donblanc7
101,draltoclef
102,dredguzman671
103,dslob96
104,dumpling5
105,durdeedann
106,dynamo_sc
107,ejhooker
108,ellisisland57
109,embu17
110,emnathan
111,epipons
112,ernesto-blitzkrieg
113,eunjun1
114,evenstevens444
115,everiegn
116,evileyes11
117,ezokis1
118,e_reyes
119,f-p-tie
