player_index,username
0,account325
1,account326
2,adrianzapata
3,alexdukhie
4,altspectre
5,amarmadho
6,amazon_titan
7,anu783
8,asdchess1
9,ba-0ne
10,bakes592
11,bebetter5
12,bklynriggs
13,blazingturtle60
14,boulter
15,bushiyt
16,cab0000000
17,cambionz
18,chatterpaulram
19,chris51900
20,cleon34
21,colinbowry21
22,crazyknightc8
23,cryskye
24,cumdoctor49
25,curtisgrogan
26,cystephens
27,danagnew7
28,dantato234
29,darrkks
30,davidkothapally
31,decimater9000
32,demigodasura
33,denkwa
34,denzel_persaud
35,dimishq
36,directorjonesgy
37,djchill26
38,dr0cosmos
39,dremark416
40,ejay295
41,eldorado21
42,et_2020
43,fearlessfari
44,finelypatoir
45,francissimmons
46,gav101
47,gavchapman
48,gemelopaulino
49,gie8327
50,guyanachessfed
51,guyanaresolve
52,guyanesewills
53,guyiop
54,gw2
55,heroldmoore
56,herrera1972
57,heyheyadi
58,iceryder
59,iknowumad
60,isaaca15
61,isaiahmoseley
62,issiahtwofour
63,jamesanthony-bond
64,jameschess007gy
65,jeddo
66,jerryjimmy
67,johnever
68,jonorbach
69,jose_singh
70,jovonalleyne
71,juddalleyne
72,jumbotube
73,jz_1244
74,kamia_sukacatur
75,kbrave
76,khan8616
77,kingcarlosboxing777
78,kitfai
79,kk5795
80,klarc84
81,knightkhan19
82,knighturn1
83,krishna757
84,krule3
85,ktezen
86,kwam2van
87,k_pasram
88,lewisludlam
89,licclemills
90,lightsbydreams
91,lilamandeok
92,lisha0041
93,loakesh
94,lolmya
95,lolololol1239
96,luigoorwah
97,madarauhicha
98,magnu8743
99,maid_knight
100,makoalahykiki
101,mariarin32
102,mark56xn
103,mark8350
104,markusvenn
105,masterskeete
106,masudkhan_94
107,mateusparker
108,mcbean9
109,mdeygoo
110,mentxuu
111,michgabriel
112,mkhan727
113,mohamedikgy
114,mramazing85
115,mrblack0ut
116,mwanzox
117,mwillgt
118,nateybatey
119,nayan673
120,neilbollers50
121,neilbourne
122,neilwhite711
123,nevinbeeraspat
124,nickdan
125,nickk04
126,nitinnautiyal88
127,nutso42
128,nv341
129,obengyq
130,obryan911
131,omnipotent_kami
132,oscarjazam
133,oskargisli
134,oswaldozaa
135,oz_ozone
136,parfaite
137,peterkien
138,phantom7000
139,phresh1
140,pigthecat
141,prince0949
142,prudencebrouet
143,punchwolf7
144,queennandy
145,raginggoodfella13
146,ravisingh36
147,reahaan2
148,recrogers
149,rk9tfinalsmash
150,roberto2315
151,roclay
152,rodwellpoole
153,ronie321
154,rookiedukie
155,roykelvinsingh
156,sandocdo
157,shadfernandes
158,shado3
159,shadrockob
160,shaojixchess
161,sherlongg
162,silicongreen
163,sitira
164,sleepyvin
165,sniperchan
166,soapyprince
167,solenopsis_invicta
168,sparkydouglas
169,specom2
170,spyiral
171,standocx
172,steveking99
173,tackytable
174,tasenigma101
175,tateyanareece
176,tavitin
177,tgambit21
178,thefirststylebender
179,thekingjojo
180,theo_billroth
181,thequeensway
182,therealmalcolm
183,thewhiteone11
184,tifftough
185,tony4160
186,toshibas
187,trevkhalifaa
188,tygacutting
189,uptoprugz
190,verynewbie123
191,wallace972
192,warde
193,warre12
194,willogt
195,winchro0
196,wkg4
197,yetanotherchessplayr
198,yuckenn
199,zeng22
