player_index,username
0,000ling
1,01020304nn
2,01angel888
3,01jongmin
4,020202
5,02291198vdveriuver
6,0514wong
7,08351ty
8,0gaurav3
9,0owongo0
10,0scar00000
11,0sesquipedalophobia4
12,1000beginner
13,1021timothy
14,10a13i5
15,11tang
16,1233445abc
17,123pooop
18,123qe23
19,123tess
20,12thegrinch34
21,1314_spb
22,15ngns1
23,16dutta2
24,1728games
25,17naird1
26,19pandasam
27,19wongs4
28,19yeungjs1
29,1h8teche55
30,1na3-10
31,1vintsh
32,20000000iq
33,2016114a
34,2020ella
35,2020so
36,20lisw3
37,21yk21
38,2305ss
39,27sdsd
40,2e01justin
41,2moonbird
42,2xp
43,3-intelligence
44,3bases
45,3hk1
46,3kpaul
47,3nt1
48,3rnii
49,3thantam8938
50,3words
51,424life
52,43roe
53,4evernomad
54,4fhy29
55,4ucifer
56,526526
57,5chunbond
58,5dollarsham
59,5headjoker
60,5omebody3lse
61,5vu
62,5wischeese
63,5worf
64,6102519425a
65,6969chesspro6969
66,69sapnupuas69
67,69yeetusdeletus420
68,6nine2
69,6uo
70,721ofhongkong
71,75knight
72,7kelkelkel
73,7uncle
74,808hasnochill
75,87ank
76,88monsieur
77,898on9jai
78,89jami
79,8o75l
80,911kos
81,9394
82,94526452
83,987654321qaz
84,a0000100s
85,a0a0a00614
86,a0nvaia
87,a1pha_wolf
88,a2252580
89,a230253
90,a413l
91,a6fish
92,a6rax1s
93,a8drian
94,aaaal123
95,aadhiraikodhai
96,aaditsureka
97,aadityav
98,aakasaha
99,aalalith
100,aalongbottm
101,aaronhokm
102,aaronisadog
103,aaronkinghim
104,aaronthechessgod
105,aashay1
106,aau2006ag
107,aawwsomeguy123
108,aayushbatwara
109,abakedchicken
110,abbeytam
111,abc7093
112,abcabcancp
113,abcba131
114,abcde3512
115,abcdefxxku
116,abcman12321
117,abcter
118,abdalla981
119,abdukarimooo
120,abeerarora87
121,abeerockzzzz
122,abhaykasparov
123,abigail925
124,abmacdonald
125,aboso
126,abracadabra1024
127,absolon20
128,absolute_zero_372
129,ac011
130,ac1122
131,ac556988
132,acceleratedhedgehog
133,acecyf
134,acflau
135,aclsee
136,acm1812
137,acmnlhh
138,actack
139,ad3301
140,adalin10
141,adamazure8
142,adamsiuuuuuu
143,adamsomfan
144,adamtsang
145,adamvinson2020
146,adijain2
147,adilelbourichi
148,ading69
149,aditbhargava
150,adithvick
151,adityashrisankaraan
152,adkjfo
153,adls77
154,admirallemontea
155,adml0
156,admusker
157,adondon
158,adorablepencil
159,adpun88
160,adqmgd
161,adr32
162,adragon0216
163,adri1401
164,adrianbeans
165,adrianc2003
166,adrianchessasphalt
167,adriangao2010
168,adrianiglesia
169,adrianleung93
170,adrianpoon
171,adrianshawty
172,adrianwong0608
173,adrianxchoii
174,adrielau
175,adsdog
176,adspy
177,adullor
178,advaitheyunni
179,advaitstudentdixit
180,advhygbb
181,adyxx
182,ad_1130
183,aegis-f4ng
184,aeiw
185,aelxius
186,aenontse
187,afatboi
188,afdjslfdis
189,afdyt
190,agentcorn
191,aggie5201314
192,aggiewong
193,agnes610
194,agrim20805
195,ah20137
196,ahemon79
197,ahmato21
198,ahyiu
199,aiaikana
200,aickinmydss
201,aico00
202,aidan528
203,aidankeough
204,aidanyip
205,aiden-1089
206,aiden5808
207,aiden66666
208,aidenite
209,aidenlee40
210,aignerngai124
211,airoairo
212,airsland
213,airvaz
214,airy1962
215,aishaabdelaziz
216,aiveruwu
217,aji0106
218,ajoshi1403
219,ajtracey5
220,akashi2005
221,akat_5uki
222,akeyan
223,akib2001
224,akinig
225,akiraokabe
226,akishiu
227,akosiako69
228,akshat28
229,akuser
230,alalng
231,alan7080
232,alanfangfantastic
233,alanlai
234,alanlee852
235,alanmagic360
236,alanshenanigan
237,alansix
238,alanwong001
239,alan_tries_chess
240,albaficad
241,albertau2020
242,albertexocet
243,alberttanoto
244,album36
245,alchemistzz
246,alcool
247,aldem119
248,aldenniedersteiner
249,aldous3
250,aleksandarcvetkovic1
251,alenika16
252,aleqgl
253,alessandroschueli
254,alessiolomonaco
255,alex123y
256,alex4848484
257,alex5470
258,alex6777
259,alexah8882
260,alexander2608
261,alexandergazeley
262,alexanderlee321
263,alexandre-xv
264,alexau_auism
265,alexccss
266,alexchw
267,alexeitsui
268,alexfrisky
269,alexgao2002
270,alexhongkong
271,alexi2017
272,alexislagarde
273,alexlee1942
274,alexmarly
275,alexpce
276,alexscfan
277,alextjulkin5
278,alexttheg
279,alextunesi
280,alexwon99
281,alexwong704
282,alexxala
283,alexyuenmanshan
284,alexzhen
285,alex_hon
286,alex_li
287,alfonsochessplayer
288,alfred9449
289,alfredcheung
290,alfredgg2000
291,algp300
292,alicecheung2608
293,alicezukzuk
294,alicialauster
295,alife02
296,alimant
297,alindaa9
298,alistairnggggg
299,alitavazo
300,alittlemorejen
301,alizhan54
302,alka1011
303,alkali1106
304,allaff
305,allen920
306,allenhun
307,allensyng
308,alley21
309,alligatorcr7
310,allin888
311,allinclusif
312,allstarzombie
313,allysiu10
314,almazx99
315,alostgemini
316,alpacafriday
317,alpackaman
318,alpha-went
319,alpha31415
320,alphan123
321,alphangai
322,alphaspectre
323,alpilbs
324,als19
325,altia_1
326,altoimperium
327,alunowain
328,alvina724
329,alvinfan
330,alvintoooo
331,alvislee1986
332,alycat818
333,aman7401
334,amanda0907
335,amandamokwt
336,amarcq
337,amazingcat
338,ambd0162
339,amber19144
340,amberthyst
341,ambmpikawest
342,ambrose11
343,ambyh
344,amenolang
345,amik06
346,amir60bay
347,amity0
348,amokhk
349,amosyip
350,amra4
351,amradiio
352,amused372
353,amy1210
354,anaishahari
355,anakinmagnus19
356,anandrai2327
357,anastasia3650
358,anastiti
