player_index,username
0,-bubnjar-
1,001queen100
2,01paco10
3,02062907
4,02i
5,04021780582
6,04marbor12
7,06garfield
8,0702modric
9,0d0ba
10,0december0
11,0fjaka0
12,0gi7
13,0iram
14,0koki0
15,0lelouch0lamperouge
16,0lrax
17,0mateo8
18,0noid0
19,0tt0mad
20,0xarmagg
21,10000mg
22,1151993
23,123kalist
24,123lanc
25,123onajsime
26,123stef
27,123tonib
28,12uni
29,1507000
30,16121955
31,17eric03
32,1909bv
33,1950thzv
34,1950torcida
35,1971dule
36,1982gaso
37,19chape50
38,19jack98
39,19rafael
40,1accident
41,1bajam
42,1ban3z
43,1e4chad
44,1grozni
45,1ica
46,1iolar
47,1kec1
48,1klaki
49,1laura5
50,1ntetsu
51,1smile2u
52,1spyk
53,1sturm
54,1tom4
55,1van2
56,1van992
57,1xlorenx1
58,2062zd
59,20matko04
60,20sparks
61,2112zac
62,2212nb
63,22minx
64,23kuzma23
65,24tkozla08
66,280861
67,2chessd
68,2izhrvaznamalegoriju
69,2prdek_2
70,2spawn
71,2sweet232
72,30kingkong
73,321zdravko
74,32chesspieces
75,32jan
76,333mat
77,33windowlicker
78,34r34
79,369red
80,3ipp
81,3ippo
82,3lvishrope
83,3n1di
84,3niac
85,3r5t4
86,4112
87,414
88,44bilhij
89,456iii
90,46al
91,49m7
92,4mungos
93,4playjesus
94,4sale4
95,4st3rix
96,4zuhv
97,50uka
98,553218
99,5878standox
100,5ar6ar
101,5ar94
102,5arprim
103,5cho21
104,5corp1o
105,5ek
106,5mcro
107,5targazer
108,5x6x7
109,666gad
110,69domi
111,69rubik69
112,6ajo1
113,6shelbee
114,6tomo6
115,6ui7
116,6xx_vito_xx9
117,6zeko9
118,751qwe
119,761902
120,7angels7
121,7renato7
122,8dario8
123,8fishfish8
124,8ombon
125,90bok
126,911wasajoke
127,93bobo
128,93kk
129,98banana98
130,98nikolina
131,99lipa
132,9xfxynerlrftc93r
133,a0041
134,a069
135,a1576
136,a3755
137,a87ri
138,aa244
139,aaaaaaaaaa888
140,aaaaaaaaaaaaaaaaaaar
141,aaalambada
142,aaarrrrrrrrrgh
143,aabrucci
144,aagatic1
145,aandrako
146,aanec
147,aanniinn
148,aantares
149,aasly
150,ab1302
151,abacic92
152,abdurahman1987
153,abelicki
154,abnormalmamba
155,abo55
156,abodr811
157,abortumas
158,abraham713
159,abramm
160,absentplate
161,absurdnecklace
162,abv6
163,acajic
164,accipitervii
165,accpro
166,aceventura55
167,acey_1
168,achibvon
169,achlyssoriginal
170,acibulj
171,aciruj
172,acoldrabbit
173,acor666
174,acota97
175,acronimus54
176,acs104
177,acs_00
178,activeschool
179,adamawsome
180,adamchessmagic
181,adamemeir87
182,adamhu063
183,adamivankovic
184,adamjolic
185,adamk07
186,adaml82
187,adamlenac
188,adamnadvegi
189,adamstrandler
190,adamsvraka
191,adamte1
192,adder3
193,adem2312
194,adkeeper
195,adog15
196,adokuzovic
197,adopted83
198,adoric
199,adrian2710
200,adriana00760
201,adriana0730
202,adriangalji
203,adrianivosevic
204,adrianmajstoric
205,adrianmiletic
206,adriano_mp
207,adrian_zd
208,adriaticsea5
209,adrijan5917
210,adrijana1510
211,adrikatana
212,adro-cro-2020
213,adrrianzgaljic
214,adsal100777
215,adsasdasddsaadsasfa
216,adsonpatrick
217,aeaekajgod
218,aebaji
219,aedui
220,aegoncro
221,aelivaj
222,aengy
223,aerandil
224,aerdna666
225,aersaeon
226,aestas205
227,aeternus23
228,af95
229,afosk
230,afranic
231,afteraller
232,afymas
233,agadmator
234,agathedoggy
235,aggvinay
236,aginho
237,agram27
238,agram70
239,ahokaaa
240,ahone21
241,ahri4life
242,ahrn2
243,aiaxaia
244,aijaroslav
245,aimgods
246,aim_sooo_badd09
247,air21315
248,ajabayev
249,ajantol12
250,ajbeer7
251,ajdebkt
252,ajdevisejebentiboga
253,ajdin662
254,ajeto40
255,ajnaleti6
256,ajnaletii
257,ajurisic
258,ajuro10
259,ajvana
260,ajvn007
261,akatsukipenguin
262,aki111421
263,aki1971
264,akin176
265,aklekovic
266,akma8
267,akovacic
268,akq2
269,akul3412
270,akular
271,aky031
272,al-alien
273,al3n854
274,aladinmf
275,alakamn
276,alamir1
277,alan-ford
278,alan226
279,alancro
280,alandzak
281,alanhlaca
282,alanmesanovic999
283,alans74
284,alansabljakovic
285,alarm735
286,alba27p
287,alba281
288,alban121212
289,albedo9000
290,albertancic
291,albertomaltar
292,alberto_lova17
293,albundy052
294,ald00
295,aldin347
296,aldino365
297,aldir53
298,aldoaja
299,aldokisae
300,aleksa4080
301,aleksbuvac
302,aleluja987
303,alen5748
304,alen5er
305,alenand
306,alendedi
307,alenferrari
308,alengrakalic
309,alenhrga
310,alenjeboljiodkristin
311,alenkranj
312,alenlackovic
313,alenlanasalopek
314,alenlepi
315,alenlorencin
316,alenmilovanovic
317,alenmuza
318,alenrado
319,alenvoje
320,alenvug
321,alenvuk3
322,alen_benkovic
323,alen_k
324,alesssius
325,alex98908
326,alexandar0511
327,alexandarkuzmanovic
328,alexanderkorvinus
329,alexjefox
330,alf000
331,alf111
332,alfaholic147
333,alfan007
334,alfsteer
335,algunv9
336,alhambra2018
337,alicas25
338,alifati
339,aligator87
340,aliitas
341,alirogzi
342,alisakovi
343,alivelettuce
344,aljehin20
345,aljosa1973split
346,aljosa99
347,aljosako1papakreno
348,aljoshakoren
349,allarusakevych
350,alldefinder
351,allen249
352,allenwerner
353,allhorn
354,allo111149w
355,allpawnsandnohope
356,alluros
357,ally1982
358,almirbalic
359,aloaloha
360,alojz337
361,alokin10
362,alokiny
363,alpacamychess
364,alpeza
365,alpha2322
366,alpha27111
367,alphaseries
368,alpha_macak
369,altariusx
370,alterzgb
371,alucard866
372,alvr11
373,al_zabone
374,am2017
375,amanita93
376,amanuhandsomebeast
377,amarekaoamarekao
378,amater123658
379,amater1976
380,amater23
381,ambitiouspony
382,ambo0909
383,ambrich
384,amel_hame
385,amile5
386,amiserda
387,amoksil
388,amonka7
389,amor313
390,amos12343
391,amster13
392,amte13
393,amteminken
394,amustapic
395,ana080401
396,ana3040
397,ana34108
398,anababa
399,anabrisuda
400,anak22
401,anakin82
402,anakonda2323
403,analogija
404,anam51
405,anamaria75
406,anamarija74236
407,anammmm
408,anamuhar
409,ananas0o
410,anapauk
411,anapaw
412,anarh79
413,anarion22
414,anasmrad
415,anastrizic
416,anatoly2017
417,anazg_67
418,anazuban1812
419,ana_berke
420,anc1234
421,anchybanachy
422,anchyy2508
423,andabak
424,andais
425,andalovski
426,andela057
427,andelkopuseljic
428,andeloam
429,ande_star
430,andica1001
431,andisova
432,andjaugostima
433,andre78777
434,andrea558
435,andreakljenak
436,andreakova4
437,andregarasic
438,andrehaacke
439,andreint
440,andrej060
441,andrej1106
442,andrej122
443,andrej3061
444,andrej790
445,andreja1604
446,andrejborzan
447,andrejceraj
448,andrejgal
449,andrejjosic
450,andrejm18
451,andrejnoob
452,andrejosk
453,andrejstopar
454,andrej_popic
455,andreselpipe0007
456,andreshat
457,andrew_bq
458,andric44
459,andrija1211
460,andrija24680
461,andrija728
462,andrijachess
463,andrijahaker
464,andrijasegin
465,andrijasevicm
466,andrijasurac
467,andro000
468,andro13333
469,andro19945
470,andro332
471,andro5678
472,androbalen
473,androka
474,androlja
475,androradovanovic
476,androsahmatov
477,androslav
478,androt222
479,androx65
480,androzaba
481,androzonja
482,andyman2016
483,aneo23
484,angelicxdevilish
485,angelob1994
486,angelojuran
487,angelo_1
488,angie962
489,angryarmadillo54
490,angumien16
491,anica_trp_banda
492,anie88
493,anika054
494,anincev
495,anita1960
496,anita2051
497,anivonabe
498,anja1704
499,anja5ric
500,anjanaj
501,anjananas
502,anjanja1
503,anjkasanjka
504,anka-0
505,anke12slaven
506,ankica12
507,ankovic9
508,ann3684
509,ann_12345
510,ano1988
511,anomalija
512,anonymous2457
513,anragambit
514,ansimovi
515,ante02051983
516,ante080691
517,ante081
518,ante1001
519,ante1020301
520,ante12
521,ante12305
522,ante150
523,ante17
524,ante1878
525,ante195
526,ante195othzy
527,ante1962
528,ante1968
529,ante1987
530,ante1990
531,ante2108
532,ante222
533,ante2391
534,ante2608
535,ante4132
536,ante54321
537,ante7178
538,ante8709
539,ante900
540,ante999
541,anteab19
542,anteanti
543,anteatefanac
544,anteatelj19
545,anteb1989
546,antebenic
547,antebogati
548,antecacic1
549,antecr7
550,anteee44
551,antefhpx
552,antegarlic
553,antegospodaruslokas
554,antegrbavac
555,antehr
556,antejames
557,antekaselic
558,antekinge
559,anteklis
560,anteklj97
561,antekonjina
562,anteloff
563,antelon
564,anteluetic
565,antematan
566,antemirceta1
567,antemnk
568,antemuralechristians
569,anteobuljan
570,antep13
571,antepavic
572,antepercec
573,antepo
574,anteportas
575,antepsenicnjak
576,anteramadan
577,anterasic
578,anterike
579,antes73
580,antesahista
581,antesimic99
582,antesir10
583,antestanic
584,antesusak
585,anteveic3
586,antevk
587,antevlasic
588,antevuco
589,antevukasovic
590,ante_03
591,ante_hvar5
592,ante_pehar
593,anthill94
594,anthonyjo
595,antic1010
596,antifasist_hr
597,antifish7
598,antiishaa
599,antiprotivan123
600,antisa1601
601,antisa2409
602,antisaaa
603,antisha00
604,antisha17
605,antisha82
606,antjak
607,anto099
608,anto1954
609,anto6942025
610,anto97aa
611,antoain
612,antoantonella
613,antobaskarad
614,antohc
615,antoimon6002
616,antoine1950
617,antolovic
618,antolovic05
619,antomatijevi
620,anton712
621,antonela9999
622,antongajic
623,antonhrabar
624,antoni1705
625,antonia2912
626,antonia311299
627,antoniakkk
628,antonija0
629,antonijahajdukovi
630,antonijochess
631,antonijom
632,antonijostojanovic1
633,antoninpolansky
634,antonio02
635,antonio0494
636,antonio11011
637,antonio15303
638,antonio19500591
639,antonio2246
640,antonio251004
641,antonio25104
642,antonio31103
643,antonio541
644,antonio7373
645,antonioala
646,antoniob17
647,antoniobezj
648,antonioboras2
649,antoniobuhin
650,antoniocavrag
651,antoniochess21
652,antonioculy
