player_index,username
0,-gollum-
1,002hollow
2,0030miki
3,007zsolt
4,008danny
5,00szabolcs
6,012120
7,08sm01
8,0doki0
9,0k1n6
10,0ldf13ld
11,0mirtusz0
12,0rangeblaze
13,0reaper
14,0rion001
15,0sakkgep0
16,0scheisse0
17,0tharkun0
18,0toh3r0
19,0yx
20,0_0_king_0_0
21,10-bit
22,100martinful
23,101011101101
24,1039papa
25,10firebird
26,111niko111
27,11a55
28,11brhmn11
29,11peter11
30,120l
31,123333a112
32,1234567890qwerr
33,123456789103
34,12345vege
35,129096465dani
36,12_btw_hahaa
37,13_attis_79
38,1456hunyadi
39,14bp14
40,160iqz
41,17miki17
42,19540610
43,1957istvan
44,1965kopasz
45,1977zsolt
46,1999dora
47,19kitt
48,19peti88
49,19reaper84
50,19saja51
51,1brauti1
52,1cethebear
53,1gaborkalap
54,1garas
55,1joco
56,1kriszti1
57,1medve
58,1mplement1t
59,1n73rn377r0ll
60,1pep
61,1pisti2
62,1seriousapple
63,1susztermatt1
64,2000leszekvazze
65,2003mark
66,2008cortactionv
67,2008miso
68,20150829
69,20180217sz
70,2020zoltan
71,21papi21
72,220bpm
73,22atti22
74,22attila22
75,22sebitimi
76,22yossarian22
77,23anemenyi
78,2baloglaszlo2
79,2bazt
80,2chess101
81,2ezguy
82,2fischer6
83,2gmaxboost
84,2k-demedi
85,314iq
86,369v
87,3arvay
88,3ch0kwa1
89,3gon
90,3l3ctr1c14n
91,3sandor
92,3wqwqwq3
93,40peter
94,420elod69
95,42iknewit
96,44janoskaroly28
97,4705
98,4a8m
99,4c1d
100,4dm1r4lg3n3r4l
101,4haxx
102,4ll_starz
103,4ltus
104,4mark
105,4ndr45
106,4ndr4s
107,4ndris14
108,4power06
109,50es
110,520eagle
111,55mate
112,570116
113,5i5i
114,602muller
115,6161616
116,61istvan
117,62eszoli2
118,64istvan64
119,64options
120,65szabo
121,65vizier
122,666z666
123,66aniko
124,66gramms
125,66tomi
126,69blackknight
127,69commandments
128,69etyien
129,69mike
130,6pepe6
131,70ultegra6800
132,7162bszarvas
133,75krisz
134,777888kk
135,77ada
136,77senpai
137,7ja
138,7ker
139,7nagypapa5
140,7omi3
141,7peregrin
142,8alprazolam8
143,8kende8
144,9295h
145,92nyiti
146,95kd
147,97roli97
148,999khalif999
149,9b0
150,a11ila
151,a17suliman
152,a1rmano
153,a5690
154,a700we
155,a716269a
156,a7a23
157,aaa0414
158,aaaa569
159,aadnehv
160,aadri22
161,aamons
162,aanti
163,aaronandrew99
164,aaronsmitob
165,aata1984
166,aatep
167,aba2002
168,abajnokszemelyesen
169,abalogh
170,abascst
171,abaynemesmate
172,abbahans
173,abdulgami
174,abed87
175,abel2013-lipot
176,abel2323
177,abelardtincoin
178,abelbalogh
179,abelerdos12
180,abelgedeon
181,abelkiler2007
182,abellovasz
183,abelvarga
184,abethehu
185,abflexx
186,abgab10
187,abihar
188,abiropatrik
189,abitnervous
190,ablak24
191,ablonczy
192,abnormalmirror
193,aboallaith94
194,aboci
195,aboodch7
196,aborgx
197,abraham19460423
198,abrislol
199,abrismeszaros
200,abrk9
201,absinth88
202,absolutism
203,absyx
204,abu0
205,abucsabi
206,abyshint
207,ab_aron
208,acchimra
209,accurist92
210,acdcman
211,ach61
212,achlepko
213,achos1
214,acibagg
215,acidicnut32
216,acidostrich
217,ackendo
218,acquaintance81
219,acsi67
220,acsimovics
221,acskaroly
222,acsmateoliver
223,acsmohacs
224,acsorgo
225,acspiro
226,acsutka
227,adakov
228,adalbertuspi
229,adalos
230,adam-meszaros-92
231,adam0129
232,adam1010
233,adam1031
234,adam254
235,adam9403
236,adamadam357
237,adambarath
238,adambecsi
239,adamblackwhite
240,adamcool21
241,adamcsagoly
242,adamdonat
243,adamfrank99
244,adamfule
245,adamg1122
246,adamgabula
247,adamido7
248,adamilkovits
249,adamjani
250,adamka2012
251,adamka572
252,adamka83
253,adamkenyeres
254,adamkozma
255,adamkrezinger
256,adamlakatos
257,adamlaszlo
258,adamm1324
