player_index,username
0,-ozzie-
1,00nn72000
2,00superted
3,0129631
4,05jamho
5,06kiely
6,07094rb
7,09paul09
8,0b101110111011
9,0cht
10,0isn
11,0meowmeow0
12,100_wheels
13,10zidane10
14,11187
15,11thechosenone11
16,123ahsa
17,123bradyt
18,123mitchy
19,123repeater
20,123ucg
21,128boris
22,13aker9
23,13james14
24,14amccabe
25,14connorbird
26,14striker
27,15clearatthebushes
28,162tmac
29,16mack
30,17fritz17
31,1800chessgod
32,1878dixiedean1878
33,1899upthehoops
34,18andsmarterthanu
35,1951mayo
36,1966gizmo
37,1980oskarprzyborski
38,1987simba
39,1987simbajohn
40,1992spacemovie
41,19mf80
42,1bw
43,1cebergslim
44,1danjordan
45,1davidmalone
46,1dice
47,1joe1
48,1loosehead1
49,1moonaura
50,1mustafa
51,1pmac
52,1rishpher0
53,1rodion
54,1saadia
55,1_roisin_1
56,200s
57,2016ratman2016
58,2021ass
59,20somefun
60,21pizza
61,21shadowwing
62,23kurtz
63,23nibble
64,24_pmcveigh
65,258468
66,2763p
67,2bacca
68,2castles
69,2coolforpie
70,2donaldtramp
71,2dsidescroller
72,2laptango
73,2murphy0
74,2ndfiddle
75,2qs1cup
76,301shane
77,310cjc
78,321rednax123
79,32hoops
80,33rdpiece
81,360iste
82,365daysofchess
83,36lazybones
84,373beanbag373
85,37francisco
86,3barrells
87,3case
88,3lt1n
89,3oghan
90,3sag
91,3zw1n
92,40watts
93,416256
94,420grandmaster420
95,4acezz
96,4all4fun
97,50dashdot
98,51mattr
99,534n0
100,56-76ab12
101,567898765
102,5bld
103,5oe
104,5olid
105,5thwolf
106,5_aces
107,60go
108,6789
109,69dicksucker420
110,69gaddafi69
111,69hr
112,69throatgoat69
113,6cent
114,6digit
115,6gaora9
116,6rock1n1roll9
117,76times
118,77mikki77
119,7ghita7
120,7shkud4
121,829505
122,82romka
123,88v88
124,8am8pm
125,8ballkarl
126,8l4ckl34f
127,8oops6
128,93pauls
129,944cab
130,99shadow99
131,9_c
132,a-b-n-e-r
133,a-turnip
134,a-waller
135,a1dan18
136,a81n
137,aa103
138,aabanimal
139,aacm14
140,aaiimmee
141,aaliyah_8097
142,aamindas
143,aamurray
144,aandrzej475
145,aangulo2001
146,aar0n9
147,aarconman
148,aaron-burns
149,aaron1874
150,aaron211216
151,aaron8206
152,aaronb888
153,aaronc101
154,aaronc2411
155,aaronc797
156,aaronchess12
157,aaronconroy
158,aaroncorcoran94
159,aarond2k
160,aarond51
161,aarondaniel98
162,aarondt
163,aaronf69
164,aaronfc
165,aaronfinley94
166,aaronfitz77
167,aaronhutchinson
168,aaronkeogh9723
169,aaronkh
170,aaronkneafsey
171,aaronkubat
172,aaronm1987
173,aaronmcc123
174,aaronmcdaid
175,aaronmcg00
176,aaronmcguirk
177,aaronmct
178,aaronmurraybourke
179,aaronnir
180,aaronob1
181,aaronpow
182,aaronr7
183,aaronrlynch
184,aaronrowemusic
185,aaronrsg
186,aarons266
187,aaronsheedy
188,aaronsproule1988
189,aaronwingham
190,aaron_007
191,aasimkhalid
192,aayanatiq
193,ab0806
194,ababcancook
195,abacuscone
196,aballester
197,abbag
198,abbeyco
199,abbiepotter24
200,abbs0o
201,abbs100
202,abby6699
203,abbymc07
204,abbytubby
205,abcd280
206,abcd511
207,abcentce
208,abct11
209,abdav
210,abdooo7
211,abdulm11
212,abelharuta
213,aberjacob
214,abhidu
215,abhinavgandhi29
216,abigaikell
217,abigail1275
218,abigtree73
219,abinalexander
220,ablejackal
221,ablufc74
222,abomb902100
223,abookishemily
224,abourezk14
225,aboutapawn
226,aboyce1
227,abradley99
228,abrakadabra398
229,abrakid
230,absentism
231,absentkazoo
232,abseven7
233,absolutecount
234,absolute_gomeetard
235,abulmonsur2005
236,abusedshrimp
237,aby2222
238,abz2058
239,abzerss
240,ac1235
241,ac2354
242,ac9711
243,academicflame
244,accursedfortune
245,ace0fspadeez
246,ace306
247,acecon3
248,aceinmysleeve392
249,achromaticc
250,achron_archios
251,acidfish5010
252,acingel
253,acm1203
254,acneidin
255,acon2210
256,acpidgie
257,acrilly751
258,actionbarman
259,actualpot
260,acw1960
261,adam-watters
262,adam00n
263,adam1228
264,adam1251
265,adam2899
266,adam2daly
267,adam3145
268,adam3345
269,adam454
270,adam61694
271,adam76e541
272,adam8332
273,adamandairwaves
274,adamapriiia
275,adamaster123
276,adambabelli
277,adambalfe123
278,adambee69
279,adambettsy
280,adambracken10
281,adambrady98
282,adamcdunne
283,adamconnery1
284,adamcorcoran
285,adamcrosslomax
286,adamd1222
287,adamd3004
288,adamdalton14
289,adamdanaher
290,adamdevenney
291,adamduffy57
292,adamfeery
293,adamflorczak1612
294,adamflynn1
295,adamh009
296,adamjamesfox
297,adamkc137
298,adamkiely
299,adamklimek20
300,adamlane64
301,adamloughnane
302,adammalone77
303,adammcellistrim
304,adammcelwee
305,adammelvin
306,adammulroe
307,adamnoel
308,adamod06
309,adamom94
310,adamon642
311,adamryan95
312,adamsean3
313,adamsever
314,adamskimiller
315,adamstap37
316,adamsweeney1
317,adamtheirishguy
318,adamtobin
319,adamwaldron98
320,adamwalsh22
321,adamxjones
322,adam_tmftml
323,adarcy66
324,adash69
325,adaxiom
326,ade2b4
327,adeathlygame
328,adegoes
329,adennofing
330,adhamhchungis
331,adhammahdy
332,adhirajsood
333,adi1229
334,adiemc
335,adie_b
336,adildahlan
337,adithya_vg
338,aditi59
339,adityadarak
340,adled
341,admiralgeek
342,adn58
343,adoc44
344,adohan20
345,adolphinhiter
346,adorable_guitar
347,adoraffo
348,adowley
349,ado_dub
350,ado_oba
351,adp12345
352,adpow11
353,adrian-14
354,adrian3vhk
355,adrianapar
356,adrianb20
357,adrianbrzozowski
358,adriang45
359,adriankelly101
360,adrianl4182
361,adrianmo1
362,adrianruane
363,adrians1985
364,adriansynowiecki
365,adrianvenus
366,adrian_bigoof
367,adrian_samuel
368,adubac
369,aduck2021
370,adumbb
371,adunne456
372,adunne97
373,advaiti
374,advn1987
375,ady0603
376,adzy2
377,aedan_h
378,aedrumgor
379,aegontheconqueror144
380,aeiouy4
381,aelred73
382,aengie
383,aeroblade07
384,aerobubble
385,aescalo5
386,aessop2
387,aether_aran
388,aev1
389,afeelin
390,afeeramusa
391,afficionado88
392,affluential
393,affreds
394,afinlay12
395,afitz65
396,afitzpa5
397,aflawless
398,aflood12
399,africansun420
400,afrosam96
401,aga3110
402,agallagher93
403,agaule
404,agehanrahan
405,agentblack23
406,ageon
407,aggythemaster
408,aghskekn
409,agiantplum
410,agibbons_96
411,agni2015
412,agnosticmeh
413,agnus_n
414,agroogan
415,agudufhb
416,agyl15
417,ahane2021
418,aharddaysknight81
419,ahavo
420,aheadcanopy0
421,ahern415
422,ahetl1
423,ahmad0845
424,ahmcd21
425,ahmet1983
426,ahughes42
427,ahughes85
428,aibhstin
429,aicasey
430,aidan161
431,aidan18393
432,aidan1995
433,aidan19957
434,aidan7777
435,aidan9665
436,aidanbarry1
437,aidanboyle8
438,aidanbraade
439,aidanbrazil
440,aidancar
441,aidancomerford
442,aidandhackett
443,aidando
444,aidandunlea223
445,aidanfoxc
446,aidanharte
447,aidanjoyce60
448,aidankelly94
449,aidanken
450,aidanlee59
451,aidanmartin92
452,aidanmcc02
453,aidanmcgoey
454,aidanmoriarty123
455,aidannavan
456,aidanoconnor905
457,aidanod98
458,aidanquigney
459,aidanscanlan
460,aidanthewizard
461,aidanturk
462,aidbren
463,aideenb
464,aidenfc
465,aidfur
466,aidietis83
467,aidog
468,aidosplaidos
469,aidybeast
470,aidzillafont
