player_index,username
0,-jay-
1,001avidan
2,02jacoba
3,035534125
4,03ofir
5,0524502065
6,0587811509
7,067857201
8,0707omer
9,0741
10,097928824a
11,09shimon
12,0alphahawk0
13,0dedly
14,0gabrial_dubovoy0
15,0kingdead0
16,0l6
17,0mr1
18,0ninja
19,0sgod
20,0utrunner
21,0verthehills
22,0xl30n
23,0yogev
24,0_chessplayer_0
25,1000dips
26,1016192
27,10908100
28,10dajani
29,10echess
30,10nat10
31,11001111000
32,111arbi
33,111lon
34,112233445555
35,1123d2w
36,11boaz11
37,1212vsreui
38,12345tal
39,1234dp
40,1234eitan
41,1234or
42,123amitbenita
43,123drx
44,123in1994
45,123sivan
46,123yarden
47,123yoav
48,12adam12
49,12ar21
50,12arielovadia
51,12assaf12
52,12mika34
53,12ydv
54,131313131313thirteen
55,1323212347
56,133oran
57,13timeodanaos
58,14-tm
59,1511dan
60,15ab2
61,15bleu09
62,16aurelius
63,16cohen16
64,16meir16
65,171196nevo
66,1762misha
67,17trezeguet
68,1871p
69,187shuki
70,1903mark
71,1969alex
72,1973ella
73,1985yaya
74,1992aiman
75,19covid1995
76,19kraken19
77,1amitos
78,1amitshalev
79,1asaf
80,1blackstorm
81,1daniela
82,1daviddavidov
83,1dip1
84,1ehud1
85,1eli23
86,1fireblade1
87,1hillel
88,1jerusalem
89,1leok123
90,1liorcohenbzn
91,1maty
92,1n73ll1g3nc3
93,1nba8
94,1nfo1
95,1paranoidandroid1
96,1poormind
97,1popi
98,1ranliberman
99,1shalom
100,1taycohen
101,1west1
102,1yair
103,200iqchesser
104,200iq_xlr8
105,2011amira2011
106,2017yoavstein
107,20200202perry
108,2020altezza
109,20346
110,204itay
111,20marko20
112,2142468k
113,215894528a
114,217alex
115,21danielk
116,21omer21
117,220joey
118,22james8
119,22paccc
120,23ww
121,23yoram05
122,2405y2003
123,2421990
124,24kmagik
125,258bruce
126,25chiko
127,26cyril770
128,2792006
129,27asaf
130,282156carlo
131,28876886
132,2big4u22
133,2fluffy4u2
134,2gamer4life
135,2gmailcom
136,2manypusssi3s
137,2pants
138,2riski
139,2yona4
140,2_oriyan
141,300warrior
142,30amit30
143,312daniel
144,31abc31
145,323rer
146,33060e
147,330gt
148,331ofek
149,333ilait
150,33penguin
151,3456t
152,3994alexander
153,3mdcd5ws4t
154,3oday98
155,3ortima
156,3rdaccount2reach1800
157,3vyatar
158,3xdy
159,3y5y3
160,400zurzur
161,43676
162,44opak44
163,45451211
164,463269
165,470ha
166,47355
167,47itay47
168,4brotheryeska
169,4dgame
170,4gilad0
171,4hashemdl8thind
172,4p0110
173,4rctic4
174,4s4f
175,4sash
176,4town
177,50stuck
178,5151asdf
179,515p
180,523610909
181,5361745
182,53elen
183,55sk
184,5656007
185,575daniel
186,58135sha
187,5amurai42
188,5h47
189,5oggyfish
190,5shaked5
191,5tint
192,5zeev
193,60nice
194,6126
195,64stangman
196,666ariksan
197,6848
198,68h77m
199,69chadchampion
200,69imthebest
201,69vercingetorix69
202,6b31bc
203,6d61726b
204,6lias
205,6omer9
206,6pack1111
207,7122998
208,720jumping
209,777cook
210,777j58
211,780barbara
212,78y
213,7dayan
214,7nimrod
215,7ohad43
216,7powerty
217,7wells
218,811zoeysh
