player_index,username
0,1234swdefg
1,123allo
2,14cruyff
3,1984cb
4,323tobar
5,4724gt
6,4lexx
7,8jkeptg5
8,8mumu8
9,aarcash
10,aarroneous
11,abazde
12,abdulplayschess
13,absentphoto
14,abstract34
15,accioepiskey
16,acetaminophen1
17,acgcg
18,acheechee
19,adam0949
20,adgu97
21,ag134
22,ageb1987
23,aglynn4
24,agzaid
25,aharon10
26,ahmbat
27,ahol47
28,akhilanil0
29,akumareborn
30,al-dwd
31,alanr100
32,albalupus
33,albertkills17
34,alekseiprishchepo
35,alexanderchessmade
36,alexanderofmay
37,alextheseal77
38,alfacalzone
39,ali_999
40,alltidriver77
41,alormsby
42,alskalsk
43,amaryy
44,anal45
45,ananttc
46,andhaghoda
47,andrewmurty
48,andrews1630
49,andria207
50,andyar8
51,andymccormik
52,anjengkau
53,antins
54,antybee
55,armze
56,arrnyy
57,astaroid
58,atlas9911
59,attic111
60,avatar5
61,averagesnow
62,aviklu1
63,ayaend
64,azagalor
65,baard04
66,bacik7
67,badger38
68,badpawns
69,balloutboymaddoc
70,bart12345654321
71,bartonbeaumont
72,bashupwildman
73,basiliclapped
74,basslinemonke
75,bazil1976
76,bazilfahey
77,bcwallin
78,beauchallis
79,bedu89
80,beef80
81,belcher86
82,bellaposner
83,benreddikff
84,beserkbiscuit
85,besinnungslos
86,bessgreen
87,betta61
88,bfg85
89,bidur17
90,bigblackqueengogogo
91,billybar
92,bingbong056
93,bishop_sacrifice_2
94,bitternoseframe
95,bjorntoby
96,bl4cksus
97,bli_bli
98,blopperman
99,blunderbuss83
100,blundermeister42069
101,bobertjohnson
102,bofral
103,boketto369
104,bonester05
105,borisjohnson69123
106,bplusa
107,bradders18
108,braydenroche
109,brianmarkrehill
110,bromosapien
111,bsgm
112,budyniozaur
113,busiedtomb
114,butteredmonkey
115,bwurster632
116,byrdwayz
117,byronfr
118,cainer108
119,caiocesarcaligula
120,calityler
121,camren19
122,captain_willy
123,cawtey
124,cbanksy
125,chakhm
126,chapmanma
127,charizard949
128,charlie798
129,charlietrees
130,chasebrooklyn
131,chessclubsix
132,chessdezoo
133,chessiguess20
134,chessnoob275
135,chetan10031989
136,chexyskip
137,chezian76
138,chicotillo
139,chivite
140,chrismarloweuk
141,chrisoyoyyo
142,chubbs1002
143,ciburuan
144,ciucci0
145,cjsco
146,claraz
147,clazza79
148,cleopatraww
149,colinfurner
150,colinodonovan
151,comingformagnus
152,conor318
153,constantinapolis
154,copulina
155,corlion
