player_index,username
0,004993
1,0058hamid
2,0069663645m
3,007hk
4,007mehrdad
5,007nima
6,0080807771
7,00989120245668
8,0098iman
9,00alireza00
10,00darkman
11,00iman00
12,00template00
13,0123321
14,01amir01
15,01wanheda10
16,021ali
17,021ramin
18,0250arezu
19,0618da0618
20,08311380sajadzare
21,0913af
22,09141077628
23,09141707883rezakhoda
24,09145289768
25,0914salam
26,0915371
27,09179918574
28,09186000548
29,09190370767
30,09190856833
31,09338990906
32,09373067405iooop
33,0938ehsan321
34,0989306094887f
35,0alirez0iran
36,0hamid0
37,0izys
38,0kamyar0
39,0mapam0
40,0oooaandaoo0
41,0pam
42,0s0s00
43,1-friend
44,100guy
45,1029384756h
46,10371887
47,1072649
48,10ck
49,10mahtab01
50,110anis
51,1111asa1111
52,111222vahid
53,1113380085
54,111ahmad
55,11479sh
56,1200min
57,123-123-123-123-123
58,1234321karvan
59,123456jamal
60,123456namat
61,12345qazwsc
62,1234asdfzxcv
63,1234fa
64,1234tu5
65,123arash_rafiee
66,123masoudrezaei
67,123najafi
68,1247
69,1286583888
70,12amirrima12
71,12mansour12
72,12parham12
73,12see522
74,1332mr1332
75,1335478
76,13421389
77,1348mg1348
78,13491352par
79,1350479
80,1354javan
81,1355hm
82,1355l
83,1355moosavi
84,13579tan
85,1357reza
86,1359aabdolbagheri
87,1359hamidreza
88,13600rs
89,13630maha
90,13650715a
91,1365foadbehrooz
92,1367ariyaee
93,1367sadra
94,1368hamed
95,1372amir
96,1372mohamma
97,137546
98,1375mohammad
99,1378amintagy
100,1385aarr1354
101,1386iliya
102,1389pouria1389
103,1391h
104,1394mehdi
105,13amir
106,13dew13
107,13mehrad86
108,13mohamad13
109,13pouria_m82
110,15168924
111,1533
112,156947hossein_zareie
113,16_ramin
114,18mahdi18
115,18november1986
116,1960reza
117,1987omidmirzaei
118,1990black
119,1992samsam
120,1993moonlight
121,1995samira
122,1999saleh2018
123,19luckyluke85
124,19peyman99
125,19reza99
126,1abbas66
127,1abes1
128,1alimoh42
129,1alireza_zbt
130,1amg1
131,1amirpooya
132,1ao
133,1ar11ef10fe00ra0
134,1asdfghjk
135,1b1a
136,1beautifulmind
137,1cheesman1
138,1darvishi
139,1f5
140,1gk2
141,1lg4t0r
142,1mohammadbakhshi
143,1parsa1
144,1samasadi2
145,1sh2
146,1sib
147,1stjoker
148,1strategistofiust
149,1ufndnwifndnfjdiwksk
150,1unouno
151,1_habib
152,2-f
153,2001-yamato
154,2004_ma
155,2015tg387goblin
156,2020_hamidreza
157,2021reza2021
158,20mahdi04
159,20mahdi05
160,21amin16
161,21hosein
162,21vennus
163,22mordad
164,230849
165,2314hassan
166,2323mahbub
167,234456789
168,24500ab64125
169,24amirabbas24
170,24melina
171,24reza
172,2531chess
173,2731362
174,293296
175,2khtar
176,2m00r2
177,2mahsafazeli
178,2mohebi
179,2s5h6a
180,2saeed2
181,2x96
182,30gma
183,30yavashm
184,313389853amir
185,313iran313
186,3161760
187,31mohsen
188,324mahdi5
189,3372ami
190,3404
191,3801211551
192,39413941
193,3aeedbutcher
194,3ami99
195,3epsb
196,3gholooha
197,3hsawnnn
198,3lhambnz
199,3liii7007
200,3obhan
201,3oro6
202,3sarvai
203,3spher3
204,3zar69
205,4030hamid
206,4030mmd
207,4072224928mavi
208,40roos
209,413546saeedhosini1
210,41nd
211,420jooker
212,4213251884
213,42majid
214,42younes
215,457ramin
216,4659899000
217,49mohsen
218,4bidnzone
219,4ehsan
220,4ftn4
221,4l1_kh4mk4r
222,4locker2312
223,4mezrab
224,4miiir
225,4rman7777
226,5782263
227,585285
228,5901farshad
229,5amin8
230,5etemadi
231,5hahrokh
232,5rali
233,6271hossein
234,62mhm62
235,631098
236,63_m
237,6531bijan
238,65azim
239,6651277
240,666king666
241,66omid
242,68farsha
243,69alireza
244,69morteza
245,6perspolis6
246,701177e
247,717a109
248,74311mo74311mi
249,75amirali1375
250,75xxx75
251,767676sohyel
252,7777777md
253,77armansh
254,77ghadi
255,77msf77
256,780701
257,7878m
258,78vahed
259,79zahra79niarpour79
260,7amaaan
261,7danesh
262,7honar
263,7mrmjd1377
264,8009abcd
265,809052
266,8181chess
267,83104amirreza
268,85123233a
269,886459mahyar
270,888a
271,8897ddr
272,88parsa
273,8ehn4m
274,8farshid
275,8huber8
276,8keyvan2
277,8matin8
278,8rfan
279,8rostam8
280,8saeid8
281,9080mohamadjohari
282,90nia
283,91ha
284,926jafar
285,9412390110dj
286,97arsam
287,98935
288,98hesam98
289,9hiih8
290,a-a1384
291,a-b-m-v
292,a-eftekhari
293,a-karimnia
294,a-m-6
295,a-m_2021
296,a-r-m122
297,a-reghabi
298,a-shook
299,a0332
300,a0676
301,a0714
302,a0728
303,a09222021885
304,a09362024626
