player_index,username
0,08ingimar
1,0rn1
2,12123456789
3,123selfoss
4,13mrrobot
5,19ibb55
6,1c3l4nd
7,1canopy
8,1egills
9,1sigur
10,1spikespiegel
11,1_26_61_39
12,220458
13,225713
14,22ahmed22
15,29ns
16,2barrybonds5
17,2hendurahundi
18,32retgh
19,3ggudna
20,3spirit
21,4129
22,45kristjan
23,45trump
24,4rcipl
25,57skak
26,5bo
27,66boomer66
28,7hgln
29,8lafur
30,8tommi
31,97gudjonh
32,aabiuen
33,aadeinn
34,aahorse
35,aatlii
36,abba2020
37,abracadabra1958
38,abrobro
39,ab_mjolk
40,ac130-ghostrider
41,acbalestegui
42,accipiter1974
43,acemoneyg
44,achillesnordicchess
45,acopovich
46,acromelalga
47,acrozap
48,adalskakogmat
49,adam4757
50,adamcio99
51,adamkagulyas
52,adamvidarsson
53,adda63
54,addi290
55,addiawesome
56,addikagust
57,addikari
58,addorri
59,addy1988
60,adjuncttact
61,aegir20
62,aegirsig
63,aesti
64,affenzahnman
65,afi15
66,afi19551
67,afisteini
68,afvdbxhtcd
69,agapimo
70,aggantyr
71,aggith
72,agli301
73,agnarbergsson
74,agnaringi
75,agnarm
76,agnarmagnusson
77,agnarmm
78,agneslg
79,agnesth
80,agumm
81,aguqueen
82,agust16
83,agustarnarson
84,agustfa
85,agustkarlsson
86,agustorn
87,agustzak
88,aha1000
89,ahmetozturk87
90,ahri_187
91,aje1
92,ajg78
93,ajohannesson
94,ajul66
95,ak-1211
96,ak24alive
97,akastar
98,akiprom
99,akjepp
100,aksss
101,alanmaneg
102,alanna2009
103,alberichrj
104,alberterluson
105,albertomar50
106,albertsav
107,albertxtr
108,aldis1
109,aldise
110,aldsbjrgvinsdttir
111,alefein
112,aleifur
113,alena100
114,aleofifi
115,alex1944
116,alexanderandersen00
117,alexanderbjonsson
118,alexanderbreki10
119,alexanderbrynjarsson
120,alexanderrunarsson
121,alexanderstef
122,alexandrabjork
123,alexandrefm
124,alexfreyrl
