player_index,username
0,--hugo--
1,-beatles-
2,-gabriel
3,-nerf-
4,000infinite
5,000thefed000
6,00110010
7,00186lukins
8,005angelo
9,007biagio
10,007cavalli
11,007jam
12,007liuck
13,007patto
14,00aleleo
15,00alfa13
16,00basso
17,00blackorwhite00
18,00blackwolf00
19,00carlo007
20,00filippo00
21,00giojo00
22,00gulo
23,00gummo00
24,00kira
25,00livelife00
26,00marlboro
27,00pablo00
28,00pellet
29,00raizo
30,00robertford
31,00zicky
32,00_sebs
33,011andrea
34,011robb
35,01224386
36,0123liam
37,01710_mc
38,01dark01
39,01eagle01
40,01ego
41,01este10
42,01lonewolf2056
43,01nando01
44,01thepianist
45,021_tsune
46,022pedro
47,0293uj
48,03pietro03
49,040965
50,04v1d3
51,053tom
52,05francesco17
53,05manuel05
54,0711bobby
55,07cassandra
56,07gio07
57,088rd
58,09100
59,09massimo48
60,09tommy05
61,0ak47
62,0alessandra0
63,0alme0
64,0amme0
65,0andra0
66,0assoluto
67,0boosta0
68,0char
69,0cirn3
70,0defa0
71,0disseo
72,0donbastiano0
73,0durden
74,0ehecatl
75,0ernest0
76,0ff4r
77,0ggyboss
78,0gian
79,0harlok0
80,0headpepega
81,0hfra
82,0hybris1
83,0ibaf
84,0jeje0
85,0jolly0
86,0killthenoise0
87,0l0ap
88,0ld0
89,0lon
90,0mads
91,0mattia0
92,0mbo
93,0mdg0
94,0michele0
95,0mrblue0
96,0mysk
97,0mythoszero0
98,0ndalunga
99,0niarttev
100,0non4
101,0ntherocks
102,0paolohanzo0
103,0paradox
104,0phil98
105,0prometeo0
106,0r4cl3
107,0ra51
108,0rangewin3
109,0regulus0
110,0rey
111,0ricca0
112,0rollo
113,0rulla0
114,0s3ss
115,0saint
116,0saraaaaaa0
117,0scar15
118,0somacruz0
119,0spacedandy0
120,0staka
121,0tre
122,0u55ama
123,0ugi
124,0ur0b0r0s
125,0xfeb
126,0xjok3r
127,0zerbino
128,0zerone1
129,0_monolith
