player_index,username
0,1001-knights
1,2020jt
2,84raptor
3,adam8192
4,adamgower14
5,advad
6,aeronautin
7,afcgooner65
8,ahandfullofdom
9,ahod27
10,ainos451
11,aleksandragaldyn
12,alexpatrao
13,alexsyvret
14,allicezet
15,alungriff
16,alyaschoudhary701
17,amalorey1202
18,ameliesian
19,amrmazhar
20,andrewo9
21,andyfh
22,andypro1989
23,anna572
24,ano48hrs
25,aojsy
26,ape5582
27,aqibsunny
28,arcaphos
29,aroyrutt
30,ashburgo
31,azzatron5000
32,baaily
33,bambammanchego
34,barty17
35,bazei
36,beaterofajs
37,beckyl
38,bedane
39,beefcube
40,bencarlson7
41,benchev2000
42,benh3002
43,benmitch07
44,bennettlee46
45,bethharmon789
46,biddingsames
47,bigpommo
48,blacksparky22
49,bondiboss
50,bond_vagabond
51,bonebagger
52,boredostrich
53,brettricketts
54,bruceleechessmaster
55,calebeli
56,camo707
57,campbell1998
58,capri60
59,catagxg1987
60,catcamara
61,charliegicquel
62,charliemccammon
63,charliemorel
64,charlienoel8
65,chatr0y
66,checkmateymate
67,chelseakings
68,chessexpert102
69,chipfield
70,chiwiz7
71,chrisjonesjersey
72,chronicthehodgeheg
73,cjsharman
74,cjtou
75,clownpuppet
76,coatsey88
77,columbam
78,conc1997
79,coolkey66
80,corrina5
81,cutiegab
82,dancan74
83,danielcarter98
84,dannon23
85,dataisall
86,davesilv
87,davidlavington
88,dazhimself
89,decio83
90,declanpyne123
91,delborino
92,demonsareborn
93,dickertdoc
94,digbyibbo
95,dom123efc
96,donkey1717
97,donovan1914
98,dsrobson
99,duncleronnie
100,dylan132471
101,dylanthomaidis
102,eddd7
103,edislugonjaa
104,ekajremlap
105,elisedixon
106,emmalou33
107,emmaox
108,emmatheloser
109,eofernandez
110,equipoiseblue
111,erik5800
112,et-1981
113,eudo1
114,ewserx
115,e_smyth
116,f126509
117,facefaceii
118,falcon13
119,finbarr2912
120,finglofin
121,fishphi
122,flamingsamcooper
123,flawedgenius
124,flowbackward
125,foresttel1
126,freddie282
127,fronczy
128,fvstinger
129,ganeshkk
130,gbo200
131,gediwarrior
132,get1rekt
133,gfcfctfctfcft
134,givemeyourbishoppls
135,glc63
136,godfreezy
137,gogthedog
138,gokitagawa
139,gorlim27
140,gosiahy
141,gottimumillz
142,grandmasterclaud
143,greendinoco
144,grez1097
145,gridloco
146,grouvilleknight
147,guffnour
148,guidovader
149,gutchi
150,harryhindhaugh
151,hetherington03
152,hillo1
153,holl75
154,hoocheekoocheem4n
155,hpasc12
156,imrealmail
157,indybinds
158,inkvein
159,iona0
160,irksomelynx
161,ivokanevo
162,iwillbombyou
163,izzybirtwistle
164,jackwilson91
165,jacobhill675
166,jaiho3
167,jake846
168,jakewl
169,jakey1012
170,james4v8
171,jamesisabeast8495
172,jamesishunt
173,jameslecuirot
174,janetjonesforever
175,jasonjsy
176,jckelleher
177,jdc744
178,jdh48
179,jeff364
180,jerseyali
181,jerseyboy156
182,jerseyfox
183,jerseyghost
184,jerseypheonix
185,jersey_135
186,jess2119
187,jesus519731
188,jim14789
189,jimejim
190,jjordo
191,jmillsy2
192,joeexotic12
193,jon20jersey
194,jonjames66
195,jonnyzomparollie
196,joshrondel
197,jovialreck
198,jsy35
199,jsyelsa
200,jsykain
201,katiesharman
202,kerigray123
203,khalanwright
204,kingblantyre
205,kingstring
206,kitemaster
207,kncmxxi
208,knighttoqueen3
209,kuba1734
210,kwaailappies
211,leftknight4
212,legendpatron
213,lerousejersey
214,libertopia91
215,lillp31
216,limpingoat
217,liquidsticks
218,liviujag
