player_index,username
0,0malphaboss
1,123456678o
2,123456789zroma
3,12345rockeem
4,147worm
5,197three
6,1nspec
7,1rejoicer
8,1savage00
9,1silentriver
10,1suvorov
11,2005gabriel
12,2t1x1
13,3luslve
14,44r0nchrr
15,4dnlulleeh
16,4ime2gethig0
17,4jiueaityu
18,55shadowhunter55
19,6rendan
20,7a8o7a
21,876islander
22,876ramos
23,876_island_boy
24,9plus10jafifastream
25,aantoniodaviss
26,aaronfreckleton
27,abadabado
28,abeng1914
29,aberdeenwilliams
30,abills86
31,abreu13
32,abusurdo
33,acecheckers69
34,adot89
35,adrianchessfagan
36,adridon
37,ahmtylmz
38,ahrensbalwit
39,aimic
40,ajaylee2003
41,ajiz45
42,ajstewart
43,ajwadzainal
44,akeem_kemo
45,akinto83
46,akipress
47,akosijun2
48,akulane
49,akuma_no_namida
50,alanready
51,alber103
52,alcantim
53,alchem1
54,aldocir
55,alexlety
56,alexr1019
57,alexspencer2807
58,alex_290
59,alfactor99
60,aljay01
61,alkhad22
62,allenj28
63,almightyshotta
64,altontoussaintnyc
65,always_the_king
66,alyssa2011
67,amanialex
68,amirulllll
69,amvm
70,an0nja
71,anarchy1080
72,anatknig
73,ancientorigin
74,andrematoos
75,andrewfreckleton
76,andy10101010
77,anima-libera
78,anonymous2858
79,anonymouscombo
80,anon_88
81,antzy90
82,anunakisan
83,anxiousdolphin
84,apeez007
85,archichess9
86,argentivas
87,argull1966
88,ariana19054
89,arijinal
90,arosteminis
91,ash1016
92,ashkenmills
93,ashleighmcintosh
94,ashleysinclair3181
95,asterrysk
96,astonalex
97,atonysoprano
98,aubreyfischer
99,auvilleh
100,averagequeen
101,aviator37
102,avionicsone
103,avitan
104,avrekh
105,avril876
106,awarebunny
107,awoundy
108,aykdem
109,azikiwehowe
110,aztecgold
111,a_soares
112,badbwoywill
113,badman1987
114,bakkkabush
115,ballzhead
116,bapakloanjing
117,baris1356
118,baroquemaple
119,bassplayaplaya
120,baywolves
121,bbfmane
122,bc2ez
123,beastunlocked
124,beenie-man
125,beginnertheo
126,bellbell1979
127,bennys_got_game
128,bensonpayne
129,benweigher
130,ben_dover_nao
131,beom231
132,bernardisimo
133,bestkeptsecret1911
134,be_jamin
135,bibobobi
136,bicles
137,bigbdiking
138,big_pirate
139,bimmerman1
140,bindicap
141,binheadkenny
142,bird1000
143,bishop4l20
144,blackankhreborn
145,blackmidas
146,blackmilk666
147,blacksolider
148,blazethegreen420
149,bleierbiology
150,bloodclart
151,bloodclxtt
152,blord7
153,blqsolo
154,blunderbear
155,bmhenryj
156,bobby8550
157,bobbybap
158,bobmarleyganjaman
159,bobmcbow
160,bobsilentski
161,bobskull01
162,boidontget52
163,boils
164,bombuhclaat
165,bonanzam
166,bongrimper
167,bossyute
168,bowng
169,bradcoore
170,bradleyalex
171,brainbld
172,brain_pulp
173,breakb4bend
174,breif99
175,brianb10
176,briansurasky
177,bribrialex
178,brilliantcrow
179,brisgoat
180,brodoy
181,brooksboss
182,broskithegambler
183,brownmb7
184,bryan_smart
185,btkalana9
186,btkmarcus11
187,bulishchess
188,bulos79
189,bungeecum
190,bushdoc
191,bussyarass
192,bust98
193,buymytoy
194,bvsx19
195,caidentro
196,cannabisnatural
197,canutef
198,cardacter
199,caribbeancrayon
200,carl00s
201,carl318
202,carl553210
203,carlblake2008
204,carlitosloco
205,carlosateam
206,carlphamilton
207,carte_420
208,caspms
209,catalystx
210,cavarpeters
211,ccarlann
212,cchambers22
213,chad-anthoneywatt
214,chadrickbrown
215,chalwaah
216,chantalmcfarlane
217,chargelstro
218,checho420
219,checkerslovakian
220,checkja_mate
221,checkmatedeznutz
222,cheeeks_boah
223,chepf
224,chessagician
225,chesschampion505
226,chessclubsteddy
227,chessdeep31
228,chessgad1
229,chessgad11
230,chessisay
231,chessjunkie69x
232,chesslearner228
233,chesslifeog
234,chessloseroriginal
235,chessmast946
236,chessmastermalc
237,chessmotorman
238,chesswiz89
239,chess_mandingo
240,chess_student
241,chevreid
242,chiefaward
243,chief_cleve420
244,chillapov
245,chimbopicon
246,chingchangthompson
247,choleraarcencielyo
248,chooksmp44
249,chrislandro
250,chrisnick098
251,christihaha
252,christoffmurray
253,cinnic11
254,cito100007
255,civilworship
256,cix6
257,cjugar
258,claesch
259,cmakaa1
260,cohlin1
261,cold16flash
262,comeback91
263,conna71
264,corradde
265,corzztm
266,cotterell2
267,country-man
268,crackrjmi
269,crappyboij
270,crat13
271,cricfanatic22
272,crisano10
273,crownmaven
274,crumbs1
275,cspence25
276,ctrojanovich
277,cul0o0o
278,cursedenergy
279,cwk-hanniel-j
280,cybermavryck
281,d23r
282,d4ismine
283,daaamnbroo
284,daddy453
285,daddyhay
286,daemon1999
287,dajama77
288,damanic0
289,damarirrx
290,damilblue
291,damioncrawford94
292,dangerko
293,daniean7
294,danieltracatraca
295,danii_cole
296,darklnight1
297,darkoshestak
298,darkside2012
299,darthmacaren
300,darthzader
301,dasaika
302,dasheen
303,datgarcon
304,davaughe
305,davideff
306,davidon876
307,davinjones
308,davionsterling
309,dawintaz
310,dd219
311,deadlydudley
312,dean2044
313,deathlysilent
314,deedimes
315,deejamaican
316,deja27
317,dejwill
318,delano_morant
319,delzabrown
320,demnevano
321,denton48
322,denzelclarke
323,deojoanna
324,determinedhay
325,dexter_reox
326,di020
327,di028
328,diannihilyst
329,didar21
330,didi2017
331,didier88
332,didoudz41
333,diegogreen44
334,dimanhimself
335,diplodrave
336,direwolfking
337,discodav3
338,discountdionysus
339,dispencermay
340,dizza911
341,dj233
342,djbobo99
343,djermt
344,djnarosound
345,dj_kev
346,doa057
347,doc_jmad
348,dominique3d
349,domo876
350,don4t45
351,donovanrussell
352,dorrianna
353,dovesflywitheagles
354,draebiker
355,dragonxchess
356,dre2551
357,dreamchess2241
358,drehewell_876
359,dremer91
360,drewcleveland33
361,dribbler98
362,drinkmorewaters
363,drmpn1876
364,drummerj38
365,drw707
366,drwhite2010
367,dsimpson3
368,dtg10
369,duce69420
370,dujon2018
371,duvie15
372,dw00d
373,dwanemmm
374,dwaynewalters
375,dx92
376,dy101
377,dybala1116
378,dynastianxz
379,d_nemesis
380,earlyb115
381,eb1kenobie
382,ebony_pawn
