player_index,username
0,00afcc
1,00patzer00
2,010a1
3,01yoko
4,06yuki12
5,0928taro
6,0desza
7,0fum1
8,0x0000000f
9,10teki1000seki
10,110812
11,11hunter
12,1230miki
13,123augie456
14,13domiz
15,143kenpachi
16,143zoro
17,149iqbtw
18,14daniel88
19,166anonymous
20,18yo
21,1980taka1980
22,1kuhakuuu1
23,1peach3
24,1qqwwee1
25,1staria
26,1u_tkd
27,2005adam
28,2015robertjenkins
29,20gambit
30,21average69
31,22422848697
32,22hildastreet
33,24cb01
34,24loko
35,2525win
36,2525win2
37,25matthewg
38,26kubo
39,2887yo
40,2900pior
41,2andahalfknight
42,2ez4m
43,2ez4_levi
44,2jz_gte
45,2kobayashi
46,2lame4fame
47,2ndgrade_chesschamp
48,2sidesofthesamecoin
49,2xc13cnf
50,31415926535897932324
51,317ch
52,31ozcan
53,321bo
54,32kiki
55,3373
56,34ujii
57,3dno777
58,3ky9
59,3picgamer
60,3rdyoungmaster
61,3wheeler
62,41ibuki
63,420daddy
64,478577
65,4agete
66,4elove4eck
67,4kiok4
68,4knee
69,4nev
70,4nonym0u5_uwu
71,4o2d1b
72,4oka4oka
73,4shoya21
74,4step
75,4yaka
76,505trytry
77,556er
78,55five55
79,5checkspersecond
80,5k1p
81,5kaburao
82,63linda
83,65187r
84,65454gggg
85,666maximilian666
86,69raku
87,7731miles
88,777nagibator777
89,7ackerman
90,7aio
91,7chi
92,7mrmoon
93,7orget-me-not
94,808dimes
95,80andabove
96,86marks
97,8est
98,8eumenes8
99,8kgkn
100,8kojima8
101,90srustbucket
102,9cirno9
103,9indie
104,9ueen
105,a0n1i2k3
106,a10ton
107,a122436
108,a1fa1pha
109,a4114
110,a5agi
111,a9576i
112,aaa2676
113,aaaan21
114,aaay4892
115,aad051
116,aajimbojamesaa
117,aatm
118,aavashp
119,abc1397
120,abc3037
121,abc3141
122,abcdefg13579
123,abcdefghijklmnoqrstm
124,abcz0021
125,abdulazizismailov
126,abdulmohsenahmed
127,abed4809
128,abeno
129,abe_22
130,abhilashchakraborty
131,abhinandan123
132,abhishek070
133,abirsarker
134,abishekram1991
135,abiyan33
136,abkumars
137,ablewasisawelba
138,abolfazlhoseinpour
139,aboveforever
140,abowespear
141,abrakadabra1337
142,abroadorseveral
143,abslion
144,absomad91
145,abyss1995
146,acab242
147,accuratetorpedo
148,aceflusher
149,acesujan
150,achaochoo
151,achessplayingweeb
152,acidicsteel
153,acidmotherstemple
154,acky505
155,ad0ption
156,adachi9658
157,adadahide
158,adamantiumx
159,adamgpartridge
160,adarawat
161,addek1ng
162,adieutristesse
163,adjfgo3n4
164,admiralmaeda
165,admira_p
166,admjtw
167,adorjpurev
168,adotokyo
169,adritoca
170,adsawa
171,adslyy
172,aegis2016
173,aeiou0
174,aerog
175,aeronsendar
176,aesas
177,aesirjpn
178,aetheriansoldier
179,aeykei
180,afikwe
181,ag243
182,agedis
183,agentbanana13
184,aghazadek
185,agiatot
186,agoodbigtree
187,agoraholic
188,ahaeflig
189,ahahdbrjehdc
190,ahhfokeu
191,ahihi_chetmaychua
192,ahmadrlfa
193,ahmadshammout
194,ahmedalmarasy
195,ahonakingnobby
196,ahrenjp
197,ahruul
198,ai1214
199,ai718
200,aiako
201,aidanwatters
202,aihara_mei20
203,aika9
204,aikakuroiwa
205,aikenteiaikentei
206,aimi118
207,ainsophaur6
208,ainsowlgown
209,air-round
210,airbreeze85
211,airg804
212,airi1211
213,airi_namikaze
214,airman417
215,aisha-articphy
216,aissa2021
217,aiueokaiku
218,aiueow
219,aizxrazz
220,aizz77
221,ai_zeru
222,ajax_ajax
223,ajiponk
224,ajisai1
225,ajtgjm
226,ajun25
227,ak001450119
228,ak1_aria
229,akabekp
230,akachian
231,akage2012
232,akagisha
233,akahako
234,akahoshi22
235,akai221b
236,akamurasambenika
237,akane1108
238,akane_chess
239,akarats
240,akari2
241,akariming
242,akarimiz
243,akashi1teiko
244,akashsn4
245,ake0916
246,akhmadsakroni
247,akholbi
248,aki1201
249,akiemon
250,akifurrahman
251,akihabra
252,akihiko_m
253,akihiro24
254,akihitokanbara
255,akilesho7
256,akimotoyasushi
257,akioislearning
258,akira0405
259,akirafather
260,akirafm
261,akiragurupu
262,akiramorimae
263,akirastar39
264,akirawww
265,akison08
266,akitachess
267,akito-kanade
268,akito2
269,akitokazuki
270,akivamiccovner
271,akk1234k
272,akodoyobi
273,akp29
274,akubijin
275,akuma001
276,akumzui
277,akutori
278,akyupon
279,al4th
280,alamyza
281,alanandcevin
282,alanbnow
283,alanmaxus
284,alanninja
285,albamorey
286,alberchino
287,alcajeda
288,alcuin
289,alecworthen
290,aledzero
291,alekhinetnc
292,alenalapteva
293,alenkopume
294,aleto77
295,alexanderjimnez
296,alexanderkern1
297,alexanderwiley
298,alexandreim
299,alexgreenb
300,alexiostar
301,alexkoji44
302,alexpgregg
303,alexsugoy
304,alexxger
305,alfredocadario
306,ali652584
307,ali9496
308,alialkaff
309,aliasghar17
310,alicelack
311,alicezuberg
312,alimaravilloso
313,alinaloganova2009
314,aliveyoyo
315,alkatale
316,all3mi
317,allimportant
318,allthefives
319,allure0
320,allwiz
321,almidoir
322,almikur
323,almondjoy06
324,aloisiofuzii
325,alos-linx
326,alpha197420
327,alpine45
328,alright0704
329,altzn_24
330,alucard10102006
331,alvaronakanebjj
332,alvin1977
333,amagurisenko
334,amamikyu
335,amandanda
336,amanjeet19
337,amanjeetsingh7
338,amanojakushi
339,amanokozue
340,aman_boi
341,amaramar213
342,amargaretti
343,amasugi
344,amaterasuletter
345,amature31
346,amazingantt
347,ambiesan
