player_index,username
0,0711266902
1,09fami
2,0lebo
3,0x7678
4,10beerguy
5,1gachanja
6,1hudb
7,1nthon9
8,1qaz123
9,21ruon
10,23myk
11,254marcus
12,360circle
13,4ddavemir4d
14,4sons
15,5h311mith
16,5malz
17,6iol
18,87keys23
19,90sbebe
20,a-d-bar
21,a11maverick
22,a7ij1n
23,aajka
24,abbyhassan
25,abdinasirahmed
26,abdiwahidguhad
27,abdom81
28,abedmasai
29,abelooo
30,abhi_nars
31,abigael11
32,abigael17
33,abigailan
34,absurdumbrella
35,absurd_mind
36,abuyaselina
37,abuzubeir
38,accept_drawoffer
39,achaichol
40,achanchol
41,achiadarryl
42,achuony
43,aciida
44,acn0l0gia
45,activebeetle
46,activejet
47,acuteabdomen
48,adanali0140
49,adego10
50,adego254
51,adisot
52,adityendrazyx
53,adrianogesi
54,adyvee
55,africanorchestra
56,africantal
57,afrikanrenaissance
58,agent95
59,agjons
60,ahcakarak
61,ahmed314tt
62,ahmednaji43020
63,ahmez948
64,airamenak
65,aiseret
66,ajimoh
67,akalmaster
68,akwabimasaiatwoli
69,alczervik
70,alearn13
71,alec9100
72,alecfest
73,alekialeku
74,alelaronny
75,alex1pato
76,alexgitonga
77,alexkamalu
78,alexmunene
79,alexonsar
80,alexsang92
81,alex_a_w
82,alfad44
83,alfayeed09
84,alfayeed3
85,alfielino
86,alfred444
87,alfredadongo
88,alfredtoo
89,ali1928374655
90,aliciamwikali
91,alienray
92,alien_prince
93,alihermis
94,alilahlerry
95,alipli
96,alisao
97,alksai
98,allan12great
99,allexsheff
100,allo16
101,almafazy
102,alniqoz
103,alpha46
104,alphar25
105,alphasoko
106,alpha_ten
107,altgr188
108,alusawhim
109,aluu12
110,alvaroperez-pla
111,alvotuya84
112,alvynah
113,alvynah_queen
114,am1tom
115,amarpreetchana
116,amazingfaith
117,ambet1
118,ameera_1780
119,ameersaid
120,amimoz
121,amin_ezma
122,ammon983
123,amoh12
124,amollo
125,amomir28
126,amonviejo
127,amoo01
128,anandbt
129,anarltd
130,anasmh2003
131,anchiakabuu
132,andredons
133,andrewandy0
134,andrewatianyi
135,andrewbrx
136,andrewgitonga
137,andua1
138,anduvy
139,andweki
140,angasa73
141,angie20011304
142,ani1221
143,anilkumar254
144,anirudhagastyaraju
145,anitahjackson22
146,anitaotsyula
147,anjunaben
148,ankit2604
149,ankz13
150,annamalil
151,annerwenji
152,ano101
153,anoormohamed
154,ansalka
155,antocerebral
156,anwarika6525
157,ap_mburu
158,arapkirui92
159,arcch13
160,argaiselle
161,aria-ikaria
162,arito_j
163,arnold_k_makbi
164,aru_005
165,aryanmenaria
166,ashleyapondi
167,asimkenya
168,asphodelmidnight1707
169,astyl
170,atera92
171,athkas
172,atuse1983
173,automatictulip
174,aveskenya
175,avi022
176,aviram787
177,awambura
178,awende
179,axekimoney
180,ayieyaz
181,ayrt237
182,ayuak
183,ayyzoh
184,a_gore
185,a_mutheu
186,b2-m
187,b3jack
188,baalwawesh
189,babakshahbaz
190,babangidawekh
191,babix2
192,bablulu
193,babu1452
194,badbishop254
195,baddabum
196,badman2169
197,bage1w
198,bahalulu
199,bakachessmaster
200,balenkai
201,bamegoy
202,bamfordbize
203,barazza
204,barnabastanui
205,barrykip
206,barry_hawi
207,basket05
208,bassoonist12
209,bawizzy98
210,bazuo
211,bcdi2308
212,bcore
213,beatrice30
214,beetrots
215,beigeboy
216,beliot
217,benchessforreal
218,benedictuspope
219,benjaminonyango
220,benjaminotago
221,benkags
222,benkip87
223,benkish001
224,benlari
225,benniebarlow
226,benny1110
227,benz8491
228,bernicew
229,bernitoflemms
230,best254
231,bethuelk
232,beyunce
233,bgessesse
234,bhular
235,biancachessmaster
236,bibo_h
237,bigdaddybev
238,bigunspopping
239,bijombom
240,bikkojoe
241,bikxs
242,bilaal27
243,billydoe
244,bim11697
245,bitwise91
246,bko12
247,bkuuchi
248,bl4ckviking
249,blackmeddick
250,blackqueen09
251,blackrock0
252,blackrooky
253,blacksasquach
254,blacksimba1
255,blacktivity
256,blaqs11
257,blaqsasquach
258,blerym
259,blessed254
260,blitzkrieg1069
261,blitzmaster079
262,bloody40
263,bluebird46
264,bmetto9
265,bmutethia
266,bmwendwa4
267,bobkqa
268,bodenwise
269,boglallay
270,bokizzy
271,bonae_mkenya
272,boni73
273,boshidoblack
274,bossie24
275,boyzmrefu
276,braidedjr
277,branighan
278,branny21
279,brayangitau
280,brayo01
281,brayo27
282,brayokim
283,brennanmd
284,brian2k17
285,brianbaraza
286,brianchilgong
287,briandawo87
288,brianlucifer
289,brianmasese
290,brianmasiga
291,brianmokaya
292,brianmuraya
293,brianmwevi
294,briannamulala
295,briannyaga
296,brianpatrickowino
297,briansigu
298,brian_kabungo
299,brian_kenya
300,brian_macharia
301,bringujonnes
302,brinychild7810
303,brithard1
304,brivn300
305,briyo45
306,brothers247
307,brown61
308,bruezy
309,bruiserweight
310,brumahpassedpawn
311,brunye
312,bryan026
313,bryanquinn1
314,bryantolo
315,bryso47
316,btgreene101
317,btugee
318,buddhaq
319,bullawre
320,bungei
321,bunowata
322,burgundycode
323,byrontaaka
324,c-mut
325,c-way
326,cakarott7
327,calbaros
328,caleb54
329,callagan32
330,cally783
331,calvin24240
332,calvince
333,calvo25
334,camelnuts
335,candidate_moves
336,capjacksparrow1
337,capri28
338,captainedins
339,captainlithium66
340,caranja
341,carfeerow
342,caribbean254
343,carloskay
344,caroe1
345,caspan1738
346,cassidyliz
347,castonololo
348,catboomers
349,catulan
350,ccaa89
351,cedricgitura
352,cengelen
353,cgichui
354,chabby25
355,chalomwas15
356,champeken
357,chandiseth
358,changilwa
359,charagu
360,charleagle
361,charlesmasila
362,charomutsumi
363,chassis123456
364,chattymonster
365,chausiku
366,chavoroja
367,checkmate1665
368,checkmated78
369,chegelito
370,chegenyanzi
371,chemisto7
372,chemosi
373,chepkirui
374,chessatician
375,chessaviator737
376,chessavx
377,chessexpert420
378,chessgodme
379,chessicehot
380,chessmanic1118
381,chess_don01
382,chester1702
383,chesty2man
384,chevareux
385,chezzybizy
386,chibalonza
387,childishcapital
388,chillybandana
389,chinokio
390,chirchiro254
391,chiringz
392,chivatsi
393,chodderschlong
394,chr0n1k
395,chris2556
396,chriskenya
397,chrismaina
398,chrismuga
399,christian902
400,christiannderi
401,chrollofreecs
402,chronic_rebelle
403,chronolord90
404,chthunder
405,churchillchess1945
406,chwaka
407,ciku25
408,cindiatsi
409,cindyt19
410,cj0007
411,cjoranimo
412,cjwalker
413,ckigen
414,ckingori
415,ckinyanjui
416,clarksmith6
417,cliciibreezy
418,cliffkilibaba
419,cliffordmwenda
420,clinton98
421,clintooo
422,clumsyoyster
423,cmderico
424,cmdr33
425,cmigadde
426,cmkb
427,cmwadime
428,cm_caleb
429,cm_o
430,coachmikey
431,coenaid
432,cog_r
433,collinsamenya
434,collinskamau
435,collinswanjohi
436,collnyam
437,collo320
438,colly45
439,complexjudo
