player_index,username
0,0-98
1,06ayana
2,0713chiza
3,081189
4,1113mn
5,121618
6,1cantplaychess1
7,1huskar1
8,1_airmanas_orozaliev
9,1_bankasia_shokenov
10,20000404
11,2112atai_mastermind
12,224422
13,23_asyl
14,2easy2play
15,2_bankasia_turdaliev
16,312996
17,3gglvv3
18,3rlan
19,3_mf_rbalbakov
20,4207n
21,4372
22,4bl4kah
23,4dilet
24,4ii4oo
25,518gg
26,77altin
27,87thf
28,888bekz
29,89304ioe
30,9glocknine
31,a1kanat
32,a5098
33,a5618
34,a72110
35,aaalenn
36,aabek
37,aaiddarr
38,aaiperii
39,aalieva
40,ababakirovjr
41,abaevaziz
42,abaildaev
43,abasbek1968
44,abawer
45,abbeki
46,abc999111
47,abcdefg4888
48,abd1311
49,abdiv77
50,abdi_maks
51,abdraiamovadilet777
52,abdraimov_aibek
53,abdrasulova
54,abdugappar
55,abduhalim96
56,abdulaziz_beka
57,abdulla9895
58,abdullahtaranov
59,abdullohmatkasimov
60,abdumalik20
61,abdurasakow
62,abduvali52
63,abdybek_narynbaev
64,abdyjap
65,abdykaparkamilov
66,abdykerimov
67,abdymazhitov
68,abdyshukur
69,abifeed
70,ableclipper
71,abricotjuteux
72,absamat777
73,abvgad
74,ab_meka
75,act10n_arbkv539
76,adabaev
77,adalya19
78,adammed
79,adanbaev
80,adarksmile
81,adel8964
82,adelina_82
83,adi1et
84,adikfromkg
85,adiko6544
86,adil02o
87,adilet0373
88,adilet29
89,adilet618
90,adiletibraghimov
91,adiletkamchybek
92,adiletkamchybekov
93,adiletkobogonov
94,adiletziyaev
95,adilet_adylov
96,adilmagic
97,adiltinho
98,adisa1234
99,adisdavletov
100,adis_t
101,aditumon
102,adi_017
103,adjikawizart
104,admiral4
105,adutegenov
106,adyl-gmslayer
107,adyl008
108,adylmamytov
109,afeper
110,agenttt2019
111,ahmad081
112,ahmad7944
113,ahmad9396
114,ahmed-se
115,aibek211
116,aibek999
117,aibekdz
118,aibekibraev
119,aibergenchakyrbaev01
120,aibiikemambetova
121,aidar03
122,aidar729
123,aidarcho
124,aidarkazybekov
125,aidarrak
126,aidarych10
127,aidinius
128,aidinturgunov
129,aigan2012
130,aigat1990
131,aiguzel11
132,aiizaorozbekova
133,aik8
134,aika070802
135,aikolfz
136,ailimka
137,ailun42
138,aiperi_06
139,aislenarova
140,aisuluuwka
141,aitbek22sam
142,aitunushka
143,aizhamal2000
144,ajar-alikova
145,ajara939
146,ajimbay
147,ajra2010
148,ajymurat
149,ak-jol
150,akai77
151,akaidakarka
152,akai_2011
153,akatsukipaindk
154,akbayir46
155,akbbaha
156,akcholpon
157,akella_87
158,akhmed7
159,akimjanov
160,akkakiyy
161,akmataliev
162,akmatbekov0
163,akmatovn
164,akmats
165,akmuz
166,ako4a
167,aktan118
168,aktan2003
169,aktanrysaliev
170,aktilek5
171,aktinmagoo
172,aktngs
173,aku59
174,akun0v
175,aky1chik
176,akyl-king87
177,akylbek3120
178,akylbekabdykerimov
179,akylbekaraev79
180,akylbekov777
181,akylbeksatybaev
182,akylskyi
183,akylychbish
184,akymbekova
185,akzholm
186,akzholovich3
187,ak_bishkek
188,ak_ktan05
189,alamir3ali
190,alangilman
191,alanmeshok
192,alanusupov
193,albandjailyamyshev
194,alcoholiccummaster
195,aldaiar
196,aleks311080
197,aleksandr3333
198,aleksgpak
199,alen991
200,alex66edi
201,alexandr53
202,alexandrasamaganova
203,alexey055
204,alexeyuv
205,alex_hi4kok
206,alfi0344
207,alhimik203
208,ali0307
209,ali11umar
210,alia579
211,aliaskar11
212,aliaskar888
213,aliasker840
214,alibaev98
215,alibaevalmaz
216,alifarooqi001
217,alihanchess202003
218,alihan_king
219,alik0852
220,alim201685
221,alimsw
222,alinaes
223,alisher1601
224,alisherroziev
225,alisher_01
226,alisultan008
227,alitkkkkkk
228,aliusman8007
229,alivegully
230,aliya440033
231,aliyaarturovna
232,aliyaismailova
233,ali_belletmen
234,ali_danil
235,alkash7
236,alman9575
237,almaz745
238,almazasankulov
239,almazbek1222
240,almazbek2325
241,almazbekars
242,almazbekkadyrkulov
243,almazera
244,almazkasymov2007
245,almazkorgonbaev
246,almazsharsh
247,almazyanbratan
248,almazz96
249,almaz_bishkek_kg
250,almoni86
251,alpha_opium
252,alpinweiss
253,alseitov_t
254,altynbek6
255,altynbekovich
256,altynby
257,altyn_bek
258,altysh
259,altysh00
260,altyxa
261,alwayshappy9494
262,alykul
263,alymgalov
264,alymkyl
265,alymovafaiza
266,amanakylbekov
267,amanat0919
268,amanchikk
269,amangeldii
270,amanjazu
271,amanmambetov
272,amanmukash
273,amanturr
274,amantururmatov
275,ametovnurdin
276,amico-di-lorenzo
277,amirchessmasterking
278,amirchoco
279,amirhanova
280,amirl03
281,amojeen
282,amreux
283,an1407
284,anar3579
285,anatoliypak
286,anclealex
287,andashbekov
288,andashev01
289,andrei050397
290,andreyeskin
291,andreyosok
292,andzhelo
293,angelina7745
294,angrygarm
295,anna303
296,anna_toly
297,anneshark
298,anri2011
299,antonshushlebin
300,anubios
301,aoguul
302,appazkydyraliuulu
303,applesama
304,april121961
305,arapbay12
306,aresis
307,argen3046
308,argen55
309,argen9898
310,argenaidar
311,argenartur
312,arinaasanova
313,ariobarzanyahyapour
314,arlen00
315,arlen8
316,arleno7
317,arlenrahimjanov
318,armad196722
319,armada84
320,arnel384
321,arnollx
322,arqslip
323,arsenewenger1
324,arsenta4er
325,arslanseidaliev
326,arsus777
327,art4n1s
328,arte321321
329,artes28
330,arthur9977
331,artishok1
332,artsawesome
333,artur010101
334,artur2003758
335,arturitopapitto
336,artur_200430
337,arunakmataliev
338,arunov_nurmuhanbet
339,arxman
340,arxman123
341,arzaman
342,arzei88
343,arzimatovaybek
344,arzybek1991
345,arzymat01
346,asaje22
347,asamuil
348,asan1963
349,asanbai33
350,asanbekov
351,asan_agibetov
352,asemm12
353,ashasvorahas
354,ashlabayke
355,asis65
356,askahat
357,askajutin
358,askar2002
359,askarak
360,askarsheishenaliev
361,asmanjaryk
362,asmorodin
363,ass8187
364,astonma
365,asyl55
366,asylb4kov
367,asylbek1978
368,asylbekm
369,asylgul
370,ataai
371,atai18
372,atai312
373,ataisony
374,atan28
375,atay2020
376,atay5
377,atayiskii
378,atolya09
379,automaticarch
380,automaticcash
381,automatictaxi
382,avberga17
383,avizka
384,avtandil17
385,avtandilov_flex
386,avucat
387,awsmdee
388,axexop
389,axzslamkulov
390,ayambekov
391,aybek2980
392,aybekb
393,aybekj
394,aybek_makhmudov
395,aydin2015
396,aytisv
397,ayzada
398,az3d
399,aza124
400,aza186
401,aza202
402,aza996
403,azake84
404,azakgz
405,azakush
406,azalmaz2
407,azalya_143
408,azamat0022
409,azamat1111
410,azamat9737
411,azamatakyshev
412,azamatosh
413,azamats1982
414,azastein
415,azat66
416,azatrst
417,azatuss
418,azatustakolbaev
419,azatzhunuzaliev
420,azazellas
421,aza_94kg
422,aza_i
423,azhokg
424,azim4005
425,azimbek_z_05
426,azimgaibulin
427,azirettolonbaev
428,aziz312
429,aziz8838
430,azizaakhumbaeva
431,azizarziev
432,azizazimov
433,azizbai
434,azret0722
435,azskar
436,azybayev
437,azyk_kg
438,azzzza
439,baatyrali
440,babay007
441,badjo26
442,baetov7
443,baevwbc
444,bagdat5
445,bagdat51
446,baha5
447,baha996
448,bahadinnurlun
449,bahamas0707
