player_index,username
0,aleodorkingimparat
1,aletzt
2,alexj95
3,alvarogurrea
4,amungo2
5,andreiravzan
6,anonanist
7,anorpa73066
8,arslnb
9,asfc10
10,a_lamb
11,bagm2004
12,basel7yahya
13,bdsanto
14,blackeagle833
15,blurjynxes
16,bluzima
17,brandonshabani
18,calumcallanish
19,carlodicaprio
20,cdpdw
21,checker1701
22,chesschief24
23,chujess
24,codeine
25,coldyellow
26,daavilou
27,daliartstudio
28,dardorosso
29,dottorematto
30,doubledogcatch
31,dzzoubs
32,ej2je
33,emtaxes
34,etaiii
35,ewang12300
36,felipemo96
37,ficdjerald
38,flixi98
39,fplu
40,funkuchen
41,gigs2016
42,gnyan
43,goawayy
44,goztepelee
45,hank-chinaski
46,heisenburg187
47,helderbarbosa
48,heyohowareyou
49,hiop1992
50,hofnaerrin
51,hugecupcake
52,ijv89
53,imawizard420
54,inthedark789
55,isy7557
56,itxinge18
57,jamjani
58,jan_joop
59,jiraiyasama64
60,jjzukas
61,joanbennassar
62,jonny1664
63,jordijover
64,jujute2
65,julien309
66,juniorjunior
67,justeunfilou
68,kalursaku
69,karetelkingwan
70,karolkonarik
71,katrinlasko
72,kavanozz
73,kellyannconway
74,kintaro8
75,kni8ght
76,lapier
77,latina234
78,letmesacthisquick
79,likeantennastoheaven
80,lop-lop
81,lordhanspeter
82,loumiy
83,louwrens92
84,lyapunovgeralt
85,mal3radi
86,maladywise
87,maximusdecimusm
88,megasalexandrosiii
89,microferry
90,miguelniso
91,minpinmegaknight
92,mircur
93,mkdn10
94,mrdontknownuthin
95,mrgambi
96,ms2108
97,natedog74
98,oink999
99,onionnring
100,opry
101,pacific_square
102,petewheeler2221
103,platongandon
104,pleasedraw11
105,pras2014
106,professorkalamari
107,pyroklose
108,qqqqsssd
109,quaint_malady
110,queensnatcher26
111,quiqueperez
112,quixoticprincess
113,rapnick
114,reepicheep14
115,rickardgh
116,rimaown
117,riquiriquiran
118,robelastik
119,rsampath123
120,salutluca
121,samanjab
122,sammunayer
123,savemyknight
124,scooberdan
125,sese62
126,shabloimps390
127,shay111
128,slave2chess
129,slingbot
130,sluipschutter
131,sm0k3yjoe
132,smokeykitten
133,sniffsniffzizek
134,soham5729
135,sokbarry
136,tamaa94
137,teikauea
138,terra90
139,that70sguy
140,themuffinmantyrone1
141,thewolf0410
142,throh
143,timothymorry
144,tiorome
145,tlmar
146,tommycheese
147,tontudaliga
148,trakrium
149,typecoutlet
150,vengaboy17
151,weballin59
152,what-is-life
153,wynonacummings
154,xdreammaker
155,xmichaelreimerx
156,zasto_ne_klaj
157,zhang616
158,zzyzxx
