player_index,username
0,12mig
1,1511beginner
2,6lackk
3,adog1833
4,alanismorissette
5,alexanderthecray
6,alpink
7,angelxia23
8,artensi
9,arturqqrq
10,avizireanu
11,babel1973
12,bcemnu3da
13,bolivar740
14,boytoyroy69
15,bradenjoel
16,brodster99
17,cajohnston857
18,cardoe12
19,caribmatt
20,chessychedd
21,chilledsapphire
22,coachibu
23,dannybs
24,dav_paul
25,devstation
26,de_koning_bas
27,dobdoby
28,dovz9093
29,ellisdegard
30,emekaisrael
31,fdelabarre
32,flyersgiroux
33,gcue
34,gelibird
35,gordonmaccas
36,gosc
37,graemeskb
38,hancock514
39,hanzelm
40,harmonyford
41,honestgirl
42,huntress_m
43,immortal21
44,itpthor
45,jahnacevedo
46,jarrell_0816
47,jeost3
48,jfgp77
49,k1eb
50,kreativmindz
51,latrell-jay
52,letskeepgrinding
53,lioreden
54,longli123
55,m86
56,malsette
57,maneloop
58,marcuschessmaster1
59,max_max5
60,mcquest
61,megamat321
62,millionsmedz
63,mizu_no_oto
64,mondodismo
65,mrkencable
66,naren9465
67,narkal2
68,natural_confidence
69,no_way_to_go
70,nulekz
71,paketao
72,paulnaumov1
73,pawn91
74,petrpr
75,phelbin
76,pistikey
77,rahstah
78,randavidpayne
79,rasskolnikoff
80,rastayouth
81,rezenne
82,rishit_india
83,roblec
84,roboojack
85,roy_pidryl
86,rtoor2
87,ruphar
88,sabamon
89,santanix
90,sircrabblelord
91,sknchevy
92,sofiadi13
93,sotter1
94,spleener
95,ssswift
96,stuggot
97,susanamitjans
98,sweeperdeswopswops
99,taggai555
100,takeshikovach1312
101,tarans23
102,tarzan12tbg
103,thenybot
104,tihsle
105,tinoia
106,torbrandmajor
107,trustnoone07
108,ubaez77
109,valerylaskovets
110,vandarlay
111,way2late
112,weeddealer123
113,wevertonrs
114,yahcreation
115,yas9in
116,youneke
117,yugballz
