player_index,username
0,016bramble
1,0hdannyboy
2,18head
3,1bodhisattva
4,1g31-o
5,21chenhen
6,24reverse
7,2shop
8,31dsa121232113
9,360noscopexx
10,369lives
11,3aaa3
12,3oh30
13,420chessmate69
14,420chesswizardlizard
15,420noobblazerxxx
16,420sausage
17,486dx
18,6wow6
19,8pawns1queen
20,999999888887777phil
21,9wheels
22,aaaa057
23,aaaaaaaeaaaaaaaaeaa
24,aaaaaaaoooo
25,aaronrego
26,abadaba03
27,abcdaleyz
28,abdullahthea
29,abefroman23
30,aboyisagun
31,absolver77
32,acidflyer
33,actualwaffle
34,adamstoaster
35,adamtdub
36,adarps01
37,add161
38,adriftgypsy
39,adrunkdude
40,aed38500
41,aerosmith6
42,aesop9
43,agdagda
44,agent1007
45,agentappleworm
46,agondaslungur
47,ahsean
48,aieeeee
49,aiiyaaaa
50,aio4761
51,air_head
52,ajlikesmilk
53,aka1234567890
54,akizukii
55,alanavena
56,albertrg
57,alexanderrenn
58,alfons4bar
59,alinameoriginal
60,allaiksi
61,alonalonalon1212
62,alphaphis
63,alpharook
64,altairone
65,alupka
66,alvinbro
67,amadolider
68,amanthakur777
69,amintabriz70
70,anbuseivom
71,angus1233
72,anomalocarisondrugs
73,antiyolo
74,aphelion
75,apollos_13
76,aqen
77,araducha
78,areoa
79,arraunlari
80,arsdeeennya
81,asdf186
82,ash_hur
83,asier-elorza99
84,asleepykitten
85,aspirinus
86,astmaunge
87,astrodrip
88,athal1991
89,atlanntis
90,attivi
91,atypicalwhiteman69
92,augustmold69
93,autismoking
94,axseta
95,azersze
96,azteccyberdivision
97,azyttvo
98,a_taylorgrigg
99,b0bth3builder
100,b1gp00py
101,babayaro7676
102,babuinskii
103,babyfish85
104,babyofblood
105,babyyoda666
106,bacon2koo
107,badass12345678
108,badplayer970
109,bah_dum_tss
110,baked-potato
111,baked_ziti_garbage
112,bananegrillee
113,bandsupbreezy
114,barking-yanki
115,batmanla
116,baxer03
117,bazaar5518
118,bazpartners
119,bearzzyyy
120,beautydogge
121,beegvater
122,beethovensymphony6
123,bejasco
124,benchess93
125,bengal125
126,benlehrer
127,ber_kan
128,bhairava_almaty
129,bharlson
130,bigbongwillywong
131,bigbrochess
132,bigduckylin
133,bigfatchode2
134,bighonkeychessboy69
135,bighugebrain69
136,bigjawshie
137,bignastythreat
138,bigsmoke448
139,big_macc99
140,bitoku
141,bizarrelittleman
142,bjarnolini
143,blitzmonkey42
144,blondancuero22
145,bmk99
146,bnjjjjjj
147,bnzelic
148,bobbyfischerschild
149,bobbys_fissure
150,bobinzo
151,bobthebuilder_69
152,bobthefat
153,boddhissatva
154,boilingcable
155,bomtertins
156,bored_with_chess
157,borerberland
158,boy_gold
159,brendan_kwan
160,brian0412
161,briandms
162,brightwheel
163,briiiiant_blunder
