player_index,username
0,0000maverick0000
1,000306ss
2,001brain
3,007alsa
4,007davidpark
5,01712b
6,01er
7,0222oct
8,02jp
9,02phj0215
10,03pkch
11,0706idealis
12,0707jun
13,070907song
14,081111
15,0918aa
16,0atoz1
17,0bchan
18,0k0young
19,0o0v
20,0problem_0124
21,0woo053714
22,0yhw0
23,1000cents
24,100171
25,100gp
26,100peach
27,100zon
28,101leo
29,10248agd
30,102938q11
31,10lello
32,10tacion
33,1110x
34,11a22a33a
35,1213jusung
36,12333s
37,1234ffcfgh
38,1234qwkp
39,123nickyu
40,124322q14154
41,12ich07
42,135checkmate
43,14nana08
44,14syoo
45,1504pjk
46,1511ry
47,1513stock
48,1561khbk
49,15div
50,15gogo
51,160169jj
52,162708abc
53,16c
54,16cm_dick
55,177chess
56,1804l
57,181029izone
58,1832tjgml
59,187dodo
60,1905chelsea
61,194145
62,1991leejongheon
63,1993damiano
64,1996aa
65,19candy
66,1a0199
67,1bin1
68,1byoung24
69,1cat2dog
70,1chessguys
71,1csk
72,1dwk
73,1eram
74,1f40-1
75,1nadul
76,1nhac
77,1pippe48
78,1radiant
79,1stone74
80,1stsamurai
81,1woong
82,1x3x1
83,2003dodo55
84,2004jyk
85,2019fpx
86,20201201zmoon
87,217ksy
88,21gunsalutee
89,21harkbunjp
90,21thpumpkins
91,220217song
92,227godud1
93,250000
94,25sakun
95,2anis
96,2b_kdh
97,2cheee
98,2doyun
99,2ghmaster
100,2heeseung2
101,2jani
102,2jeeeeh
103,2jiu
104,2jun0
105,2junsang
106,2nddongtan
107,2sambal
108,2wolfproxy
109,3000mimicry
110,32jmjh
111,33538
112,33chicken33
113,33tk3co
114,3585pp
115,36ckisuk
116,3dasoo
117,3ric_h
118,404queenfound
119,450euro
120,46wea
121,48u3jnnf
122,4fever
123,4lat
124,4rago4
125,4usum
126,4x4x4squares
127,4xba
128,513airdefense
129,52run
130,54254048855jjh
131,555cindy
132,5h3e
133,5magic5
134,5oclock5555
135,5takuyo
136,5yeri
137,5_years_old_asdf
138,60655
139,666666n
140,666hotdogs
141,670_dave
142,69bayag69
143,6e62
144,6mustafa
145,6th_crew
146,703kim
147,7275fa
148,7700jeff
149,79fa
150,7chord
151,7kingdom
152,7l52
153,7neptune
154,811028r
155,833hehe
156,8do
157,8ora
158,8susuggang8
159,8x8box
160,909012
161,917piter
162,919flair
163,93hun
164,963hh
165,96yongbin
166,974846
167,97kwonil
168,98jeanne
169,98surveian
170,99bci
171,99bravo
172,99jisuk
173,9death9
174,9jcs
175,9lal9
176,9ray
177,9sds8
178,a-zo
179,a0805030
180,a129345
181,a12s12d12
182,a1phastop
183,a1q1s2
184,a7iii
185,a91504561
186,a98nov
187,a9changg
188,aa5023
189,aaa0530
190,aaa0805
191,aaa449
192,aaaaaaaaaaahi
193,aaaae7
194,aaadyyay
195,aaataiga
196,aabil
197,aachimbap
198,aagape100
199,aagii78
200,aanizombaza
201,aappol
202,aaron19810315
203,aasassk
204,aashna25
205,ab147258
206,ab20c90
