player_index,username
0,005art
1,007dophine
2,007nar
3,010527550472
4,01062019
5,010oss
6,010wa
7,012has
8,01champion01
9,01siko10
10,020202abl
11,02ggg01
12,030393akniyet
13,0306elya
14,05031963nt
15,050891
16,050qoq
17,07070909
18,073isa
19,080994m
20,09bauka09
21,0eath1e55
22,0isa8
23,0mirserik
24,0pawnsacrifice0
25,0rda
26,0siotr
27,0spanov
28,0x3337
29,0zyman23
30,1-professor-2
31,100ika
32,1109anelya
33,111alisher111
34,111ruslan111
35,112358ok
36,11kuanysh
37,123456789ermek
38,1234fnmngmhn
39,123974
40,123baur
41,123viktor456
42,123www13
43,12aliaskar
44,12timur
45,12vladi-koretsky50
46,12_kz
47,1488nikita1488
48,1512timoti
49,16th_march
50,1702aigali
51,171962
52,17814
53,18021972
54,180285
55,1899dejong
56,1903mrs
57,191955
58,1967zharik
59,1975_oleg
60,19781979
61,19832408
62,1984mark
63,1984nnn
64,19890913alik
65,19890916kuna
66,19alpan95
67,19soliter22
68,1ce_w1zard
69,1checkmatist1
70,1frisson
71,1imper1
72,1izvaz
73,1kamila1
74,1kimaru
75,1magrus
76,1maison1
77,1margulan
78,1maxlook1
79,1miha
80,1mlrdbelly
81,1mokaccino1
82,1mper4tor
83,1mplsss
84,1mprove
85,1ondon
86,1perfecto1
87,1qew32
88,1t23s
89,1ud31q
90,1zhanibek
91,1_ruslan
92,1_umz_nyshanbayev
93,2009a
94,2012md
95,2014semihaonoglu
96,2020akk
97,2020nawnaw
98,20rahat02
99,2119ma
100,21adamm
101,220wolt
102,22igor22
103,235ftuiggd
104,2489915
105,24chessmaster
106,24goldn
107,25061984aa
108,25071991_qaz
109,25floor
110,271019
111,290790
112,2burly
113,2is4
114,2kingsplaychess
115,2x2z4
116,2_hcb_shkutov
117,2_karatau_arunov
118,2_kmf_aliakparov
119,2_sauran_tabrizov
120,2_ttk_myrzabayev
121,3mmka
122,3yma
123,433na
124,4797938
125,49-hockey_astana
126,4asovshik
127,4eburashka11
128,4erepasha
129,4etambrat
130,4hekke
131,4ina14
132,4ina22
133,4shakh4
134,4vekpk123
135,546534
136,54kuanysh89
137,5erkosh
138,600910941778
139,63636363
140,6akee
141,6misa
142,729212
143,745tor745
144,7778967
145,777john
146,777kz03
147,777olzhas
148,777xah04
149,77alikhan
150,77paradoks77
151,77serikbol
152,789vvv
153,78mako78
154,7ip5
155,821102
156,83elmar
157,87013750615
158,8702368289
159,870788
160,87474310972
161,87475247447
162,87478263632
163,874chess
164,889667
165,89ventura
166,8imangali8
167,8rednar
168,93ddan
169,93roobie
170,96aa96
171,98530129st
172,98beka
173,9aniyar
174,9guga
175,a-kazhymuratuly
176,a-m-i-g-o
177,a-s-00
178,a021dym367
179,a089kz
