player_index,username
0,0marelsayed
1,0nassty
2,1_amrd_hector_meza_m
3,aaaustriaco
4,aaronnchinn
5,abkent
6,acevey
7,acunense
8,adaille
9,adesgrav
10,age666
11,akashmalhotra2
12,akenon011235
13,akhantivong
14,alan039
15,aleantonio
16,aleex26
17,alejoch48
18,allendouangchak
19,alvarezdaniel
20,alvong7
21,andoochi
22,andresdmontalvo
23,angel80494
24,angeltosho
25,angusss
26,anutope
27,aptc69
28,arminsmith
29,arturbar3
30,atdyaekkaphong
31,atefvinc
32,ath1985
33,atiusboraicho
34,balcanicalooser
35,barekun
36,batmansito
37,bbkillerlz
38,bekes25
39,benavvvufjnckf
40,benzsen
41,biasfym
42,bingopuzzles
43,blank0o00
44,blodx
45,boonsouvannamethy
46,bouled
47,brarimo
48,bugalugs4
49,capitao_da_mega
50,cap_holt
51,carlosurretamoreno
52,cassiech
53,catt0755
54,cesarchest
55,chanthavong21
56,charlymayo
57,charlytran
58,charrrbell
59,chavaymayra
60,chesspaceman
61,clamsypig
62,claudioenriquegonzal
63,clorophilo
64,cosmifulanito
65,craicovikcl
66,crazygecko
67,crisisrael
68,cristobaldanielurbin
69,ctravel
70,cyphec
71,daddyaaaa87
72,dadool
73,danahawk
74,dangerous_bambi
75,danny752
76,danridesthewall
77,darkemperor7
78,davep654
79,davidfroilan
80,davidguido
81,deadbody44
82,derickreinhardt
83,dewet1988
84,deznuuttz
85,dgnyan
86,diantre51
87,diegocortizo
88,diegodavidgonzalez30
89,diegovaldebenito
90,diezosos
91,dorisfang
92,dragonxxx
93,echecnorris
94,eiennn
95,elbobt
96,eli237
97,eliassuaya
98,elmle
99,elz26
100,emxnxxl
101,enjoyingchess
102,erigido
103,estebanfabianp
104,estrellatdf
105,everardovfr
106,evernightmarez
107,ezequiee
108,falanginlaos
109,fanrichard
110,fed7733
111,fedeeeeeeee10
112,feebnailognom
113,fefewing
114,feligiordano
115,ferchonando
116,fff274
117,flavus34
118,fleuvier
119,flo148
120,flomcdonnell
121,fophasson1
122,francolau731
123,frankphoth
124,gambitontherocks
125,gameg0d
126,garramoncitos
127,geko125
128,genghis_k_wong
129,gerarditho0808
130,gibbii
131,god_brother
132,granto9
133,gusniel
134,gustavograffe
135,gypsykaro
136,haibeo
137,happy195
138,harepus1
139,haritztorrellasmur
140,holsen1408
141,hotelcalif
142,hummingcadet
143,icovid-20
144,iladrez1920
145,imoii
146,imperator1789
147,ionito83
148,isaias316
149,isidora2017
150,ivanlara12
151,ivanllaurado
152,ivanmendez
153,jaekae515
154,jafar_sdl
155,jalejonieto99
156,jamal61166
157,james053030
158,jasoneliseo
159,javito85
160,jaysengsoulichanh
161,jernenboss
162,jerry132009
163,jesug
164,jhontis0108
165,jhony2102
166,jimmychanthavong
167,jimsss95
168,johan83
169,johndifool1
170,johnny5310
171,johnrcotton
172,jonaupe
173,jonymoeny
174,joseabinetti
175,josh_188
176,jounas14
177,joyceyeap
178,juan8904
179,juanalvarezzzzz03
180,juanchocolomb
181,juanitoaretes
182,judyunderscorediie03
183,julong
184,jura2001
185,kakalao
186,karimtahiroglu
187,karzero
188,kebabspider
189,kemseng
190,kenjigenji3
191,keooooo
192,khriz227
193,kikemao
194,kimlalo
195,kkslove
196,kob9unners
197,koun7347
198,kratozgnzlz
199,kurtis44
200,kuv123hub
201,lagarto55
202,lalala38
203,lamacaba7
204,laoschess4
205,laplayita2
206,latereur
207,lawrenus
208,leaveitasblank
209,leejthoj
210,lehahiah
211,lelouch5005
212,leninsan5
213,leodesu
214,leohav
215,leterry60614
216,levybunkerdelflow
217,lezlao
218,licho73
219,liongkiat
220,lith8
221,lkogre
222,locogt
223,lolokasparo
224,louisty
225,lovelbilus
226,luisantoniobravozorr
227,luissale
228,luloelfenomeno
229,m18668
230,madpro2
231,mafrongsured
232,manolack
233,manolom10
234,manuelbernallafarga
235,manuelvilo
236,manurlo
237,maoveja
238,marceloopazo
239,marcelo_4655
240,marcosbehn
241,mariachessi
242,mariobass
243,maryquiros
244,mattcromwell
245,mattlao
246,maximilianovaldivia
247,mcuetoa
248,meowbubbles
249,mgmax
250,michel6428
251,miguelnueve
252,milhojas1996
253,morph_peters
254,mosimodo
255,mrlonely1105
256,mwglenister
257,myhimanr
258,nammqueeng
259,navarro1904
260,neymesis
261,nilundonedetluexay
262,nouyang18
263,noyz206
264,npaubvang
265,nrike23
266,nustblanc
267,ohmyfart
268,ojthebarbarian
269,oliveratom
270,omar7887
271,oneboothy
272,onens_bv
273,osnielherrera
274,owennamsok
275,p396
276,p725
277,pablo2086
278,pablosanmartin
279,pablo_x27
280,pau17421743
281,paulrouk
282,penguinn065
283,pepe640815
284,phillip20000
285,pieromartin8
286,pim0ney
287,pippin66
288,pitucofrans
289,poppy1412
290,por2020
291,porthor
292,prado2007
293,prasitphongsavat
294,procer
295,queensgambit129
296,rafacool
297,ragaro
298,ramafre
299,raul0654
300,raymond84
301,reid691
302,requiem01
303,rich2897
304,rj198
305,rodrigoweg
306,rodyarellano
307,ronalddearies
308,rosshaddow
309,royhty
310,rudyverdiktkoomen
311,s364
312,samaykhamboupha
313,samwood111
314,sanouban
315,santiguz177
316,sarafalconer
317,saugrado
318,savannakhet696
319,sergiorabinovich
320,sieoingkeovandy
321,simplicitical9
322,sincorego
323,sirbarkley34
324,sirbillythesavage
325,sivakonecheetah
326,sletocq
327,slowglue
328,smokevini
329,sneezinggiant
330,sntv
331,socrateshoyos
332,somvang5
333,soudsophakssv
