player_index,username
0,1quinn
1,2bf41-0
2,2iii
3,adam_griffyirving
4,albiban
5,alegz94
6,alisterdaniel
7,allahueggbar
8,altair8080
9,andrewsosvovskikh
10,andyyyyyyyy99
11,antonvolney
12,arashc
13,aries_toon
14,arietta_69
15,arkimfelix
16,aronpsx
17,aryb_lachim
18,beegeeeeeeee
19,blurrydancer
20,boraneitor
21,botakodog
22,buka70
23,bulletz1x
24,cactuscrab
25,cass123074
26,castlefissure
27,chemacab
28,chirpynat
29,chrisbarfield
30,chrisgio15
31,christanplayer
32,cmdb43
33,confusion_illusion
34,cyriliamoses
35,darkcloudy
36,dashenron
37,deli693
38,devy758
39,dgchessnut
40,dominodomino758
41,donk-moves
42,dozinghamster
43,drkalucsky
44,dr_monakhov
45,dudesenya
46,elatedfoe
47,elieux
48,erik170581
49,fatpac001
50,feliksts
51,fervy
52,fianchetto_hole
53,flick_blunder
54,francesco20
55,gambitregret
56,gangplankl9
57,giovicilie
58,glenroyflood
59,gobhobbler
60,goldeelocs
61,greencheese100500
62,gripper67
63,grzegorzpl
64,gulaggarry
65,gulo83
66,guysensei21
67,halabinos5
68,hansjorgenjacobsen
69,heathergreyy
70,hedonist103
71,hennypmaestro
72,hirasoa
73,ilya_ws
74,imrankjnbaptiste
75,instantbrain
76,isawic
77,itsonlycheckmate
78,jacek96
79,jaden_serns
80,jayvitar
81,jimson7
82,jnlouis
83,jnneil758
84,johnrch
85,jojojojo47
86,kaiovcfr
87,kallashova
88,keeghanpatrick
89,kelsash
90,kirt_the_expert
91,kraoriginal
92,kurtyranking
93,kylejoseph69420
94,ladybeginner1
95,lagarranegra
96,lavanda17
97,leslee30
98,le_roi
99,loosechange18
100,luckylukein
101,lucmiller14
102,lvke22
103,majicstick
104,mangowhale
105,matty929
106,maverick4085
107,maxshesscom
108,maya2610
109,medenmastic
110,missandeiofnaath
111,mook68
112,mrjosephslu
113,mushrooms0903
114,mysterycmt
115,nahtanojlagnitab
116,nicolefrancis
117,nobbojnr
118,norbertojuk
119,odujon
120,oldhickorystick
121,paradox1729
122,parsultima
123,pawnpusher1536
124,petitevague
125,physicalnoodle
126,pingui6534
127,pmolina
128,pompelius
129,popehekatesiv
130,prophecysam
131,pumple_ply
132,pyneal
133,quickscope360
134,ramzdm
135,rasalghul42
136,rebelliousri
137,red2019
138,reidemerson
139,revazikskazo4ka
140,robertbear1
141,robictor
142,samosha
143,saucetaker
144,shaligula
145,shem215
146,sickman699
147,skuhtemane
148,slayerking21
149,smolkster
150,snadmonkey
151,soufrieremc
152,spice_isle2020
153,superpelican
154,suzswan
155,talis2121
156,tallymibanana
157,timecontrollerlagggg
158,tirdrael
159,topolmopol
160,trapadvisor
161,usefulgas
162,user2021cm
163,uuty
164,vgcvgc
165,vickhar333
166,vicusmaximus
167,whitegirl2u
168,wilmat1c
169,winniedakinq
170,wshakespere
171,xile0n
172,yyy3
173,zeegogo
174,zlenc4
