player_index,username
0,123malek
1,31makinesi
2,4rm3nd43
3,59edsel
4,abuchel
5,adrenalina7
6,agt211
7,agt43
8,agt87
9,aiirchess
10,aike
11,alanbstard10
12,al_bino
13,anamalum
14,andrewgodspeed
15,andrifonsi
16,angus614
17,arnarnarnchess
18,autaviah02
19,babamert
20,badenwurtca
21,banksy59
22,bartektokarski
23,bendrig
24,bigdankyeet69
25,bishopona7
26,blackknight1879
27,bloonk
28,borto1412
29,c155
30,caissaintherain
31,castle0-0-0
32,cedric2002mr
33,colinepoisy
34,comfortzones
35,cursedkuroneko
36,danik972
37,deepvicious
38,dizzyhatch
39,dominicus10
40,dominik1803
41,donotpson
42,dontoni
43,doorslammer74
44,drag0n2
45,dreamscapehorizons
46,dundelin
47,dv275
48,dw00124
49,eduardovogt
50,efeeren_kavilcioglu
51,eliaswins
52,emmanuelbarragang
53,fedealex
54,fghjuyt
55,fizzybatter
56,fredlaflamme
57,freiesfeld
58,futuristicpawns
59,galken87
60,gameking22
61,gehheim1312
62,go0067
63,godvalour
64,gogobatschi
65,gravelordnrx
66,grey41
67,grossmeistervali
68,h07w33ls7
69,hansolo110175
70,heraphi
71,hugowolff
72,il-cattivo
73,ivans1992
74,jacquespkt
75,jdizzle06
76,jesserosmolen
77,joje01
78,kappollo19
79,kingcharles97
80,kittkattkill
81,koepfe
82,kudaa
83,lal4l4
84,leonidvp
85,lester99
86,levisa1976
87,ligatur
88,lipi57
89,maecky
90,manntequilla
91,maximilien9490
92,maxvaeroux
93,melanie14120
94,memi14120
95,metamaschine
96,mrslippery21
97,n4w4k821
98,newoowen
99,nfanni
100,nicolakollmann
101,nm1todm
102,nolesergi
103,onlygamer
104,pascallito
105,paxmal
106,personumber3
107,peterjordanson_0646
108,phileas_j07
109,phileas_jrk
110,phileas_k
111,philosophfl
112,pingdot
113,prince1887
114,robot2015
115,robsonson
116,rvf_caissa
117,sachtresa
118,samuelwalter
119,sash1969
120,sc34win
121,schneggman
122,schufterle
123,scoot91
124,sebastianalexandru
125,senatorua
126,sergcashflow
127,skeandhu
128,stadtwalker
129,stefan2200
130,stemew
131,sternefuefi
132,stinr
133,surftofino
134,s_s_hawkins
135,talkinmakabro
136,thecontol
137,thomassele
138,tripp123
139,trucker4
140,truejule
141,ulrikhman
142,unpredicticable1962
143,uomo_universale
144,van013
145,vm-tschess
146,von_rosenberg
147,waroness
148,wilcopete
149,xaverbraun
150,yunkhay
151,zorclex
