player_index,username
0,0vijayans
1,1012saumya
2,11udeshrandika
3,123biman
4,123prj
5,14416new
6,1442503pdayaratne
7,1d31-o
8,1st_proton_of_h_atom
9,2003chess04
10,2005abcd
11,2007kanchu
12,2744015
13,4skindugong
14,777tryhard777
15,8nl8
16,99shadok
17,a4mina
18,aaabbi
19,aakifquayyum
20,aananth28
21,aanish928
22,aarangan12
23,aarani8
24,aaronfrancis2311
25,aasique123
26,aathifameer
27,aathiq_em
28,ab8887
29,abd0043
30,abdullahsalem
31,abdul_basith2800
32,aberathna
33,abiabi9
34,abijitha
35,abinayas5
36,abirami172
37,abishan24
38,ablavan
39,abraarwahab
40,abrath03
41,abz70
42,acerjathursan1999
43,achela
44,achinpasindu
45,achinthad
46,achinthaik
47,achinthaliyanage
48,achinthathenuka
49,achira
50,acsah09
51,adairrosales
52,adeepamethsara
53,adeeshaj
54,adeeshathilakarathne
55,adelitasway
56,adi5806
57,adipa123
58,adithyaw
59,adiuru
60,adm4294
61,adrianostbye
62,adshayan2k20
63,aeonian-adroit24
64,afflli
65,ag199848
66,agbomaddumage
67,agdjm
68,agentsmash
69,aggressiveguide
70,agilan322
71,agith601476
72,ahasya2013
73,ahmzaneer
74,aimraan
75,aj5286
76,ajay6969
77,ajay_n01
78,ajazhamzee
79,ajith1404
80,ajithbandara
81,ajithpgs
82,aji_styles
83,ajkuma
84,ajt_2006
85,aj_playz
86,akaindulnindu
87,akalien
88,akeelf
89,akeesha0
90,akeins28
91,akil2001
92,akila107
93,akila7
94,akilahettigoda
95,akilalakshan
96,akilani90
97,akilarandika
98,akilashan74
99,akilprabu
100,akithra12345
101,akthar97
102,akumarasena
103,akx3
104,ala-wageda-goa
105,alanrider
106,aldrinshu
107,alekhinehero
108,alexsendra123
109,alligator209
110,aloka01
111,aloka200
112,alokasri26
113,alpha0003
114,alum228
115,ama199758
116,amaadhikari
117,amadi2011
118,amalchaminda
119,amali_kxxx
120,amami1991
121,amanda0452
122,amande06
123,amandi08
124,amaya_2006
125,ambaqueen
126,amberjar
127,amikavi98
128,amil12345
129,amila4109
130,amila9
131,amila9006
132,amilaamilaamilaamila
133,amilael
134,amilaeth
135,amilagck
136,amilagsk
137,amilamanuwarna
138,amilanana123
139,amilarajapakse
140,amila_pathum
141,amirthanr
142,amiruplayz
143,amithmask
144,amjedmarzook
145,amodh123456
146,amodyx123
147,amritthkirubaharan
148,amsakeer69
149,anainahangama
150,analya2014
151,ananyaasentilnathan
152,anazeer90
153,ancientnecklace
154,andrecamillus
155,angellraya
156,angelobyrde
157,anilthilakarathne
158,anis7197
159,anjana777
160,anjanaeshan
161,anjanikpat
162,anjelhyuga
163,anji88
164,anji_203
165,anjula2000
166,anjulalwick
167,anjusbandara
168,annabeth_02
169,annachrist060129
170,annebella
171,anonymzzatacker
172,anparasan7
173,ansshiaar
174,antonysujith
175,anu0544
176,anu276
177,anudaupek
178,anuindika
179,anujachirantha
180,anujadrck
181,anujan102
182,anujanahasandi
183,anujiranjit
184,anujita_t
185,anuksperera
186,anulawithanege
187,anupa1231
188,anupaudara
189,anur3810
190,anuradhadias
191,anushika12345
192,apex_dandenong
193,aphiramthemercy
194,apoorwasammani
195,appatasiri
196,appoloceylon
197,arafan
198,aran2803
199,ares1996
200,arish1010
201,arjunabik5704
202,arjunwens
203,ark_angel
204,aronfdo
205,artor1az
206,arunafernando
207,arunaupul2009
208,arunprasath8
209,arushansubaratnam
210,aruthran
211,as5112
212,as577
213,asafa379
214,asalmij
215,asan99
216,asangajay
217,asangakarunarathne
218,asanka38342
219,asankabandara
220,asela00
221,asela2983
222,asela38
223,aselaa82
224,aselaschess
225,aselk04
226,asevise
227,ashake1
228,ashane200332
229,ashanka_randeniya
230,ashankumarsl
231,ashanp
232,ashantha2
233,ashburnham
234,ashen15234
235,ashen990
236,ashenanjelo911
237,ashendiss
238,ashenmanuditha
239,ashloss
240,ashmal1
241,ashniha
242,ashvini1998
243,ashviniya
244,ashwin039
245,ashwinsubhananthan
246,asiriamarasena
247,asiriherath
248,asithabandara
249,asithahetti1971
250,asithajayasinghe
251,asjayekody
252,aslamanver
253,asmath1201
254,athallokaya
255,atheef10
256,atheek0
257,athenaserver
258,athithya26
259,athuladharmasena
260,atlanta8
261,attractivepearl
262,auri1210
263,authenticpod
264,av8oranj
265,avishabitw
266,avishka1211
267,avishkarw
268,avishka_munasinghe
269,avith2121
270,avklanka
271,awantha77
272,awkwardart
273,axthon
274,ayaa404
275,ayana2013
276,ayanija_2006
277,ayansa865
278,ayantha
279,ayazahamed
280,ayesha911
281,ayeshagunawardhana
282,ayeshmunasinghe
283,ayishai
284,azath78
285,azeemismail
286,azimmilhan
287,azm_mrhotblood
288,az_thamara
289,b-00002
290,b0n1f
291,b4tman
292,baanula
293,babasutha
294,babibaba
295,babuzi
296,bad-bannana
297,badhusha5
298,badshah90
299,badunkadunk1
300,balome
301,baludukkun3
302,bandarawrga
303,banu201087
304,banujan18
305,banula535
306,baranabds
307,barefoots
308,barren29
309,bashana2006
310,bashfulriver
311,bastiai
312,basuru777
313,beanman763
314,bec12345
315,bee22378
316,belekkade_choope
317,beligswaththa
318,beltonplayer
319,benschessplayer
320,benschessplayer8253
321,bestchemscc
322,bhagyaw
323,bhagyayasas
324,bhavith2012
325,bigisht
326,bihan1999
327,bihandu2013
328,bikka97
329,bimansa_jayandi
330,binadi804
331,binath08
332,binuka2004
333,binuneth
334,binuthi2012
335,biqaa07
336,biratheeban
337,birunthaban
338,bises9
339,bishop_3204
340,biskeemia9901
341,bk_hitman
342,blackknight44444
343,blacknight76
344,blacknightsjadhj
345,black_thunder2006
346,blaster02
347,bloodhound234
348,blu_inks
349,bmwbal
350,bneck
351,bodh1999
352,bole1992
353,bosandi2013
354,bosandii
355,bosandi_20
356,boudin123
357,bowie20118288
358,brainfr3eze
359,brana15
360,brendontrevin
361,brentha7
362,brh384
363,brightstyle
364,briyathiru
365,brotus96
366,bsooriya
367,bucky747
368,buddhiabeyratne
369,buddhika1234
370,buddhikasmk
371,buddhimantha
372,buddhimathamara
373,buddhis
374,buddhisha997
375,buddika_123
376,budya645
377,bugz31
378,burnwing
379,buwaneka2
380,bvithu
381,bwilegoda
382,bznxxx
383,c0971
384,c6330
385,cagan_65
386,caitlinallen
387,caleb13357
388,camellorojo
389,camileon97
390,captainperera
391,captains1lva
392,captainthila
393,caricature55
394,carterxvc
395,casusomissus
396,catratsquirrel
397,cbepxpazoom
398,celticsun
399,centralcalf
400,cetusrookie
401,ceylonism
402,ceylon_chaturanga
403,cha2021
404,chaarya
405,chaithika
406,chajeee
407,chakra56
408,chakrawarthy
409,chalaka498
410,chalaka9999
411,chalakaf1
412,chalanas
413,chalanijayanika
414,chamal95
415,chamanw
416,chamara-karunaratne
417,chamaradisanayake
418,chamaraindrajith
419,chamath99881
420,chamathkagamage
421,chamathm
422,chamathtennakoon
423,chamethya
424,chamida20
425,chamidumadumal
426,chamika2
427,chamikakuruppu
428,chamilaranawaka
429,chamindafon
430,chamindaper
431,chamindaw
432,chamindi_potthewela
433,chamindukalansooriya
434,chamiru93
435,chamith00
436,chamithri123
437,chamixrc
438,chamo731
439,chamoda
440,chamodi65
441,chamodkarunasena
442,champr
443,chanakasampath
444,chanakepremathilake
445,chanchal656656
446,chandanaindisooriya
447,chandikagunawardhana
448,chandima22
449,chandini955
450,chandisias
451,chandrakanthi
452,chandralegend
453,chandrar45
454,chandula19
455,changumi123
456,chanindi2007
457,chaniranaweera
458,chann00
459,chann86
460,channa85
461,chanujadsp
462,chanuka88
463,chanukakaldera
464,chanukaranga
465,chanul200783
466,chanul88
467,chanuli2006
468,chanuly
469,chanupa
470,chapee84
471,charee97
472,charindu707
473,charith82
474,charitha2404
475,charithd25
476,charithdk
477,charithkanishka
478,charox1
479,charukairanda
480,charukakb
481,charuweerakoon2006
482,chathg
483,chathukaviduranga
484,chathumi26
485,chathumidassanayake
486,chathuradilo
487,chathuragamage
488,chathuragunawardana
489,chathurak
490,chathuranc
491,chathureborn
492,chathuripamodya3
493,chathushka19
494,chauz2
495,chbherath
496,checkmate267
497,checkqueen18
498,chehansivaruban
499,chekaa1
500,chenadi9
501,chenith2011
502,chenukamuthugala
503,chenuli12
504,chenura7528
505,chenuthi2008
506,chess1694
507,chess4u-1
508,chessbeginner100001
509,chessbulb
510,chessfritz15
511,chessgod199135
512,chesshint001
513,chesslion65
514,chessmango1
515,chessmanoj1987
516,chessmateno1
517,chesspiti
518,chessplayer20137
519,chessrala2
520,chessrim_com
521,chesstalkc
522,chess_repeat
523,chess_somesh
524,chethana95
525,chibhawee
526,chibi064
527,chingnung
528,chinthaka104
529,chinthakazoom
530,chinu61874
531,chira1
532,chiran6
533,chiran60
534,chiran95
535,chiranr
536,chiranthana1996
537,chirashanal
538,chirath11
539,chirath_1234
540,chmthy
541,chootyd
542,chrishemsworth007
543,christinafiona2010
544,christine_28
545,chronix_vii
546,chrtgnnt
547,chulaka1984
548,chulzbabes
549,ch_gu
550,ciaran30
551,cikrcg
552,cjez911
553,cjgamage
554,ckalhara
555,clashgaming
556,class98
557,clubs4ndwich
558,cm9802
559,cmadh
560,cmdinvader
561,cms2464
562,cobraskull
563,coco200422
564,colombotom
565,compound-trading
566,conybearehj
567,coochieman694200
568,cookies572
569,coolboycolombo
570,cooljanz
571,coolpoppy
572,coolxamith
573,coralrecess
574,costa4964
575,cpb55
576,cpkar
577,craxked
578,crazypawn1999
579,crazy_fighter
580,crda350
581,crispylanka1
582,crysrocks
583,cscvhn
584,csl5667
585,cubert
586,curlymenace
587,currydreams
588,cusilva
589,cutefortress
590,cutereaper2
591,cu_cum_ber
592,cyanide16
593,cybertron21
594,cybertronicex
595,cyrilperera
596,d-m-isira_didulatha
597,d3wy4n
598,dacshaan2009
599,dada9125
600,dadtd
601,daham29
602,dahami2010
603,dahamli962
604,dahamsa2014
605,daifa_rahaman
606,dailyband
607,daksha12345
608,dakshaka
609,dakshikasl
610,dameera
611,damikapro
612,damitha1978
613,daneesh94
614,danidur
615,daniiiiiiiiie
616,dannycool0991
617,danny_sm
618,dansard
619,danu20
620,danu8700
621,danujaya
622,danukalive
623,danuke20
624,danularodrigo
625,danushkarp
626,dany20092009
627,dark562
628,darkbishop678
629,darkbot2
630,darklightsd2020
631,dark_lord213
632,dark_puma
633,darshana1998
634,darshana4151
635,dasfdo22
636,dass101
637,dasunramasinghe22
638,dasuntheekshana
639,davex64
640,davidroyantoney
641,davidthemaurice
642,dazzlinglentil
643,dck123
644,ddcadithya
645,ddimantha
646,deelakachess
647,deennove
648,deeznutzzgotem
649,dehaan201111111111
650,dehan304
651,dehmau5
652,deisapientiae
653,delonrich
654,demondrakula
655,deneth_perera
656,denka0
657,desandhigamage
658,desandi8
659,deshabhi1
660,deshabiranaweera
661,deshan
662,deshanyapa
663,deshlakz
664,dev1988623
665,devii68
666,devil_fighter
667,devin342
668,devu2004
669,dewdini
670,dewmi123
671,dewmi2001liyanage69
672,dewmi520
673,deyon131213
674,deyonhetti
675,de_sha_n
676,de_silva87
677,dhammika123
678,dhana87rathnayake
679,dhananjayayt
680,dhanul2001
681,dhanushka2005
682,dhanushka91
683,dhanushkaarachchi
684,dhanuskabandara
685,dhanuw
686,dhaqib
687,dharshan777
688,dharshana96
689,dharshanad
690,dharshika
691,dharunyan
692,dhilrukshan
693,dhilu123
694,dhiren256
695,dhivaharan21
696,dia_daniel
697,diheing
698,dikasa94
699,dikka1995
700,dilaksanseena
701,dilan229
702,dilan6969
703,dilan96
704,dilankakumarawimalee
705,dilankaw
706,dilansisitha9
707,dilanthe
708,dilanthivanka
709,dildilnich
710,dileeparukshan
711,dileepsandaruwan
712,dilennadeeshan
713,dilith2013
714,diliya
715,dilru48
716,dilrukfernando
717,dilrukganiish
718,dilshan97
719,dilshanakiller
720,dilshanperera
721,dilshansenaratne
722,dilshanwimarshana
723,dilshanyk
724,dilsharan
725,diludilrujithfffff
726,dilzard
727,dima3002
728,dimaink
729,dimantha40
730,dimathi1
731,dimathkamal
732,dimbab
733,dimithrabatawala
734,dimuth1986
735,dinadie
736,dinali_sahansa
737,dinalsilva
738,dinan_2008
739,dineeeeth
740,dinel7
741,dineshedirisooriya7
742,dineshjayasundara
743,dineshkaru
744,dineshkarunarathna
745,dineshrav
746,dinetg
747,dinethjyathilake
748,dinethmi
749,dinethmi_ayanija
750,dinethshane
751,dinilkc
752,dinithi1232
753,dinithi201063
754,dinod_abeyrathne
755,dinujaya_shavendra
756,dinukaherath
757,dinushaheshan
758,dinushi123
759,dinushkipremanath
760,dinushperera
761,dinuwandb
762,dinz777
763,dionmoses
764,dionweerasinghe
765,disara
766,disathmindinu2014
767,dishanchamika
768,dishanth1997
769,dithnal
770,diula
771,diva3468
772,diyana590
773,diyani
774,diyathr
775,diyonweera
776,djsil92
777,dj_cr7
778,dkssh2005
779,dlbk123
780,dmsupun
781,dm_sri_lanka
782,dnayoma
783,doca92
784,docbatta96
785,donami-konde
786,donjayaa
787,donz_chirath
788,don_nalin
789,doortap
790,dor51
791,dottedcell
792,dp9525
793,dpiyumal2319
794,dps999
795,dr-philgood
796,dr990504
797,dracula_99
798,dragonlord88
799,drakiraz
