player_index,username
0,achaar80
1,ahmadzalko
2,akash360
3,al-husseinfadiga
4,andy71993
5,antoinedayrell
6,banchedeladese
7,beetle19
8,benalgreen
9,benniemclovin
10,bigpittman
11,blackchessmove
12,blackwoolf2005
13,brinckma
14,cdeezenuttz
15,chessmovez88
16,chessteta
17,dionysiusharmon
18,divinejunoo
19,dragondong
20,drjaythegrandmaster
21,dwuyecastro
22,elliotkramer
23,fafoudesbois
24,franklindavisjr
25,global500
26,gobio
27,grayedwin
28,huseintunc
29,jacobekstrand
30,jaybinho21
31,jlbernard
32,jorac
33,kaibakai
34,kbg79
35,kerkrock8
36,kinggeorgeweah
37,kwarpaty
38,lennie_briscoe
39,lukaus
40,lydiacherfan
41,macfiddy
42,marvinatapattu
43,moskalets
44,nanomac
45,ndregeno
46,nofavpiece
47,nyonnio
48,nyu2002
49,ooch2020
50,path_to_gm
51,popcorn2075
52,quitnowquiter
53,romulus_69
54,royal_st
55,ruin132000
56,sam942
57,sayla
58,scm2012
59,sickwiggaa
60,sinkorciti2en
61,snosio
62,sunny9993
63,swinful
64,tomcangh
65,traceyomg8
66,varneynallo
67,vladislavabyzov
68,wakeleh
69,whitewave76
70,winstonireland
71,woseyyeaney
72,wrongway388
73,zimbolo
74,zuluyeewuor
75,zvimathews
