player_index,username
0,aaronyeager
1,alcachofer
2,amitsingh18
3,andrew_ntshasa1
4,arboio
5,atrytion
6,badmon5
7,benaboy
8,boitumelo_lefaphana
9,bushy28
10,callista105
11,callista506
12,chang31112
13,checknaterfa
14,chessshabba
15,chester101505
16,chesus
17,chutela
18,claytonkp
19,corpalgorithm
20,daddyd2
21,demancamasta
22,digitalfuzz
23,dikata_house_fool
24,divyansh360
25,dkdkdjsksksk
26,dominion72
27,donty25
28,donzookie
29,dtc74
30,elchobbs16
31,eldinabo5
32,etenek
33,eyalankava
34,eyg08
35,fetsmpk
36,frankmohale
37,funkmastamo
38,gagz7777
39,ghbanms
40,iqiess
41,joshanksrfa
42,kenzito04
43,kiwi309
44,kopanotshehla
45,lebange
46,lefata
47,libesofonia
48,litemale
49,loko00769
50,machacarosek1
51,maek7
52,mahaomahao
53,mahomeddada
54,makek72
55,mapena-ea-khopo
56,matantane
57,mauricehauriou
58,mcgregorwiloh
59,mg-cadrega
60,mika123456
61,mohloai
62,mokeki
63,monicsasa
64,morero21
65,motlalepulankoko
66,mrsmarticles
67,msanqa
68,muaddhib
69,myke10201
70,nealmagee
71,neokon
72,non_plussed
73,nulnats
74,olich69
75,paul-may
76,peaceful_buffalo
77,pewping-on-toilet
78,pheramotsamai
79,phetaramashamole
80,phizi
81,polaroid5000
82,putku_mafany
83,qhekz
84,rafatudios
85,rakhapu_t
86,ray_on
87,reardelts
88,rethabileslnder
89,rllesaoana7113
90,royalmapetla
91,semadla
92,setsoto
93,shahulmydeen
94,shangria
95,shwoalane
96,silvanffm
97,simelane85
98,skoalito
99,slickswitz
100,snowylikhomo
101,soais
102,superior77109
103,takanelee
104,teele009
105,teeman93
106,teeyjay
107,terresoto
108,thux9
109,tjamela24
110,tlhohonolofatso
111,tlhonie
112,tokelo_makafane31
113,trevor160993
114,trickstas
115,tsepangt
116,tshabalalasopeng
117,ujurku
118,utsaaaaav
119,youareslowandtrash
120,zanstephen
