player_index,username
0,00jonas
1,01100100o1111000
2,01erikas
3,01i16
4,02pavel20
5,09melika
6,0z4r
7,1-1
8,1000ltu
9,100x
10,10nn0
11,11august
12,11mike1
13,120013
14,123stasys
15,134366
16,13demonhunter
17,13val
18,16148
19,16cm
20,194pp
21,1962_os
22,1966_06_21_gs
23,19oleg78
24,1belaciao
25,1nojus118
26,1skalper
27,1two3and4
28,1ultimate
29,1_matthew_69
30,22efka
31,25cmlong
32,2beersaway
33,2clever2lose
34,2doublem
35,32butterfly
36,333gideon
37,33a6d
38,36chamberskid
39,3702jz
40,3degrees
41,3gis3
42,420rytux69
43,420v
44,435673a
45,4ephobnk
46,4funlt
47,4heavencca
48,4horsesclub
49,4ouch4
50,4phun
51,4rnas4
52,4rtuna
53,512215
54,5ci
55,600inc
56,65dance65
57,676tadas94
58,6ar8nas
59,6prisonmike9
60,700katinu
61,72check
62,771t
63,777augustas
64,777h3lp_us777
65,78landscape
66,7h4trand0mguy
67,7okis
68,7uikis
69,8at0nas
70,9-5zombie
71,99_rng
72,9alpercankonak
73,9mantas8
74,a1girduks
75,aaaisteee
76,aajus
77,aaustejar
78,ababaca
79,abalaur
80,abelisz
81,abhazas
82,ablavuhas
83,ablomas
84,abodero
85,abriedukas
86,abrikosai
87,abrinanai
88,absurdtrain
89,abviolin22
90,ace_viktor28
91,achileso
92,achm3
93,achmatas
94,acidalchemy
95,acselz
96,actav1s
97,activas
98,ad198705
99,adalbertas
100,adammalewski
101,adamwhy
102,adamwhy9
103,adasb
104,adasputauskas
105,adaz420
106,adcudo
107,ademas1
108,adesa76
109,adezxc
110,admiralbird201358
111,adolissakalas
112,adomas212
113,adomasa
114,adomasber
115,adomasjuska564
116,adomaskazlauskas
117,adomasltl
118,adomassabulis
119,adomatas
120,adomenas
121,adomiukas444
122,adomss
123,adrelis
124,adrij7
125,adrijus0
126,aduomas
127,ady496
128,aendirty
129,aer0nautic
130,aevankawai
131,ageckaa
132,agfoxxvno
133,aggenius
134,aggressivellama
135,agidijus
136,agilea
137,agirdi3220
138,agne0
139,agne69
140,agne85
141,agne9203
142,agnedaniliaviciute
143,agnegoda328
144,agnekupryte
145,agnerq
146,agneshca
147,agnesi9
148,agnezijus
149,agnius2000
150,agniusd
151,agniuu
152,agociukas
153,agotelev2012
154,agotta
155,agratefulmonster
156,agreso2
157,agrobond
158,aguona
159,aguona8
160,agurkel
161,agute
162,aha777
163,aicho74
164,aid3lio
165,aidapaukstyte
166,aidas1975
167,aidas999
168,aidasmao
169,aidasrudys
170,aidassavickas
171,aidelis2
172,aidomotors
173,aikoz
174,ainarys5
175,ainasarust
176,ainius069
177,airidas688
178,airidasj
179,airidele
180,airinasarutiunian
181,airischess12
182,airiwa
183,aironasltu
184,aiste006
185,aistekur
186,aistemi
187,aistis_a
188,aistra_chess
189,aitvaras007
190,aivaras14
191,aivarasd
192,aivarz
193,aivonline
194,aivsim
195,aiwariokas
196,ajonusas
197,akaakela
198,akadomas
199,akatasis
200,akimb
201,akimba0
202,akimirka
203,akinele
204,akivs
205,akviledr
206,akvilejar
207,akvilenar
208,alaa186
209,aladerecia
210,alanas1998
211,alanbalt
212,alandeko41
213,alaunyt
214,albannas
215,albertas68
216,albertasal
217,albertasalbertas
218,albertasj
219,albertuxs007
220,albis111
221,ald0956
222,aldo6881
223,aldonar
224,alekgrin
225,aleks1415
226,aleks1969po
227,aleksandr-1
228,aleksandr233
229,aleksandrasu
230,aleksandrchepelik
231,aleksandrlit
232,aleksandrradius
233,aleksandr_gr
234,aleksasdaujotas
235,aleksasgargulis
236,aleksaskazanavicius
237,aleksaskibickis
238,aleksejboicov
239,aleksejkalinin
240,alekseju31
241,aleksena
242,aleksiukas
243,aleksskl
244,aleline
245,alemarius
246,alenar1
247,alenoaleno
248,aleonavi
249,alex-port
250,alexander-the-lion
251,alexanderodegov
252,alexgodinchess
253,alexi174
254,alexk2833
255,alexltu
256,alexmemel
257,alextaxman
258,alexxxas
259,alexysas
260,alex_lvov
261,alfa0525
262,alfa12345
263,alfamegaxq
264,alfredasfolkis
265,alfredasva
266,algesia
