player_index,username
0,017victor
1,0ct0
2,0nzarazer
3,10alibaba1960
4,1996jimmy
5,1diot
6,1rogerfederer1
7,1wolf6
8,212hugo
9,22dm2010
10,2707xx23xx42dd
11,3000vato
12,3biya3
13,43pir3
14,5claude5
15,74gvc74
16,aaaaaanq
17,abdulmalek17
18,abdulwahab1231553
19,abv3246
20,abyeesky
21,acmemoe
22,acur87
23,adil1803
24,adin9096
25,admire13
26,admirmuha
27,adrianek
28,adriansimi0n
29,adriendl
30,adrienjadot
31,aghamilad1
32,agimche
33,agovic1
34,ahctam
35,aiac0s
36,aidanifinis
37,aizen1803
38,ajetres4
39,ajkula77
40,akashi_chibi
41,akrbed
42,akster99
43,al037
44,al352
45,alainlentzen
46,alainmich
47,alainmo
48,alains4
49,alakamavit
50,alar
51,albato1010
52,alberto_lux
53,alek1709
54,alenderbanger
55,alestony
56,alex1407xx
57,alex260210
58,alex4ever2020
59,alexandrealex2301
60,alexandrehoudan
61,alexandremeyers
62,alexandros_z
63,alexanduhhh
64,alexbrightlux
65,alexdan77
66,alexdelli
67,alexis_dimitri
68,alexmar89
69,alexmill8
70,alexmurphy123
71,alexulq
72,alex_brousse
73,alex_haag
74,alffclaude
75,alfo1903
76,alisalehi7
77,ali_the_hunter
78,alkujabdul
79,alligator230
80,allmadeofstarss
81,almarzn
82,almassa
83,almentary
84,almirm
85,aloof24
86,alpalux
87,amci80
88,amco38
89,amelievct19
90,amil2010434
91,amnesiaaaa
92,amtranik03
93,amy2805
94,ana0nas
95,anastasia2015
96,anatolii5581
97,anatolyluchenko
98,andrea34342r
99,andreamass
100,andrefalchi
101,andres958
102,andyschleck35
103,angel8818
104,angifux7
105,anicalux
106,aniluzum
107,anita352
108,anle2
109,anmesia
110,annabellemary
111,annie5757
112,anoop2rock
113,anouk94
114,anthonydevresse
115,anti-held_ado
116,antiwan3
117,antoineb97
118,antoineclement
119,antoineluxembourg
120,antokha2020
121,antonello57
122,antonmaze
123,anttrainee
124,antwaneb
125,anuscopie
126,apotheoze
127,apu93
128,arben08
129,ardian275
130,arezsh
131,arianesoso
132,arilaclux
133,arktil
134,arms26
135,armundo57
136,arn-ooo
137,aronck
138,aroupolis
139,arseneml
140,arttrika
141,artusoury05
142,arvine
143,ashf0x
144,askakorger
145,asmv
146,astch1
147,asturian7
148,asukahehe
149,aswin_swaminathan
150,athleticwool
151,atlas92
152,atryp
153,atticusfour
154,attilabkr
155,attractivepoet
156,avalonnow
157,aveamm
158,avernakis
159,avidchess
160,avo1980
161,axelstrelow
162,axepz
163,axl1804
164,axl_21_rose
165,b00l34
166,b0bby31
167,babar2264
168,babaza7
169,babbsg
170,babog
171,bachibouzoukk
172,backstreetanne
173,bacutil
174,badelfskg
175,bader9907
176,baldeagle3
177,balnada
178,balthasarghelt
179,balthazarmunro
180,bannaa3
181,baptister23
182,bar82
183,barbarvn
184,barcyyy
185,barisenser
186,batoque
187,bb0108
188,bbe420
189,bbomb97
190,bc2l
191,beatbro177
192,bebda
193,bebe180
194,bebenben
195,beemo45
196,beginner67960
197,begon127
198,behrouz02
199,beitzihd
200,belkhyat
201,bellatron1228
202,ben1670
203,ben2821
204,benbellaoui
205,bendenl
206,benfica1
207,bery212
208,besca711
209,bethharmonrules
210,bethvv
211,biancab22
212,bigfuus
213,bigolleswe71
214,bigplops
215,bigrolf
216,biir03
217,biko40
218,binder62
219,binito17
220,bipopi
221,birkiewp
222,bishopscore
223,bizonche
224,blace461
225,blackabdula
226,blackpetal143
227,blaeser
228,blauwbaarf
229,bleams
230,blouson71
231,blueera
232,bobylapatate
233,boghos13
234,bommeleeer
235,bonhommedelux
236,bonniestwind
237,boogielux
238,borgal1234
239,borna111
240,br1lux
241,br1m1
242,brahinski
243,braum3ister
244,bravos2
245,breakingthelaw
246,breistroff
247,brerus72
248,bretzhell
249,brianballantynelux
250,bricelux
251,brick_bat
252,bringersofdoom
253,broken_plastic
254,brosnag
255,bruha511
256,brunoruzz
257,bruno_123
258,bryanserra17
259,bt476
260,bubbl3man
261,buckelwal
262,bud1290
263,buffaio
264,bulderdash
265,bur23
266,burger9
267,burhuc
268,burningkitten
269,burybury
270,bvd909
271,byak67
272,bysiux2004
273,byzo75
274,c0mputor
275,c3ranek
276,cachou2
277,calamityjohn
278,calkeane10
279,cameronlux88
280,camilleburfield
281,camillemansourati
282,camsen
283,camusjuju
284,canan775
285,canterbeary
286,capablancamorphyous
287,capjackarrow
288,captainbatista
289,captainradok
290,caralibrodebolsillo
291,carapi
292,carloscorus
293,caro9031
294,carudav73
295,carusoxx1221
296,casanovarox
297,cassi1992
298,catalin1972
299,catcat76
300,catullo04
301,caveman277
302,cavm98
303,cc9dd10
304,cd1906
305,ce12347
306,ceddidulli
307,cedes077
308,cedriccampion
309,cedricp26
310,cello73
311,cerealsauce907
312,cerisefenouil
313,chachacharel
314,chameu
315,char575
316,chariotobscure
317,charlesxroidefrance
318,charly738
319,charlychessnoname
320,charlylxbg
321,chatcho
322,chatt079
323,chenqiang
324,chessboxin19
325,chessburgermc
326,chesschess124
327,chessdavilu
328,chessdream85
329,chesser10x
330,chesshubeedo
331,chessmatejc
332,chessnessssss
333,chesspfleger
334,chessplayer1rank
335,chessrosa
336,chesssnesssss
337,chesstard10
338,chesswinner08
339,chess_motiv
