player_index,username
0,0r4ng34g3n1
1,0xdeadbeef
2,124cc
3,1mikus_leduskrasts3
4,1piupiu1
5,1ralfs1
6,1stsecond
7,1v4n2016
8,2019gg
9,2bass
10,2literbeersixpack
11,2rug
12,2sythe
13,314ivo
14,3dis101
15,3pac132
16,41grams
17,4444rgd
18,4aiki
19,4ajniks
20,4one
21,6900
22,7371111
23,74chess
24,7n19k
25,8m0ykhcj
26,8tdm
27,92bzh
28,998ppk
29,9kiakaha9
30,9mang2
31,9swagmemer
32,a-shleifman
33,a4150
34,a5zima
35,aaalis
36,aandris27
37,aarno3
38,aaron010614
39,abalcars
40,abasa
41,aberts1966
42,absolutslohs
43,abstinence
44,acarjun
45,acegryph
46,actinjsh
47,ad2hatt
48,adelinam13
49,adeloc
50,adelwais
51,adletx
52,admiral75k
53,adolfstalin88
54,adr939
55,adrianrubin
56,adriansjan
57,advokats9
58,aeea0007
59,afromentalist
60,agaller
61,agatak31
62,agatis1998
63,agatis2
64,agent0
65,agerans
66,agnese09
67,agnesee
68,agnesevanaga
69,agnis
70,agnismednis
71,agriic
72,agrins
73,agris1970
74,agrissh
75,agrivkov
76,agurdins
77,ahmedjazairly
78,ahyes5headmove
79,aicis25
80,aigaaa
81,aigars300
82,aigarskurats
83,aija58
84,ainars44
85,ainars79
86,ainarse
87,ainarsleijejs
88,ainarslii
89,ainarsmielavs
90,ainis1
91,ainis67
92,airnewbie
93,aispurs
94,aissolo
95,aivars7
96,aivarskonutis
97,aivarsm
98,aivarsproge
99,aivisaivis
100,aivislb
101,aizakas
102,ajax371
103,akindinich
104,aklnaanna
105,aklupurs
106,akma21
107,ako77
108,akocins
109,akopyan85
110,akrobats
111,akrumins
112,aksefekts
113,aksels
114,akuzika
115,aladins007
116,albaboss174
117,albertcevers
118,aldemak13
119,aldeska
120,aldis3
121,aldisbo
122,aldisgedrims
123,aldisn
124,alecsoid
125,alekis_p
126,aleks-pro-go
127,aleksandragordejeva
128,aleksandratraube
129,aleksandrberzins
130,aleksandrdubkov
131,aleksandrsbelte
132,aleksandrsedleckij
133,aleksandrsgromovs
134,aleksandrsss
135,aleksandrsv
136,aleksbo
137,aleksej0102
138,aleksejaleksandrs
139,aleksejnaumov
140,aleksejrogozhnikov
141,aleksejsd
142,aleksejskorneluks
143,aleksejstitovs
144,aleksis3d
145,aleksissmillzins
146,aleksisstatu
147,aleksits
148,aleksivans89
149,aleksjuran
150,aleksprok
151,alekssretigs
152,alekss_f
153,alekuu
154,alerthog
155,aleshaleksej
156,alessandrohripunov
157,alex69966
158,alexacf666
159,alexander-au
160,alexandervankotin
161,alexbar23
162,alexbugroff
163,alexeyiam
164,alexgaft
165,alexistired
166,alexj1955
167,alexkoff
168,alexkrastins1
169,alexrase555
170,alexshav
