player_index,username
0,0rockade
1,10xchess
2,aalvaar0
3,abumqdada
4,actualstring
5,adelinebooks
6,adnansumma
7,adonaiaar
8,adrimouche
9,ajames7
10,akooja
11,akorenevski
12,alecdemc
13,alexandrecoyette
14,alregabocco
15,alu254
16,alzakawy
17,aminnarsinh
18,anais708
19,angelino2012
20,angema27
21,anonymous7080
22,anotherchestplayer
23,anthonyferreyrolles
24,antoinepiaf
25,ardagrer
26,artur0335220
27,aryblachim
28,avespucci
29,barialqous10
30,bba0
31,benz993
32,bestofmonaco
33,betyourassyouloose
34,bgiesmann
35,bicentevan
36,billykimbr
37,blackartropy
38,bobnoob38
39,bogdanalexandre
40,boubounja
41,brahimg
42,brilliantspy
43,bryanmorf
44,businka228
45,butzi923
46,b_ferry
47,caadmck
48,callecanon
49,ceschecknomate
50,chaupaton
51,chawki33
52,chessmachine5000
53,chesster22
54,chichikova
55,chm12
56,chocomix123
57,chris-98
58,chudnoy44
59,clodoaldo01
60,costadinos
61,croesi
62,crucibleofadversity
63,cuticat
64,d3h1dr0n
65,dani8x
66,danielator2002
67,darcol
68,didoc12
69,dieu98
70,donzeppe
71,doume06
72,drfonzy
73,efim33
74,ekaeoq
75,ekigartista
76,elabuckela671
77,elie115
78,eliefournier
79,elinzme
80,elricsonn
81,endgameofthrones
82,erock73
83,errrriiiikkkk
84,ewan-mc
85,farakwang
86,ff666
87,fideli000000
88,fidesingenium
89,filthedrill69
90,fisnnikk
91,florinuniversalu
92,fmunk
93,fr40
94,francythebeast
95,gabrielagorska
96,gamma022
97,ganzgenauso
98,gaspard2629
99,gaspy76
100,gateauenvoi
101,giovannif32
102,giulia346
103,giulianonovacco
104,glf4598
105,glockenhammer
106,gorkawa
107,haadrien
108,han51e
109,hebus107
110,heorenn
111,hotpant
112,hottoddy17
113,iiiiiiiiiiiiiikontor
114,ilnegro84
115,ilumina14
116,imnotmat
117,imrobbychesster
118,intima01
119,italianstallion2323
120,jacques1962
121,jarodcorsica
122,jawyyy
123,jaxsir
124,jaygatsby7
125,jelly141096
126,jgcavallopazzo
127,jimmer12
128,jlimc
129,joansteel
130,jodass
131,johnnybegoodish
132,jomak2020
133,jtsx
134,juanantoniogo
135,juju_oli
136,just00
137,jynxzz
138,kanoumc
139,kate0n
140,kells2218
141,kolpakse
142,kopeikin
143,kriesus
144,kyosaku
145,l7lli
146,latino255
147,lekukakuka
148,leopold0110
149,liza_li007
150,lomchamo
151,losht22
152,madeleine2017
153,mangomore1
154,manooooof
155,marcodoglioni
156,markbars1212
157,masterjulien
158,mattstiffler91
159,max36002
160,maxdehoopcartier
161,meraoul
162,mikelawebb
163,mikep1997
164,mikewohl
165,milllydanxe
166,mj_wizard
167,modestobg
168,momys06
169,monacostardesign
170,monegasque
171,monte_carlo_777
172,mouhebg
173,mr_fat_booty
174,mymaroon
175,nacirtav
176,nephyejoo
177,nicolas1415
178,nikitlas
179,nikomonaco
180,nonobew
181,nuncl
182,ocanom98
183,oliv2205
184,originalmareks
185,otiz1
186,pab0109
187,pacaco
188,palesled
189,pandazgv2
190,papevich
191,pcroizer
192,petronas9
193,phil06nig
194,pierreweill
195,pinksouthplaya
196,plasma1234
197,queen_stella
198,qwertmnbvcxz
199,raptorjesus69
200,rocket_bas
201,rodgchess
202,rodiaryen
203,romali
204,ropasipa
205,sachman201
206,saeed1402
207,salaarhasan
208,sambolito
209,sandrasaab
210,sandrolabs
211,santiagobarreras
212,santnew
213,sasha_8787
214,sch0p3nh4u3r
215,seb2802
216,sebas416
217,shady301313
218,shawmahlawleon
219,silviustiberius
220,sk8erboi00
221,smkbl
222,sneakylyric
223,souhbib
224,sout44
225,spri3
226,springr-c4
227,suffolkpunch7
228,suifure
229,svetafor
230,switchmc16
231,sxixos
232,tahamasror
233,talo31
234,tc_monaco
235,thealexitacionuz
236,theo790
237,thereis2muchraining
238,the_book_of_love_007
239,tianachess
240,tonio973
241,toniolabraise
242,trackfastmisha5
243,trapolta
244,twisko35
245,tylerdurden1973
246,uwumuqueen
247,val5r
248,vercinngetorix
249,vividtray
250,vladarmeanu
251,vlatkotuchev
252,vodkaget
253,vvdss
254,werta08
255,wolf395
256,wzyacya
257,xav98000
258,yj47
259,youpiyap
260,ytermanov
261,yur25
262,zendmagic
263,zibout
264,zoltan75
