player_index,username
0,0liviera
1,0stin
2,0swooshy0
3,11997799123
4,13maestro13
5,13monster37
6,1angel17
7,1feeliciaa
8,1krayzer
9,1l0v3myl1f3
10,1plastik1
11,1volleyball
12,24mv24
13,2beerman
14,2zile
15,3alexei3
16,3rdoxygen
17,3wolt
18,42lyfe
19,47chromosomesxd
20,4christmas
21,5ink0gnit05
22,69fsusst69
23,71onoff
24,777alisa777
25,7lg5
26,7lg562
27,7son7
28,7the_hero
29,9l_partyzan
30,a1exd
31,aaaa_27_05
32,aaahau
33,aartrainey
34,aavelik
35,abigail130197
36,absolutelyoranges
37,acaragia
38,achiles27
39,ackerman_1
40,acondruc
41,acop_minasean
42,acroitor
43,ad4pt1ka
44,adani00000
45,adelinajardan
46,adelinazubacial
47,adicheck
48,adik-06
49,adina20012
50,adi_md
51,adolif999
52,adolmathe
53,adr1o
54,adria1003
55,adrian-cedacri
56,adrian10108
57,adrian4k
58,adrianandronachi
59,adrianflp
60,adrianlup
61,adriann3593
62,adrianpopa1234
63,adrian_pshenitsa
64,adryan_tr
65,adsan597
66,advakot
67,aerhan98
68,aesis32
69,afanasiesalinski
70,agentsinner
71,aggov
72,agorcic
73,aheadoil
74,ahuielstoli
75,aibudak
76,airoon1
77,aistrati
78,aka20209
79,akkscage
80,akundelar
81,al3xch3ss
82,alakay420
83,alcomcobac
84,alegarsion
85,alekseinikiforov
86,alenrock
87,aleo111
88,alevtina007
89,alex-botan
90,alex-hunter775
91,alex005181
92,alex05ok_2
93,alex19724532
94,alex61188
95,alex9241
96,alexander-222
97,alexander521
98,alexandr1812
99,alexandra06052005
100,alexandrchirciu
101,alexandrdimitrov
102,alexandrgodoroja
103,alexandrlisnic
104,alexandrmd
105,alexandrmocernii
106,alexandrstarih
107,alexandru170485
108,alexandru3412
109,alexandru55555
110,alexandrualex89
111,alexandrubarladean80
112,alexandrucechin
113,alexandrucondorache
114,alexandrugatmaniuc
115,alexandrugherasimov
116,alexandrulungu44
117,alexandruqwerty
118,alexandrurodcencov
