player_index,username
0,12thslayer
1,25amp25
2,adrienphelma
3,agusvoalou
4,aina261
5,aina4040
6,ainaandrian2
7,ainarhv
8,alainmicol
9,alex130303
10,alexminsk1983
11,alisontony
12,aljosha23
13,alyandria073
14,amazingtusk
15,ambinintsihoarana
16,andoravo
17,andriamanamizaka
18,andriamihaja
19,andrian-jo
20,andrianitokiana
21,andrianoroson
22,andrisoa
23,andry07
24,andrythierry
25,andyramamonjiarisoa
26,aneken1992
27,anoneco
28,antsaniavo
29,ardcor91
30,ariinavalona
31,armandotsiry
32,arnaud-mdg
33,arnaudraz
34,arnoldzam
35,artess98
36,arthemys33
37,as3121
38,asa909
39,ashleyrandrianirina
40,ashwin0122
41,aurorah2
42,aurore99
43,avanaeusford19965
44,avanaeusford96
45,avanagford1996
46,avotra7
47,avotrany
48,ayanoaishi0
49,azizrh14
50,a_modigliani
51,b3lph
52,bakslookid
53,baritiana-zo
54,baroho
55,batya228123
56,bayngg
57,bejao
58,bethjarmon
59,betrayeurxx
60,bl4ck_kn1ght_4ever
61,blackjack690
62,blackmlg
63,bluekingmg
64,bluerektshin
65,bonboklate
66,boumi_11
67,bray30
68,brownjayy
69,brxvwn
70,burnn
71,bzz0
72,cacanabe
73,calim8r0
74,castelot
75,cedriq
76,cgm_mihaja
77,chame7eon
78,chesspro131
79,chileon
80,chris0_0
81,chris4126
82,chrislehfr
83,christobale
84,ckyre
85,claytonanthony
86,cr1sty
87,crixosii
88,cyberlahy
89,cypherparker
90,d-rnomenjanahary
91,d0ctrx
92,dachec1908
93,damanja
94,danary8
95,darshan305
96,dartan321
97,dashsad
98,dayris0
99,dede5321
100,deuspi
101,dfnl2
102,dillra
103,dio_zawarud0
104,direktera
105,dmfnfi
106,drmada
107,duff_at_chess
108,duraciok2
109,dwrightmada
110,edhia
111,edouard03
112,efabela
113,eichar
114,erickael
115,f-blackburn
116,faclub95
117,fakenamemaybe
118,falisoa
119,famoha
120,fanaisfana
121,fanilo2006
122,fatika88
123,fenitradenis
124,fiberse
125,fidmah
126,finaritra
127,finaritrarabarilalao
128,finmada
129,fitahina
130,fitia01
131,flying_cat_25
132,flying_efreet
133,foumaboul
134,fox0048
135,francistheng
136,franckowskyarimanda
137,franqz
138,frazyo974
139,fructueux
140,fy_rakotomaharo
141,fz_maingoka
142,gabton69
143,gadelmahenina
144,gafotra
145,gagadoud
146,gameraddict6
147,gasy0
148,gcgcgcgcgc
149,generaltune
150,gian_andrianarisata
151,girlish261
152,goldofb1
153,grimlock46
154,guifoutu
155,haja93
156,hangtbs
157,harena7
158,harisonrama
159,haritianarabeson
160,hasinaraniriharison
161,hazalambo
162,hazou
163,hdina
164,hephaestus23
165,herijor
166,herilalaina
167,heriniaina69
168,herinjaka
169,herisata
170,herizo
171,herizo1
172,hevidrazana
173,hf001
174,hlegrand
175,hmirana
176,ho9999pe
177,hobimirindra
178,hosearandri
179,hpetsotokar
180,hzonomena
181,h_mate
182,i030
183,ihaja
184,ilorajason
185,imboas
186,imcapucaina
187,improve-again
188,infamoushooper
189,instinctivemga
190,iorena
191,itoavinarams
192,ivasram
193,jangrejer
194,jasonsidje
195,jauresmarley
196,javascriptjunky
197,jbearrr
198,jeanmichelm
199,jedidia40
200,jeff8828
201,jehovanie
202,jelvi
203,jere523
204,jersranjia
205,jezzez29
206,jfutur
207,jimmyrazafindramboa
208,joasy21
209,johanncornu
210,john0724
211,jojo9909
212,jondsnow
213,josiasemmanuel
214,josueratovo
215,jouissant
216,joy_burleigh
217,juliennary
218,justsomeguy204
219,j_stunt_the_hustla
220,k1snan
221,kaiddel1328
222,kajy
223,kakanjila
224,kamenja
225,kameritsiry
226,kamuikamoe
227,kanamemg
228,kariloca7
229,kasseyprimal
230,kaya18
231,kbkb
232,ken0299
233,kennyderek
234,kevinkira
235,kevinrahari
236,keytonscroutch
237,khaiang
238,kiax94
239,kingjulienthexiii
240,kingjulienxiv
241,kingkai2380
242,knightpunch
243,koloinarajaonera
244,kon954
245,kotomisa
246,kpiboo
247,krabojad
248,kytogang_mada
249,laasotsameach
250,lahimalaza28934
251,lalaina5
252,lanjatix
253,laughtale20
254,lekringy
255,lidakely
256,lilbeastnb
257,lionneljazz
258,lito26
259,lmario7
260,loopin69
261,lostsoul4ever
262,lovamihajadimbisoa
263,lovaniaina
264,lovatahiana
265,lovatiana25
266,lowenhj07
267,lratianjanahary
268,luc231
269,lucas25809
270,lucastoboul
271,lupo12
272,m93mandresy
273,maarless
274,maboo999
275,mad6789car
276,madagaskira
277,madagreen
278,mafoaka
279,maglietta
280,mahasetra
281,maherisoa
282,maherybeza
283,mahrchess
284,malamabe
285,mamiarilala
286,manambintsoa1110
287,manambitana
288,manana-andriamanak
289,mandresychr21
290,manitra757
291,manjary
292,manjato54
293,marcravalo
294,marisika
295,marosandy
296,marosandy5
297,martinique24
298,masteraina
299,matt391
300,maxt75
301,mbisotra
302,mbolamahefatiana
303,menendezy521
304,meocesar
305,metalcushion
306,mia04a
307,miandry
308,miaramila
309,mickaeleric
310,midassnice
311,mimi764
312,mintsami
313,mirrebel
314,mista105
315,mkirikou
316,modyadala
317,mohamed1461
318,monstertah
319,morfalneo001
320,mpanjakamainty
321,muyassir
322,myantsa
323,myrsman
324,m_dingos
325,nainacfc
326,naisse27
327,nalamina
328,nambinina63
329,nananjy
330,nath217
331,nazipra
332,ndeuki
333,neandertalgame
334,neatglove
335,newatcheese
336,nickicheetah
337,nightmare00736
338,nightpanda
339,niklasvegas
340,nilo868
341,nimael
342,nino1909
343,nirina34
344,nishare99
345,njakaratovo
346,nonoh17
347,nsura777
348,nuridos2612
349,ojotranaivo0
350,olivantsi
351,olivier5155
352,onyrahajarison
353,oo007oo
354,osika18
355,oziimandias2
356,papajackdastone
357,patamaube
358,patricksrandrii
359,peastolepete
360,petercreagh321
361,pexaliaspex
362,philnirina
363,pierreli598
364,presentdaisy
365,priva036
366,profguard
367,proplachess
368,quicksand001
369,qwertygasy
370,radjibaly
371,radoandriani
372,radoniaina2707
373,rafra7
374,raj27yy
375,rajol
376,rakdol
377,rakotochess
378,rakotokely
379,ralaibozaka
380,ralia1234
381,ramiarisonta
382,ranaivosolofonathan
383,randriafenoi
384,ranto-1
385,rantoandrianjafy
386,rantomi10
387,rantomichel
388,raphael-rbj
389,raptor2021
390,ratiji
391,ratsima
392,ravaka07
393,ravaloson
394,ravelot
395,razafimahavelo
396,razanakoto
397,rebl7
398,reggaedancer
399,regis2103
400,renelbezandry
401,rhugues
402,rigo61
403,rihidem
404,rijajo
405,rinaud
406,rindradev
407,risa007
408,rivokely
409,rivorasolomaharo
410,rivosoa
411,rnbhnix
412,rnhrbt
413,rpaulinfranco
414,rraau
415,rralaiarimanga
416,rsn12
417,rthrrm
418,rucky059
419,rvkc
420,ryinn
421,rzgun
422,sahy31
423,samping1
424,sandabig
425,sandarshw
426,sanrandry
427,santos1975
428,saraetcie
429,sayuh500
430,sdonnivah
431,sederar
432,seha24
433,semyi77
434,seraph24
435,sergemada
436,sergemada78
437,sfassou
438,shamirnic
439,shekmashek
440,shellbot97
441,shika1984
442,shim-mg
443,shoropochoro
444,sigtter
445,sikandare
446,silkyrainstorm
447,skellignton
448,snoop134
449,solofoarisonavotra
450,soloforalitera
451,somerandomj
452,soza04
453,stan624
454,stane2233
455,stretchmarks
456,stretchmarks1
457,supermarmotte1609
458,suricatarda
459,t-e-n-d-o
460,tahianamaru
461,tahmarc
462,tantely01
463,teddyravaka
464,thedarkside454
465,the_king_of_tana
466,thierryjohnah
467,thirix1st
468,thomasthomson11
469,tiana127
470,tiana_87
471,tiantsoash
472,tiguidoutagada
473,tijo97
474,tirandri
475,titifelix
476,tjpatrick22
477,tjr92
478,tjrado
479,tkn_raf
480,toavinaraza
481,tojochess24
482,tojoherimanana
483,tojokeli35
484,tokiniaina160
485,tokyherve
486,trainingdummy
487,tsehenomanana
488,tsiferindra
489,tsirywd
490,tsssssk
491,unaiov
492,valera62
493,valere25
494,valerienvalerien
495,vandewielebenoit
496,vich3rlys
497,vmarc86
498,voanembagasy
499,w414w
500,walterber
501,wezbfrenchy
502,whoamicrzviper
503,wisekth
504,wlaubiz
505,woland5
506,wunderbartogether
507,xpsylocke
508,xungphong
509,yantatiana02
510,ylan-ar
511,ymada33
512,ynotha
513,yrtso
514,yungbased
515,yvesandre1
516,zaraaraz
517,zeus461
518,zipobravo
519,zmgsolo
520,zobernard
521,zotax
522,zotorambeloson
523,zulpxar
