player_index,username
0,ajeng7
1,akira2499
2,ananaskafa
3,andrekarpe
4,arjunsaravanan
5,arnoldr13
6,bj34
7,blundergodx31
8,bolzano-weierstrass
9,chonggum123
10,cosanostradamus
11,crnubwub
12,daaamndude
13,daviddijong
14,degdadestroyer
15,dharmabum65
16,diggy10
17,dkushner42
18,donkyeeee
19,essteer
20,estebanchoropu
21,evertonfc1985
22,fedormiasnih
23,firehead03
24,flfoof
25,gabrosious
26,gmgcc
27,gpz1234
28,grst20
29,gshsjhdhdu
30,hacklschorsch
31,hadiabi
32,hidensquare
33,hisokamagic
34,hoosierphysics
35,iantevenmad
36,itc0
37,jamesfilipino
38,joflyer22
39,jojittomenio2973
40,joshcoyle
41,jvsadan
42,kira997
43,lastfake
44,malkavi4n
45,mat127001
46,mayotea
47,mb890
48,me2to
49,migz1175
50,mrglassonion
51,nicohervas
52,onebytegone
53,originalrookster
54,pepescoots
55,pion120
56,polskolz
57,poossystupidwetty
58,pugua
59,ramakrishna100
60,ri-majol18
61,rjl582
62,roberscl
63,seoak
64,shaneloveschess
65,shgmk
66,spiritual164
67,sudi19
68,theheadofcabbage
69,tr3voir
70,tryhard311
71,vatican_priest
72,walid66679
73,xu393
74,yoser1
75,zen015
76,zzhhqwerty6411
