player_index,username
0,aariaa9
1,aden202096
2,ader143
3,alasso1
4,amadou-sekou
5,amadouk
6,androp13
7,arezki2011
8,arsene72
9,bamanan
10,bamoulaye22
11,belgiummmm
12,beniwatts
13,breakingbad89
14,calichiama
15,cheickobamba
16,ciemniasty
17,colloidal
18,diokolo
19,docnoe1
20,dollar757
21,doumdoum29
22,edjikson
23,eric95450
24,gg123456784
25,gharooni2020
26,giandeparis
27,gracem574
28,guster13
29,habi_selavy
30,idison
31,issou2007
32,kamiss000
33,karimtraore
34,kaspacheick
35,kerjo93
36,kissima1
37,kitchydan
38,kount1n
39,mansa-musa
40,mbawmba
41,mdiawara
42,mgstyles
43,miclol
44,mmkkdd3
45,moc86
46,moctar244
47,moh22655
48,mohamedsawadogo
49,moussadiarra492
50,neslincaglarkilinc
51,ngtguuhg
52,obamba70
53,olubaru
54,omarkaita
55,ouachita2
56,pinkerton104
57,ridjalok
58,rond0g
59,s1mple57
60,saintoumar
61,selif8
62,seydou744
63,sirimali
64,souleymane12
65,swagcity69420
66,tk09223
67,tontonnaly
68,unhappi
69,vervebko
70,wardoghunter
71,ykra2008
72,zagros65
73,zaza-1
74,zedikuss01
75,zesr
76,zulukemi
