player_index,username
0,00865
1,124559729
2,1andonlylegend
3,321_123
4,abololo
5,adrian4638
6,adrianchess12
7,aegidash
8,aeragan999
9,ag_nos_tic
10,airbrybry
11,airplanehimman
12,akariakari
13,akoal
14,aleeks123
15,alerego
16,alexcheok38
17,alidad
18,alvaronemlgz
19,anachan626
20,aniketsainani
21,anvi55
22,any1imahacker
23,appleb33z
24,arc-z
25,artemisfowl9901
26,artmeaks
27,asadhanif193
28,ashe_r
29,asl100
30,avgpotato
31,axlbe
32,azslade
33,balancedbowtie
34,beetlewithbigdong
35,benofbandb
36,bigbrainchessfag
37,bikkulam
38,bishalgrg390
39,bogxie4
40,bonguscarlsen
41,bosco1129
42,botvindik
43,boubakart
44,bowlolikesqueen
45,brianyy
46,brunolee83
47,buddy1475
48,buffedy
49,buibuix
50,cactusholmes
51,candacezsm
52,candayapple
53,capitaobala
54,carmandrew727
55,cdwongsini
56,chaklong
57,charadasombria
58,chechenf
59,chengchen2047
60,chesslh19
61,chilongchan
62,chinaski89
63,chiosongtai
64,chipstack
65,civilsture
66,cle49610
67,cold666
68,concnacl
69,coolchessperson123
70,coolguy128
71,cora63778
72,cottonberry
73,craz_kratato
74,crystal2017
75,cugcvang
76,cupsunt
77,daltaine
78,dariasyrovatska
79,darkni5ht
80,darrencai
81,davidlu1998
82,daydreamert
83,deadhades
84,denisb1
85,desmondc
86,devorozeto
87,dewise
88,djdidosksj
89,dnope
90,donfranco142019
91,donng1024
92,drgrantchizzleballz
93,duffy853
94,duncanhlc
95,e030e03
96,ebolo217
97,eddiecheang
98,edward1213
99,edwardemm
100,edwardok
101,edwin568771
102,eliseoch
103,ender0308
104,ericn44
105,erniebirgbee
106,ervvins
107,esylmz
108,evilsn
109,facecrafter
110,fag-2021
111,fanfan19
112,faszfejzoli
113,feofk
114,fernando0917
115,ficklefoxx
116,flame68685787
117,franticpen
118,frostbitepenguin
119,gabriel_mg
120,gaminggoblinwarlord
121,garyip3
122,gaslof
123,gdeferreira
124,generalmilitary
125,georgemyint
126,gfx639
127,gg729
128,glizzbrice
129,glizzkumwater
130,googolplex0
131,guem278
132,gunmanon
133,gurjas_s
134,gwailouluis
135,hansonfeng
136,harbelo
137,hatera03
138,hawkinshollings
139,hehexd1238
140,heihrrkeheir
141,heileh
142,hermanch38
143,hermanho
144,heythew
145,hf_chan
146,hippopotamedodu
147,hiro810
148,hoho94
149,hoteggs0901
150,hottrafficcone
151,hugoo523
152,icecreamstix
153,iengiengkat
154,iengieong
155,ihelpmyself2
156,ikokkokokjijj
157,imcat
158,ines0903
159,izumitong
160,izzy702
161,jaccolol
162,jaguarboots
163,jasper_lei
164,jayden0102
165,jaytian1
166,jeffrey1411
167,jellllllly
168,jhune627
169,jjcal100
170,joanamariya
171,joechan007
172,johanndajunior
173,jollyjoe2012
174,jonathan24680
175,jonathanjothan
176,jonny69420
177,joshualeung353
178,kahchain
179,kanzara
180,karosjef
181,kate514
182,katronk
183,kayser-fleischer
184,kchan9729
185,keiourse
186,keithwong000324
187,kenhajima
188,kennychoi719
189,kennyfronteras
190,kingsley_pennethrone
191,kingsunday
192,kit287
193,koifaiku
194,kurtislee
195,kwiifhckcic
196,lachlanskeleton
197,lapfei
198,lavahound989
199,lazyturtle1884
200,leicheongma125
201,lekhnathkhatiwada
202,leocoelho8
203,leoisthegreat
204,leonardovorx
205,leongsengu
206,leonhkjh
207,leroylou
208,leslie1028
209,leuleu007
210,lminlmin
211,maguswong
212,manhouchan
213,marcelmiranda
214,margaret215
215,mariojudah5
216,mariostan003
217,martintat
218,mastermodz
219,mateusbrant
220,matthew246
221,matthew7375
222,matthew92647
223,max2020max
224,maximilian_al
225,meixinlei
226,metthewgrace
227,mfriendgg
228,michelle200303
229,mioskisses
230,monam007
231,monte58
232,motoroto650
233,mrparcotang
234,mrwhite000
235,mushyrin
236,nachotaco4ever
237,nelsito21
238,ne_kuro
239,niceglove
240,nicholas121
241,nicholaslol
242,nico8494
243,nicogt95
244,nikacherqezishvili1
