player_index,username
0,0-k-0-k
1,2keyboom
2,97200
3,abi972
4,abu3abdx
5,airfrancepilot
6,alexandre97200
7,alexcordley
8,alexiiis06
9,ann3s0
10,antoine4769
11,arcticknight4
12,argamemnon_97117
13,arlecin
14,artybako
15,axel_972
16,bamboutige
17,baptiste972
18,bastien-paris
19,bat_2005
20,beastgodchess
21,bencb1
22,benoit_blvd
23,beuhbel
24,bib972
25,billbaits
26,bob27bob
27,brimax53
28,bub972
29,capsud
30,carlriiberknudsen
31,cfqd7
32,chalonay
33,chamakhmakh
34,charleslefebvre2
35,charlestuckeriii
36,charley972
37,chateaulefish
38,chedim21
39,cheesssssy
40,chessmasterhx
41,chessmateclem
42,chessmatevic
43,cleclesainsain
44,come564
45,dahn00bster
46,dangibaud
47,danl972
48,datsub
49,dave9114
50,dgeo17
51,dragonhun
52,drcapala
53,drearyplastic
54,ducouretsophie
55,dumoumou68
56,dylan_de_dinosaur
57,edphi
58,edwin191
59,egoyballade
60,elnonodelamuerte
61,elsielgo
62,elvisba
63,emtothezz
64,enzo0243
65,excellentdomino
66,fabrice_al
67,farisbourassi
68,fba10
69,feng0604
70,fewof
71,fhs972
72,fkich88
73,flhyt
74,forksandhorses
75,foxtrot973
76,fyta2
77,galexcha2345
78,garytus
79,gautier2006
80,gegecaf-972
81,gertrude75
82,gigimax
83,glayta
84,glucas17
85,gopalyami
86,grorat
87,guillaume18
88,hakrca
89,hamza93othman
90,herisson-san
91,hirusmasi
92,homeboy972
93,ichbinalex
94,inky_1970
95,intelligentlee
96,jaafar07
97,jans972
98,jbalmy1996
99,jeanbik
100,jeremie97228
101,jm14av
102,jm972
103,josephbologne
104,julianosbos
105,justresignbros
106,jyjy595
107,k1nky
108,karaboudjan96
109,kears
110,kebab972
111,kenthis0
112,kevinmage567
113,kewiiis
114,khermite
115,kilboms079
116,kimjongpoo
117,kingofworld2
118,kingowo
119,kingsgambit690
120,kizuk
121,koelopf27
122,kopart973
123,krlito86
124,kyjesus
125,l0renzoo
126,labourslay
127,latourinfernal972
128,lazycrazybazymazy
129,leiblouis
130,leo3333
131,le_verusse
132,lila06
133,lolilolch
134,louis48
135,louks97
136,louloups
137,lucassoulet972
138,madagicien
139,manuelcomsel
140,marceau1501
141,marcinkrol
142,mathiasiv
143,maxime85660
144,maximevachierlabas
145,mdcpp
146,michounet68
147,mickaelcrl
148,midnightheron
149,mmax972
150,morozzzzov
151,mowglyfather
152,mrcapala
153,myki173
154,nayte32
155,neechnotnice
156,nemo971
157,nico97231
158,no4ce
159,noaleroi
160,nobru972
161,noemietchonchon
162,noobawan
163,nulnath
164,o7e7
165,oktay03435
166,oliverjd
167,oliviergemon
168,palzo
169,papouchon
170,patdoogan
171,patoleo972
172,patredway972
173,patrick972
174,pawn972
175,pawnhub-premium
176,pierreemmanuel0972
177,pilounator
178,pocket-code
179,polo97224
180,pomied
181,popkormer
182,psylocybe
183,quickgame8976
184,qutaiba-4
185,qwertz3
186,r3pt1le
187,rafael9196
188,ramonmerkader
189,rasginga
190,rassa971
191,refrigi
192,reynal97240
193,robertito007
194,robinhoule
195,robintheresine
196,rodriguerki
197,romain972
198,romaincrypto
199,saburap
200,saegerhaynes
201,samakk2000
202,samu_ninja
203,sandym97
204,selmanyildirimer
205,silentfish2940
206,sisyphus661
207,skg83
208,smackmyqueen
209,smashbopp
210,snakeyes972
211,steeve972
212,stilnoxx
213,str69
214,stspro
215,sulaco73
216,suli972
217,supersuperfred
218,syleyman
219,sylvius972
220,szpinor
221,taicha77
222,tddyotv
223,tecno14
224,tenaslidos
225,tequila972
226,th1m
227,the_xcubrix
228,thismadg
229,ticharles
230,tiloxi
231,tipires972
232,tlionels
233,tomekeko
234,tomflaco
235,topbede
236,toquinho9
237,toupiti
238,tsikifler
239,ugopia
240,ultime972
241,uronas
242,v0zinho
243,vincemaya
244,vincent972
245,vitalii12
246,vixx20
247,vrakio
248,wolaraf
249,yah4x0r972
250,yannbogdan
251,yco75
252,yomac972
253,yovann506
254,yoyoplr
255,yvanlys
256,zorman972
257,zxrolelouch
