player_index,username
0,ahramany
1,alanbe91
2,albertbarcelona
3,barcelona28
4,bulfo2006
5,dahfulload
6,escacs225
7,explorateurdumonde
8,flow7711
9,garikolc
10,giantmouse
11,harv79
12,heeuitbee
13,isover76
14,jmfma
15,konpvalto
16,kritikal_x_bilbo
17,krsnplski
18,kudjoe
19,livinglushlier
20,m0oises
21,marcohera
22,nasiop
23,nostra9
24,oscazar
25,oskarbakker2
26,proshtein
27,romainhector369
28,russian777
29,sergimichavila
30,shamit07
31,sli123
32,thenuclearpanda
33,treinamentoesportivo
34,wbrand1967
