player_index,username
0,0000game
1,000axel000
2,102xa
3,1lookatthis1
4,3zero2
5,56789abcdef
6,5n321
7,64depth
8,6gillshark
9,aaattard
10,aacrd1244
11,aalinnas
12,aarondebattista
13,aaronlfal
14,aattard
15,aa_drew13
16,abchesssno
17,abig97
18,abispiteri
19,adebarro
20,adrianhamruni
21,adrianhanseny
22,adrianztabona
23,adrimimi
24,aemn1986
25,afubaf
26,agalea
27,agentryan001
28,ahmadsuliman4
29,ajdebono
30,ajzammit
31,aklby
32,alainmic
33,alangalea
34,albdoko
35,ale1305
36,alessandra11111
37,alex111199
38,alexkalkara
39,alexovella
40,alexwes
41,alfschwein
42,alilouy
43,alinka944
44,allo75
45,alphakernel
46,altinchrist
47,alzypalzy
48,ammarhaggar
49,andead
50,andreaabela
51,andreacordeiro
52,andreagrech
53,andrearcpalices
54,andreaskotelis
55,andredelicata
56,andrewcassar
57,andrewmanduca
58,andrew_abela0809
59,andruborg
60,angel1889
61,angluu
62,annemariebez
63,anniepanda
64,annylintu
65,anotherbrickoffwall
66,anrac
67,antbartolo10
68,anthonyadverse
69,anthonygalea
70,antonioperfetto
71,antonmalta
72,antpace
73,aquilaris86
74,argon98
75,arnkls
76,art011
77,asmalex
78,atm622
79,atrpchev
80,awgshka
81,awses
82,azelof
83,azzopardir
84,b455t
85,badugi72450
86,bahami1
87,balello
88,baloche
89,barany89
90,barter42
91,barter424
92,base007
93,bbez
94,bcud
95,bearwhale88
96,becky1294
97,belialicpride
98,bemu21
99,benebzz02
100,bengy65b
101,benjimicallef
102,bensteph
103,ben_mallia
104,bergde
105,bernardcpg
106,bernardvella
107,bernicemt92
108,bert20
109,bertonix
110,bertuskakki
111,bestchess90
112,bestekjell
113,bethnoob
114,bezzabro77
115,bigbrainchessboi33
116,bigdickjones68
117,bighugewide4
118,bigilla
119,bilelamouri
120,billpeterm
121,billy58912
122,binghas
123,birwina
124,bjornhubpremium
125,blabla3456
126,bla_kwiet
127,blingting
128,blmed
129,bluepeanut
130,bobo35277
131,boccaccio
132,boga320
133,bogdan19656
134,boninu
135,bonnazzi
136,bonwal
137,boom00701
138,borcemantev
139,borderm
140,borgov096oomik
141,borgov5887
142,borkochadik
143,boshwata
144,bpac0001
145,bplayzphone
146,bplayzz
147,bradley478
148,brain5329
149,braino_1st
150,breastisbest
151,brexiteerinmalta
152,bricabolec
153,brizo95
154,brouillard43
155,bryanakpabio
156,brycechateau
157,bsuss20
158,bubble66
159,buburon
160,buffers7
161,buffyanne
162,bugejafran
163,bunnyg3
164,bunsenburns
165,burns022
166,butcher46
167,caine25
168,caitlesnek
169,calll030
170,cam111eri
171,camilleritalloppju
172,candicebrielle
173,candymunster
174,cankieboy96
175,canon414
176,capableexit
177,cape_blanche
178,capli01
179,carfm88
180,carldebonomalta
181,carloeugenio
182,carlos1990vzla
183,carlportelli
184,carmelcuschieri
185,carmelgalea
186,carmelos7
187,carrs8
188,casha02
189,cassasc
190,catsnake
191,cb2494
192,cdal1989
193,cellul87
194,censur
195,certumek
196,chaosmaster9
197,chaoticdemon812
198,charlesthechamp
199,charliecocu
200,charliegreenboye
201,charlyfarrugia
202,checkmate_jiu_jitsu
203,cheenzo
204,chenzhenglei
205,chessboi1920
206,chessboy1953
207,chessplayer_ali
208,chesstercheesse
209,chitic_florin
210,chloe1709
211,chr1500
212,chr2che
213,chrisborg02
214,chriscassar
215,chrisgcool
216,chrism72
217,chrisp_ace
218,christaduca
219,christiandemanuele
220,christiangrech
221,christorri
222,chrisz3
223,chrizam_lk_3
224,cikka666
225,cikkubriku
226,cjgarzia
227,claudettecamilleri
228,claudia997
229,claw89
230,clayton001
231,claytoncurmi
232,claytonewton
233,cleansalado
234,clintosdebrave
235,clizpintley
236,cmb0
237,cmcg7
238,colin20
239,comar1149
240,confortablynumb
241,confusingtheaudience
242,congreve274
243,conradlaus
244,constrictor74
245,cordimech
246,cornholioxd
247,countduca
248,cpanzer
