player_index,username
0,124153s0fgafsgsdj912
1,1b1z
2,1king2love
3,3el4af
4,5cellies
5,7959008
6,a1ifu
7,a77a17
8,aaaris
9,aaishwashere
10,aamru
11,aandhu
12,aarmani
13,aathik
14,abaan968
15,abdul5468
16,abdulla50057
17,abdullahameed
18,abdullamutheeu
19,abdullaniyaz
20,abdullashifah
21,abdullazair
22,abofaiz
23,achchuthan7
24,aco2021
25,adanuka
26,adealio
27,adnali
28,afa0838
29,afcowitz
30,affan0141
31,affssall
32,afmoosa
33,afrahyzan
34,africameeha
35,afsal787
36,afzamz
37,agetemator
38,agr8hill
39,ahdh2
40,ahdhoa3637
41,ahlafkudii
42,ahmahee10
43,ahmed123e
44,ahmedabdulla119
45,ahmedanaan
46,ahmedathif274
47,ahmedfayax
48,ahmedjaisham
49,ahmedkaram1984
50,ahmedmoosa1987
51,ahmedshahman
52,ahmedsharuwaan
53,ahmedsolih
54,ahsanseno
55,aia1991
56,aikkosflames
57,ailam7
58,aishabbas
59,ajooooo
60,ajuaanhassan
61,ajuksyy
62,akeelabdulla1251
63,akif0070
64,akikf
65,akil40
66,akramrasheed
67,aktharrashaad
68,alaf6000
69,alafabdulrauf
70,alconyx
71,aleenasheed
72,algoshamaan
73,algynn
74,ali5942
75,alihamdhaan
76,alinasheed3075
77,aliraafiu
78,alishareef10
79,alisonwedgwood
80,all3mars
81,althoof
82,alu132006
83,alucard2144
84,alym7
85,amaanshameel
86,amanfayaz
87,amanullahhussain
88,amaxing345
89,ameanu
90,ameendhidhi
91,amisbaah
92,ammadey8948
93,ammadeymadey
94,amna_ahmed
95,amrabdelfattah21391
96,amrun156
97,amryn15
98,amu2009
99,amutte
100,ananasym
101,andrei9762610
102,anjum7
103,anonymousplayerr
104,anteyteyan
105,anwar888
106,aon2011
107,aphphan
108,apology_guy
109,apppe
110,apppey
111,aquauchn
112,aquiliax
113,arayern777176
114,arey5
115,arsl85
116,arthikko1109
117,arthy0
118,arushad
119,asadhh
120,asamv
121,ashhar_ali
122,ashko2172
123,asikkonaseem
124,asirumohamed
125,aslam3747
126,aslam7775
127,asnadhpo
128,aswadali01
129,aswadh6060
130,attu11
131,auf4bdulr4uf
132,auhko
133,autisminthebuilding
134,awwantey
135,awwu7th
136,axmy77
137,ayanauh
138,aymandiab122
139,ayshssm
140,ayyao23
141,ayyaposseidonu
142,azaan2428
143,azeedhonbe
144,azman1991
145,azneemahmed
146,azzamdhuni
147,baakko
148,baashashraf
149,binthi1
150,bissfarata
151,bluerook8
152,bogarufulhi
153,bosonlepton
154,boykyo
155,bugszzy
156,burevi
157,captainfusil
158,catrainbow
159,cesk560
160,chalhey12
161,chapo669
162,charaaaaa
163,chessno0b6
164,chessnoob202040
165,chessppl
166,chessscrub696
167,chockeee
168,chotey
169,ciypr9
170,combatcape90609
171,cosmonaut9000
172,creamybrick
173,creepo06
174,d0wnpour
175,d34th5t4r
176,d4dam
177,dabaru8ab
178,damandalorian
179,dami_ai
180,dampbandit
181,ddshad
182,decrypt404
183,deed7979
