player_index,username
0,1berkasparov
1,1ndianer
2,2ropes
3,abfactor
4,achakulungwa
5,adritosolkaer
6,alampampa
7,alfiephiri
8,alfredthegreatwessex
9,amateur21
10,andrewmmoyo
11,andrewwalls1985
12,andymk_berba
13,angoni
14,antonllw
15,apstroc
16,asiandy
17,astikal
18,athenathechesscub
19,aubreybuje
20,austinchiwala
21,azibo15
22,balakasunseed
23,bellz777
24,benace
25,benisajamin
26,benjah-zzle
27,bhoopathygurusamy
28,binkhebinkhe
29,blahago
30,bonemarrow265
31,bossterry
32,chancy005
33,chawezi265
34,checkmate_king48
35,chesssebba1
36,chiendausiku
37,chikhu
38,chiromomacdonald
39,collinschyse
40,coolingoak
41,cosmickknightforce
42,dabdabs
43,danielkajawo
44,danielsimkoko
45,djwise_djwise
46,dorah_lo
47,drizzoguy
48,eeeeeeewa
49,eliopinheiro
50,enparochial
51,ericbernch
52,fershu
53,fidelnyirenda
54,filipnyirenda
55,fredpite
56,funnyz870
57,furiousgolem
58,geberejackson98
59,georgebest71
60,giftnkolola81
61,gmbisa
62,grailkd
63,greeno2150
64,ibs007
65,inebakali
66,instrument-of-mercy
67,isaacsimbeye
68,ivan5329
69,i_besmiley
70,jano-p
71,jnyimba
72,johannasaraiva
73,kagwerepompo
74,kam
75,kekechiphe
76,kelmaa
77,kemphaan53
78,kingrazor33
79,kkuphanga
80,kondwanin
81,kwachabill
82,laurentrivard
83,lauriekwizombe
84,lcsfwd
85,leomhango
86,levigrahamsoko
87,logutech
88,lomynno
89,ludo2020
90,madchild43
91,malawi007
92,mamamia19
93,mandira24
94,manzey87
95,marcellojr14
96,maru619
97,mathusela
98,max4770
99,mcm124
100,mcthomu
101,mdzwanya
102,meerthepony
103,michaelalidi
104,mlend0
105,mmalumbo
106,mnm77
107,mvumbis
108,nasawatrust
109,nato-gm
110,nblack201
111,ngambi
112,nklpsb
113,nl11
114,notyourbae02
115,nthandaj
116,owen90120
117,pemron1
118,perrodrogo
119,phiricb
120,phithyo
121,photon101
122,presabo
123,prettyboidizzy
124,priyasha47
125,puludzu
126,resilient-snail
127,richie701284
128,rironhep
129,rmsowoya
130,sayalilly
131,sekaunye
132,shaikhmakbulm
133,sherif1937
134,shidoz
135,soggymountain
136,solidndao
137,sonke7
138,stanleympinganjira
139,stanshawa
140,steve-02
141,stormrx
142,tchadza
143,tchakman
144,teayer
145,tendai86
146,terencenamaona
147,thebigglock
148,thiya5
149,tithonamwera
150,tkphiri
151,travisk11
152,trickstareleven
153,trooper_12
154,tsoka2020
155,twodoorsdown
156,tyronekelly
157,urunji
158,uzzc3r
159,vincevellum
160,vinncentsajiwah
161,w79
162,ward_jacobs
163,wilawi
164,williamnyirenda
165,wilzwilz
166,witwee17
167,xpinechirwa
168,zahrak16
169,zander265
170,zgk
171,zyigh
