player_index,username
0,6ubzhacs2p
1,abdulkadircn
2,abdul_bhai
3,abelguaia
4,abeliiyasse
5,absalao4
6,adecaetanocheess
7,albanojunior10
8,aliabdallah4
9,alinepravitoria
10,amanhique
11,amarildosousa
12,amilcarkb8
13,amilner
14,amirali233
15,andretiga
16,anicetomustafa
17,anolah82
18,antonios-b
19,antoniow21
20,apurv_g2007
21,arcenioar
22,arceniodias
23,armb85
24,armenioosvaldo
25,aromoniz
26,artisticbrawler80078
27,asdf5567
28,assetmoz
29,atrasdocheeseamazing
30,augustopluis5
31,bagagam
32,bahamust
33,balaytonah
34,bebana7
35,bebe56
36,betomapanga
37,betuel97
38,bigodinh
39,blablad
40,blackfilsufff
41,blip7
42,bloody_reapers
43,brabit
44,braincreator
45,brunodiogo99
46,brunosm092
47,bruno_posso
48,bunitizzy
49,byze
50,captain-clutch
51,carlossibanda
52,castigomachava
53,caydin93
54,celsoandre
55,celso_macamo
56,ceoas
57,cguambe
58,chakra53mz
59,chamaa
60,chihale-red
61,chimene23
62,ciax9
63,cidito
64,claymmer
65,clece9
66,clemente_chess
67,clerio234
68,clesya
69,cm_perligero
70,cnhangala
71,cratorbang
72,cremildoabreu
73,crimeschool
74,cufahoracio
75,cyzer7
76,darktime188bass
77,dartingponytail
78,dauce2
79,dbestever1
80,deko44
81,denisebanze
82,deonymatimbe
83,derciodm
84,dercioo
85,didi_simbine
86,dimo701
87,dinizcr
88,dirciobeatz
89,dkbro402
90,dontiquila
91,dozzantos
92,dreamer_mz
93,dumeraz
94,duncanpotts
95,echristiancooper
96,eddthack
97,edilson6
98,edso5
99,edsondavid
100,edsonmanganhe
101,edsonmit
102,edsonnarciso1
103,edsonsumbana
104,egd04
105,egidiojr
106,elgecko92
107,elisiomascarenhas36
108,ell-sem_destino
109,eltonmocumbi
110,emanuel723
111,emilton_rtf99
112,enoquejonas
113,erickwok
114,eudetsamba
115,evansngomb
116,evtron3030
117,faustou4mb
118,fearlessbog
119,fernandojr3
120,foliche
121,fortune_anyrton
122,foxfaira
123,franciscopfrm
124,francissuqueio
125,franco_sl
126,franthecreature
127,fuhlawless
128,gabrielaevaristo
129,gagobangalala8
130,gambit0405
131,ganeshkotha5
132,gaules66
133,gerciolanga
134,germansci
135,ghazzito
136,gilberto402
137,gilbertotamele
138,gimomazibuco
139,gino002
140,gmariamacuacua
141,gm_uqueio
142,gnes20
143,gracio89
144,grand_master_sono
145,graxizow
146,grishafour
147,grobber619
148,gugumachatine19
149,gulubejr
150,habibachek
151,hamidgulamo1
152,hanifchesskiller
153,hasnaingulamo
154,hawksystem97
155,helderfaife
156,heliotsope
157,hengaz96
158,higinofumo2019
159,hilariobuque
160,hlelton
161,hmz94
162,holmesn639
163,horaciochocufa
164,horrendall2
165,htfcosta
166,hugo_sl
167,hus143
168,hytczr
169,i2p
170,iagoamdeluis
171,iamlegend92
172,ibarreto
173,ibrahimo8
174,icaro_6
175,icecivic
176,idilson22
177,igormass94
178,im4che3zya
179,isaakblack
180,isabella_umbrella
181,ismailbellal
182,ivan-anibal
183,ivanildokhau
184,ivanpowel
185,i_macuacua
186,jacinto50
187,jacob-moz
188,jacod82
189,jamesusi
190,jbbbbbbbbbbbbb
191,jesuisfragile
192,jesusmacie
193,jmvdt
194,joanna_machava
195,joaofarisse
196,jojosly
197,jokermz
198,jonibach
199,jorgelobo04
200,jose195845
201,josue_nunes0210
202,jpboane
203,jprio19
204,jseiferth
205,jubileulima
206,jubilio13
207,juju1806
208,juliochicala
209,julio_quadros
210,justinofrancisco
211,justinopale
212,kaboora
213,kalunganine
214,kaneki_kun21
215,kasparov10001
216,katinaefentakis27
217,kelvin_mz
218,kendydyaz
219,kerlacarlos123
220,key097
221,kholchess2017
222,kindlygab
223,kingdinas
224,kingericx100
225,kingkaley
226,king_killer3
227,kmkevinman77
228,knightpeter
229,konkelhumo
230,ktylutopique
231,kumikoxreina
232,labytnangi
233,larache
234,laxkevin4
235,lazarothehuman
236,leandrocuna
237,lecuanhane
238,leonelspatricio
239,liam_p
240,lindre_duarte
241,lip013
242,lizandrof
243,lmacuacua
244,lordlupo
245,loxedwick
246,lucrecio13
247,mablezifungo
248,macia
249,macneilyuss
250,macshelder
251,madibacheck
252,magicaljackal
253,mahotag
254,maibaze13
255,malaicajessica
256,man1770
257,manildonihutta
258,manurafa2
259,mapsanganhe
260,marcelobrainzz
261,marcomuge
262,marcosfurtado
263,marioartur13
264,mariobila
265,marquesmungaca
266,mascarehas
267,massbello
268,mateusraulchess
269,mateusviageiro
270,mats554
271,matuassa01
272,matussejr
273,mauro7
274,mauromagaia
275,mavon05
276,maxime3000
277,meckson08
278,medusacarlsen
279,merlin19922020
280,mhm552
281,migor2002
282,miguelfernando46
283,mikescott42
284,miketete
285,milviocone
286,mindomld
287,mmatos81
288,moz1980
289,mozmig
290,mozz79
291,mrtymn37
292,mr_chessb10
293,mr_cossa
294,mubetei
