player_index,username
0,416662
1,academie
2,adios-bonjour
3,aiescream
4,akpends
5,alanchenot
6,alcibiadepro
7,alexpiration
8,alizumo
9,anfgr
10,anthonylaunay
11,arnaudsoder
12,arnoheb
13,ayrouchessmaster
14,bancel1601
15,benabib
16,benj988
17,benjaminc1988
18,bim_bam_boom
19,bounane
20,brezhon
21,cathare1234
22,ceoxis
23,chafe_one
24,chessrbl
25,chrisledonie
26,chti21011
27,citronjone
28,cjsauvain1
29,classicguppy
30,clementcoco
31,confin_nc
32,coolomatic
33,corentinclaeys
34,crownedpenguin
35,cyrano2207
36,d3rf
37,david98800
38,ddvov
39,didierptt
40,djoch
41,dontspeakamericano
42,dorotheeb
43,doudou_nc
44,eradefiningone
45,ericsegala
46,eshelby27
47,faucon98
48,faydan
49,ffdhcbk
50,fireglow95
51,flo281184
52,flopai
53,focus_polynesian
54,francoisburellle
55,frifri430
56,frightenedbeast
57,galbriel
58,ganmor666
59,gatimelo
60,gipijo
61,gladbuddy
62,gropolo
63,guismolee
64,harringhton
65,hero-sensei
66,hiddenundercouch
67,hugo0461
68,inanismous
69,janbess
70,jasonfaufau
71,jazzyfunzy
72,jean-antoinenc
73,jeremnc
74,jfz98
75,jimfan007
76,jossnc
77,juju3180
78,k4hina
79,kayafu
80,kayano99
81,klcmin
82,krtsnot
83,kwenyi
84,kyslo
85,lanfeust007
86,legus988
87,lindsou1
88,lioenv
89,lolio78
90,lorenzodererste
91,malverd13
92,margauxdavant
93,martial1969
94,mathieuctou
95,matt668
96,mikackio
97,mistralex
98,nahtoz
99,nathanaelnc
100,nathandarjana
101,ncgolden2005
102,nco95670
103,neagokuro
104,nengone
105,new_caled0nia
106,nforge
107,nikostahiti
108,nipplesking
109,nmt42405
110,nopals687
111,notmail
112,nova_lexus
113,noxis6parux4lov
114,octopuke
115,otahnc
116,pairome
117,panda-rouxyt
118,petitpanda11
119,philrouge
120,pilou7
121,pinkhaaam
122,pppgn
123,pseudorandomname
124,raimeis9
125,renoz23
126,rhynochetos
127,rivothrill
128,rixoders03
129,roust64
130,simpleear
131,sneckice
132,soufer
133,spoteny
134,squalezk
135,stefanoruscello
136,sumtjesplajar
137,taumpaulau
138,teapijorris
139,teco988
140,th0ny0
141,thinio
142,thomasdulbecco
143,titanonico
144,titi988
145,totocmoi
146,trsdsas
147,ttnzaza
148,usual-player
149,vincismique
150,vivipi13
151,water_lock
152,weshpoto2
153,wonderingseal
154,xxnapoleonxx
155,yannickmonchy
156,zexceed29
