player_index,username
0,0iqpotato
1,1v1meincreativemode
2,200elochessplayer
3,2137jebaccistarego
4,6pera9
5,a1golagnist
6,ahul420
7,albabellugi
8,alibaba_69
9,alphablooday
10,apuchingchongdiklong
11,armenian_apple
12,artgnoob
13,artjomka234
14,assconsumer4206969
15,astridemorale
16,attrociousatchess
17,ayebalbec
18,b0n3ffs
19,bajojajo12345
20,bigbrownbeatdown
21,bigdickenergy0611
22,bigdongnibba123
23,bigmingo
24,bigppjamal
25,big_niqqa_ricardo
26,billieq
27,bixzare
28,bl00dtrail
29,chadchessplayer69
30,chickenember
31,chisizushauayhahajsj
32,chusephnom
33,cineqq
34,clappingmatt
35,clearbone
36,comlax
37,coshindachess
38,cumgambitplayer
39,cybercock2077
40,danburlan
41,dank_williams
42,deeash
43,dino4life
44,dleon3344
45,dltmojo
46,domochef
47,ebola214
48,ecang3
49,efaulkner
50,eivindeivindeivind
51,el3assba
52,ems061985
53,faddyfuggs
54,fannydestroyer69420
55,fatloser123
56,fknscrub
57,gabe_itch332000
58,gadatofe20
59,gambitkrulowej
60,gasparov57
61,gerschwin
62,godjeto97
63,grafpidorahula
64,hahayeahlol
65,harmlet
66,harry_nalgas
67,heermansjg
68,hermand_philippe
69,hjvaswani
70,honkonghanwong
71,hunterbiden69
72,iamfourteen14
73,iblunderfordays
74,ilikefatchessplayers
75,ili_t
76,imadmahmud
77,isamupl
78,javinleong
79,jesuschrist118841
80,joepdecameraman
81,just_jordan
82,kashket
83,keijk
84,khovallsky
85,kichu35
86,krystian_ronaldo
87,ksouth69
88,lebluez
89,leigh840425
90,mahamadougambit123
91,mainecoonenthusiast
92,mansapennybags
93,marcelstout
94,marcusdarkis
95,matimateuszzz
96,mauk3017
97,methbarmon
98,minsookim4
99,montescarlos
100,mrttlemonde
101,m_o_bb_y_n
102,n1khin_mercv
103,nerf9869
104,nigerian-peon
105,nikkerson
106,nikolay1262
107,niqqakilla69
108,nkyyjththti
109,omega_gambit_only
110,omidali17
111,oneeighthsblack
112,onthetoiletsharting
113,opie0p
114,orbiter8
115,pawelqq1
116,peippo
117,picklerick9799
118,pigmanminecraft2013
119,polarbeardood
120,poraaja2
121,priatel2010
122,priceycandle
123,prolege123
124,qpqpqpqpqpqpqpq894
125,radathedeep
126,ricflairwoooo
127,rigo515
128,rolledupnewspapers
129,rookb2
130,rzhannikovg
131,rzygorzut
132,sagaikozak
133,sassycelery
134,scotfy
135,semdeman
136,simantz
137,sk_25thjan
138,snakeeymagnus
139,symantas
140,szacher_majcher
141,szpeedy03
142,takk070
143,teddy718
144,thatbull007
145,thatsgooofy
146,thelceburger
147,thequeen_is_innocent
148,thijs450
149,tinkywinkygaming
150,tinycawkhenry
151,tjalleleeflang
152,tox_toxwp1234
153,trashirl
154,tsm_beaul0
155,tugelek
156,tyuopo
157,usedcrowd
158,vandope
159,vniger
160,voltaren164
161,warlord-hoyabembe
162,winrar6969
163,wkmouosrqeyfwxwgfq
164,xn_bloodrail
165,zakariyahussein
166,zendzudes
