player_index,username
0,0-1-2
1,010011000111
2,01flame
3,0ahxmad0
4,10tackles
5,11kelvin11
6,11sage11
7,12345chimaobi
8,12yearoldchamp
9,13th_prince
10,1adonis
11,1bigc
12,1ceboss
13,1chidi
14,1fabs
15,1hausah
16,1maikarfi
17,1milligrandmaster
18,1nclestum
19,1st_sky
20,1vvictor
21,20bem20
22,23ktee
23,26thgod
24,2chublinkz
25,2kee
26,2love
27,2ngee
28,2uung
29,3ple
30,3rdofself
31,45kid
32,4chuneee
33,4him24
34,4pumping
35,4scube
36,50billion
37,5andalphon
38,5starcheck
39,6lackhand
40,6lukeyboy9
41,7thtiga
42,83m
43,88hh00
44,8phrey
45,921285ibro
46,96dreamz
47,9amani
48,9iyaz1
49,9jabot
50,9jaking
51,9jaknight
52,9jaoracle
53,9jawarrior
54,9n9oluwa
55,9nightmare94
56,9reciouss
57,9yndo
58,a-bunny
59,aa4444
60,aakins
61,aarde1
62,aareonakakanfo9
63,aaronadeola112
64,aaronissa
65,aaronkazah
66,aashraf1
67,aaze1
68,abadluti
69,abanumspencer
70,abayomi007
71,abayomiapellesdairo
72,abayomioluyomi
73,abbaice
74,abbakyari
75,abbashaneef
76,abbashdj
77,abbastemi
78,abbatiii
79,abbazanna
80,abby2427
81,abdallahme
82,abdex05
83,abdool2
84,abdooljae
85,abdoulreheems
86,abdqadr
87,abductormaximus
88,abdulateefmuhammad
89,abdulazeezsadiq
90,abdulbasitbello
91,abdulbxt
92,abdulfataiayodeji
93,abdulkadirbakari
94,abdulkarim1
95,abdul_099
96,abdur-rahman1
97,abdyaro
98,abe2422
99,abels1
100,abibeo
101,abimbolaadegun
102,abiodun00
103,abiola8
104,abiolaolawole
105,abiye4king
106,abiyenelly
107,ablecarbenz
108,ablemax
109,abnasifa1
110,abnasifa405
111,abojiri
112,aboukarl
113,aboulhaqeeqah
114,abp_d_finisher
115,abrahamicc
116,absalame
117,abubakar1026
118,abubakr212
119,abuja1
120,abumohammed74
121,abumonye
122,aburoyyan
123,abuuks
124,abu_phadila
125,abu_shanaz
126,aby2021
127,abzalbek89
128,ace1da
129,acekyd8
130,acephysiox
131,achharrison
132,achie_7
133,achilles15
134,achillesheelz
135,achykes
136,ackel
137,activeyouth355
138,act_tegs
139,ad-lilwiz
