player_index,username
0,00-7
1,0001010111
2,007bondjamesbond
3,007ej
4,007inge
5,007magnes
6,00881155
7,00nicolai4
8,00olro
9,00qwerty
10,0161manny
11,017flyndre087
12,01av
13,01_oslo
14,03karl
15,03sveintore
16,04havard
17,05bajs
18,05jeshae
19,05thgund
20,0606gante
21,0607adbjb43
22,06lude
23,0808nitsirk
24,0909039330
25,091barson
26,09sigfos
27,0bab0
28,0ctrl
29,0ead0
30,0hjay
31,0hootsson
32,0key59
33,0lav
34,0le2000
35,0lemorten
36,0mikron
37,0mricon
38,0peoplelikethis
39,0polop
40,0rake1
41,0scott
42,0substans
43,0u81
44,0xyz1
45,0ysteinkarlsen
46,1000questionmark
47,1007streel
48,100948
49,100960
50,100trim
51,102nobelium
52,10atvi
53,10eibar
54,10jensen
55,10kflovi
56,10nj
57,10sms
58,10tati
59,11emi
60,11mabro
61,11rum
62,11sewig
63,11sitor
64,11vold
65,12056
66,12081017
67,1212agag
68,123223123w
69,123456o55
70,1234futt
71,1234rash
72,1234sjakk
73,123abcv
74,123andreas
75,123bambi
76,123bennio
77,123chekm8
78,123doffen
79,123greven
80,123lbj
81,123markmark
82,123meols
83,123stian
84,12akla
85,12invictus
86,12mct34
87,12nord
88,1312overalt
89,1337ago
90,1337khesser
91,1337sniper
92,139lunvic
93,13feanor
94,13hansen
95,13ig
96,1400delas
97,140504
98,14jesper1
99,150pri
100,15b76
101,15zero50
102,16bendix16
103,16carlsen17
104,175swipe
105,17seducer
106,181255
107,187cm85kg24cm
108,1970morten
109,1971lars
110,1982saken
111,1990kaag
112,1995lawchr
113,19hegle69
114,19kaaret
115,19morten69
116,19pfeiffer40
117,19ted69
118,1a2d6
119,1aros
120,1batlantis
121,1bille
122,1bjornsandberg
123,1clem1
124,1e4isablunder
125,1eivind_berge1
126,1flavortbag
127,1goodwin
128,1gs1
129,1hansen1
130,1harald
131,1iam
132,1inchinyamom
133,1kingofspades
134,1maoam1
135,1ngrrr
136,1ouvre
137,1overpi
138,1smolof
139,1stlogic
140,1suther
141,1svante
142,1veum
143,1yopv
144,1zimmy1
145,2000diamondman
146,2010nima
147,20boje21
148,20inski04
149,20knut20
150,2112steinar
151,21matste01
152,2208164
153,22jonbli01
154,22kristian22
155,24nor24
156,25sander1510
157,267gunge
158,26corlun01
159,26y4u
160,270zz77
161,2899jarle
162,28steonchess
163,294856
164,2ao
165,2bbamusic
166,2beast4you
167,2biasen
168,2bra
169,2c4s_cato
170,2cv71
171,2deks
172,2ft
173,2good4youm84
174,2kyo
175,2late4work
176,2mas00
177,2mas123
178,2mas8
179,2mazzz
180,2mika
181,2nyoz
182,2rer
183,2rgeir
184,2rleif
185,2sjei
186,2stb
187,2taarn
188,2tales
189,2timest
190,2toky2
191,2tom4
192,3-1415926535
193,3053
194,313ma
195,314g
196,31nar
197,31r1k
198,32gbramgamer
199,3465
200,3692mowinckel
201,370z2jz
202,38537134
203,3aceli
204,3daling
205,3hunnaalex
206,3irik3
207,3iriko
208,3l4ck_je5us
209,3lthe
210,3m1l
211,3rik4mundsen
212,3sp3n
213,3srael
214,3vn
215,41497873
216,41honka
217,42f8727265
218,42leinad
219,45ereid
220,45vsmc
221,46chess
222,4745555638
223,49weaselram
224,4everlfc
225,4hmee
226,4ndy
227,4pucifer
228,4r7ur07
229,4ti5
230,4tle1
231,4tplayz
232,4vn1980
233,4xm4d
234,5047fana
235,50cmbiceps
236,50kent
237,50kr
238,51larsto
239,52karsten
240,5555566333
241,5594
242,55og12
243,58degreesnorth
244,58jor58
245,59haugen
246,59sound59
247,5an0j
248,5andhill
249,5en1x
250,5holmis
251,5kenadams
252,5lm
253,5mackmybishop
254,5martpant
255,5tix
256,5tuck
257,619ex
258,64oddarne
259,6610426
260,666hellhog
261,666motorhead666
262,68rune68
263,69chungus420
264,69frickchess69
265,69horsepower
266,69thdango
267,69xefz
268,6eir
269,6jikjik6
270,6rs
271,6up2
272,708rem
273,70hanne
274,70quasimodo
275,7412
276,74nikols
277,755eysp
278,775533
279,777jazz777
280,77g_martin
281,78hddy
282,790lbe
283,7fersken1eple
284,7fjell
285,7rkos
286,7rolai
287,7rsp
288,7smash9
289,7st4r
290,80114
291,83mb
292,83up
293,846627
294,84sunshine
295,8611maba
296,868tafs
297,86telneset
298,888nick888
299,88mats
300,890bobbeamon
301,8939064787
302,8akk3
303,8ballnorway
304,8bitmartin
305,8exilance
306,8grand
307,8iris
308,8jonsjakk8
309,8odzio8
310,8stian8
311,91vm
312,9367010
313,93erlend
314,944s2
315,95alfjorgen
316,95kevin
317,96inbl
318,96svimen
319,975nils
320,97bratteli
321,98johannes
322,9999rosie
323,99loose
324,9brottumjoachim
325,9c0o0
326,9coolai
327,9dennis6
328,9dot19mm
329,9firmino
330,9ggascapper
331,9inchchessplayer69
332,9jonas0
333,9kive
334,9ls19
335,9lsm
336,9mirgrot99
337,a-butte
338,a-cool
339,a-gunz
340,a-holmseth
341,a-nylund
342,a-p-m-s
343,a-paulsb
344,a-shukla
345,a-zacksharif
346,a114u
347,a1b0505
348,a1zem
349,a20202020
350,a2aproductions
351,a2blank
352,a4713
353,a4b_77
354,a4paperu
355,a9tas
356,aaaaaaaaaaaahh
357,aaaaaaaarhhh
358,aaadne
359,aaadra
360,aaajeh
361,aaarstad
362,aaarstad10
363,aaawll
364,aabang
365,aabbccddef
366,aabel86
367,aaby97
368,aadalz
369,aadne009
370,aadnemo
371,aadnis
372,aaeriksen
373,aage1401
374,aage65
375,aagejustin
376,aaggee
377,aahaus
378,aahekl
379,aaingvaldsen
380,aakerlund
381,aakernes97
382,aalanden
383,aaldebu
384,aalekshan
385,aalfsen
386,aalien3
387,aalohne
388,aalyngby
389,aamelon
390,aamerharata
391,aamotosan
392,aanesand
393,aanjers
394,aannerud112
395,aanonym
396,aanorvald
397,aarav365
398,aaredus
399,aarenasz
400,aarli
401,aarlottmats
402,aaron9909090
403,aaronhugo
404,aarris92
405,aars69
406,aarseth777
407,aarseth97
408,aarskogt
409,aarsteinsen
410,aarsvold
411,aaryningen
412,aas1
413,aasaknert
414,aase27
415,aasebo02
416,aaseerik
417,aasel1
418,aasen1992
419,aasenknut
420,aasensen
421,aaseral
422,aasern07
423,aasgeir
424,aasgubben
425,aashild76
426,aashol
427,aashukla
428,aaskop
429,aaslak
430,aasman
431,aasmmykl
432,aasmund03
433,aasmund95
434,aasmundholvik
435,aasmundhp1
436,aasmundhveding
437,aasmundjh
438,aasmundscheie
439,aasmund_03
440,aaspaasen
441,aassaadd11
442,aastadkongen
443,aasvald
444,aasvpe
445,aathavancarlsen
446,aatjernsli
447,aattmar
448,aaune
449,aaunej
450,aavla
451,aazanch
452,ab-tos
453,ab1881
454,ababobi
455,abacadabra
456,abadchessplayer824
457,abadi112
458,abaustad
459,abbady13
460,abbasdadboud
461,abbas_mhr
462,abbejoel
463,abbulf
464,abc1234567890ac
465,abcfsk
466,abdel12333
467,abdel7480
468,abdgun
469,abdi123499
470,abdibile
471,abdijama
472,abdikadirmohamed41
473,abdilatif111
474,abdillaziz
475,abdirashidetn
476,abdisongs
477,abdoallahahmad
478,abdosomething
479,abdual9540
480,abdulla6148
481,abdulladiyar82
482,abdullahigeelle
483,abdullahisahal
484,abdullahiyusuf
485,abdullahrajaa98
486,abdullahsultan97
487,abdulrt
488,abdumostafa96
489,abdurrahmanylmaz
490,abeauggo
491,abedins
492,abedulla2k2
493,abegatt
494,abekatt
495,abel968
496,abelhaug
497,abelmann
498,abelsen
499,abeltatek420
500,abelz1
501,aberg007
502,abezor
503,abhariginal
504,abhi1thakur
505,abilaash777
506,abild
507,abildsoe
508,abishoppear
509,abjaerum
510,abjornsund
511,abjorshol
512,ablabh
513,ableaxolotl
514,abm30
515,abmiram
516,abnol
517,abo00ziad
518,abodi64
519,abodtger
520,about_time
521,aboynamedgoo
522,aboywithnoname
523,abracus5
524,abrahamdka
525,abrasjefen
526,abratt
527,abratz
528,abredli
529,abrevig
530,abrrad
531,absalonsson
532,absenthat
533,absolacrity
534,absolutatle
535,absolutegorilla
536,absoluttmagnus
537,abstraction4
538,abtorkildsen
539,abu-maria
540,abu1977
541,abujazar
542,abul048
543,abumehdialmohandis
544,abuosaid
545,abuserbannist
546,abuthalj
547,abu_tyven_fra_bagdad
548,abv2008
549,ac49bq
550,acamiba
551,acces5
552,ace4790
553,acepen
554,acestre
555,acesuperset
556,acesyounited
557,ace_oskar
558,ace_ventura5
559,achanthurus
560,achieva
561,acidtar
562,ackoo1
563,acm5513
564,acnorheim
565,acolle
566,acomicsoul
567,acommonprocyonidae
568,acontra
569,acorus
570,acromion68
571,actionadventure
572,actionman82
573,actionmanjr
574,actionn
575,activeclimber98
576,activematx
577,adacg
578,adakirkvold
579,adam11121
580,adam1234567891022288
581,adam333-1
582,adam46511146
583,adam7364
584,adambergersorensen
585,adamcheck
586,adamczbr
587,adamen05
588,adamerentaper
589,adamersuperkul
590,adamhaben11
591,adamhomofil
592,adamhrabi
593,adamhuseynov
594,adampurell
595,adamsagedahl
596,adamsanmiguel
597,adamselvik
598,adamsky0
599,adamsky2
600,adamsmith1337
601,adamtenvik
602,adamthepawnstar
603,adamthepenetrator
604,adamtwnvik
605,adamwolland
606,adarsjakk
607,adasal
608,adaw1
609,addictno1
610,addict_l
611,addigbro
612,addiiss
613,addisabebas
614,addison117
615,addivf
616,addytho
617,adeelarifbhatti
618,adefis
619,adelante84
620,adelecarlsen
621,adeleide
622,adele_caroline
623,adelhag
624,ademoadem
625,adfje
626,adhd5516
627,adi-padi
628,adi270200
629,adieuann
630,adiiiz
631,adinax3
632,adir12345678
633,adi_koman
634,adjin
635,adjup
636,adjupvik
637,adlmuthu
638,admerali
639,admiralv
640,admiralvonschnei
641,admu95
642,adnajam
643,adneaasen
644,adneandersen
645,adnehm
646,adneja
647,adnesterten
648,adnil69
649,adnoy2
650,ado08
651,ado9123
652,adolfen
653,adolfsen93
654,adomis
655,adorene1
656,adorex
657,adovervik
658,adr332
659,adr3nix
660,adrage
661,adrant1
662,adri1512
663,adrian-rw
664,adrian120103
665,adrian1401
666,adrian160505
667,adrian1717
668,adrian280905
669,adrian2k2k
670,adrian98213
671,adrian99er
672,adrian99p
673,adrianaakre5382
674,adrianabrahamsen
675,adrianandersen3
676,adrianbacksther
677,adrianbasing
678,adrianchess178
679,adrianchess94
680,adriandice
681,adrianegan4
682,adrianemil69
683,adrianengen
684,adrianf343
685,adrianfagerheim
686,adrianfarahani
687,adrianflote
688,adrianfolkestad
689,adriangoa
690,adriangonczi
691,adrianhaugane
692,adrianhe99
693,adrianheggelund
694,adriankk
695,adriankm95
696,adriankukk
697,adriankungen
698,adrianll
699,adrianmannen
700,adrianmataleone
701,adrianmint
702,adriannolsen
703,adrianottemo
704,adrianpotet
705,adrianprent
706,adrianrevdal
707,adrianrindal
708,adrianrng
709,adriansangolt
710,adriansf
711,adriansimensen
712,adriansk02
713,adriansol02
714,adriansunde7
715,adrianthe1
716,adriantorsk
717,adrianu93
718,adrianwastaken
719,adrianwgaard
720,adrianwinters
721,adrian_hansen
722,adriboi
723,adribruh
724,adrilen
725,adro88
726,adrohil
727,adronen
728,adrtof
729,adrwi
730,adseb123
731,adudenamedtommy
732,adumbrate
733,adundas
734,aduo
735,advancedplayermfg4
736,advancedsnail96
737,adventitiousking
738,adwaii
739,adyan321
740,adyu1
741,adzulu
742,aebergset
743,aediaz1
744,aeees
745,aefbbb
746,aegirg
747,aehenjum
748,aehsoitgoes
749,aekker
750,aekvale
751,aelis19
752,aen065
753,aen87
754,aesculap
755,aesolheim
756,aestenstad
757,aeve
758,aever
759,afardal
760,affa23
761,affepus
762,affern73
763,affifaen
764,afghanistan12345
765,afgnor
766,afiksdal
767,afjellvang0
768,afm06
769,afnencho
770,afo020
771,afonso_pf
772,afossm
773,afottland
774,afraidpot
775,afriest
776,afrimb7
777,afroberts
778,afroboys73
779,afroe89
780,afronordman
781,afrotupe
782,afsaft1
783,afvtne
784,afzaley
785,ag1959
786,ag1965
787,ag85892
788,agakadabta
789,agallefoss
790,agalliassis
791,agatonchess
792,agatonsax
793,agd3
794,agdesteinen
795,agejohan
796,agenbarker
797,agentnils1
798,ageopstad
799,agethor
800,agffey
801,aggadeer
802,aggborg
803,agggaa
804,aggressiveheel
805,aggressiverhino
806,aggrivas
807,agh71
808,agharries
809,agip71
810,agjeld
811,agjertsen
812,agnardahl
813,agnes1317
814,agnesstranger
815,agnethe99
816,agni02
817,agnusmarlsen
818,agrandet
819,agreendwarf
820,agressivjensen
821,agrimmgambit
822,agrippa09
823,agrir9
824,agro66
825,agrobonde
826,agrodon
827,agron15
828,agskaali
829,aguel0
830,aguerant18
831,agufi
832,agula
833,agurk1
