player_index,username
0,022lucifer
1,0highlander0
2,0xatul
3,0xyzone
4,1011101110
5,12345samir1
6,1234dhungana
7,123aamit
8,123br
9,123pon
10,123vis
11,1alphaace1
12,1ches22
13,1daverob1
14,1omeet
15,1rna
16,25aashir
17,2cute4you2try
18,2royalknights
19,321chandra
20,3h3110w0r1d
21,4pmixse
22,4r34r34ewd
23,4shminb
24,4sur4
25,4ure
26,58cerium
27,66piyush99
28,77loki
29,7banana7
30,82o
31,9819942747
32,9841245477
33,9851266999
34,9851283884om
35,987rain
36,a-k-n
37,a2yushma
38,a3hhh
39,a5p6
40,a786player
41,aaaaaaaaaaaaaaaaaa61
42,aaashishhhhhh
43,aabishkarabr
44,aabishkaryal
45,aacss
46,aadarsh10
47,aadarsha2056
48,aadarshh04
49,aadesh1230
50,aadirimal
51,aadityaaryal4
52,aadityadon56
53,aadityakhadka
54,aaditya_chaudhary
55,aafno_pan
56,aagab
57,aagavraj
58,aagitoex
59,aagyatp
60,aakashdhakal
61,aakashdignityass
62,aakashimproving
63,aakashthapa
64,aakassa
65,aakrit1724
66,aak_pho3n1x
67,aamodpaudel
68,aanamolshrestha
69,aanandmishra
70,aaradkc
71,aarav171
72,aaravtimsina
73,aaraymon
74,aarghyan
75,aarjantiwari
76,aarjey23
77,aaronhunter1345
78,aarop87
79,aarusharyal
80,aaryabrat
81,aaryashshakya
82,aash38
83,aashish776
84,aashisham
85,aashishapril
86,aashishkhadkasurkhet
87,aashishraii
88,aashisr
89,aashmaupreti
90,aashujha154
91,aashutosh99
92,aashwini9
93,aasifmdr09
94,aasiszgautam
95,aastha50
96,aaswarna
97,aavaemilie
98,aavashbaral
99,aavashraut
100,aavashsilwal
101,aavash_dhakal
102,aavishkar14
103,aayambhattarai
104,aayamshrestha555
105,aayudha123
106,aayush017
107,aayush2363
108,aayush3421
109,aayush42
110,aayush69420
111,aayusha1234
112,aayushbista70
113,aayushgautam17
114,aayushkhanallll
115,aayushniraula
116,aayushplays
117,aayushrana4875
118,aayush_sth
119,abbal
120,abesh
121,abhayrahul
122,abhiaashish
123,abhigya255
124,abhijoshi555
125,abhilekh8
126,abhilovedevkota
127,abhimanyu981002988
128,abhinandanchauhan390
129,abhinav10
130,abhinav49
131,abhinav870
132,abhinavsilwal1
133,abhinavtuladhar
134,abhiscr7
135,abhishakked
136,abhishek264
137,abhishekkadariya1
138,abhishekshrestha420
139,abhishekshrestha7777
140,abhishektibrewal2004
141,abhispk6
142,abhizer
143,abiinkhadka
144,abinas5
145,abinash5
146,abinashshrestha02
147,abinav_m
148,abinratna
149,abintuladhar
150,abiral44
151,abiralaryal
152,abishek378
153,abishek5555
154,abishekshawn
155,abishkafle
156,abishrestha
157,abnishshrestha
158,absorbapple
159,ace334
160,acesmndr
161,acharya1200
162,acharyaashish
163,acharyarishav
164,acharyasadikshya
165,achji
166,achutkhatiwada
167,achyutchalise
168,acnologia7
169,actualcabin
170,adarsha-4
171,adarsha1426
172,adarsha45
173,adarsh_s_shrestha311
174,adds08
175,adesdahal
176,adhikari123
177,adishshakya
178,aditya6014
179,adityabajra
180,adityathebe
181,aditya_bhurtel
182,aditya_jhahaha
183,afaceofktm
184,afficionado16
185,afloatgamer
186,afraidant
187,agarwalniket
188,agent977
189,agentbanana001
190,agoraphobic2
191,agron633
192,aheadpark
193,aidang420
194,aimstar_9
195,air1king
196,aizenn7880
197,ajachess1
198,ajalshrest
199,ajay627
200,ajay922
201,ajaya10
202,ajaybanst
203,ajaymshr
204,ajaythapa36
205,ajitmaharjan
206,ajk2045
207,ajmh
208,ajnavee
209,ajpunk
210,ajshres
211,ajssrn
212,ajumrzn
213,ak14stha
214,ak4787
215,akar97
216,akash800
217,akashpoudel
218,akchess111
219,aken40
220,akfirez
221,akgamer23
222,akhanda3
223,akjsndkjasndkjasn89
224,akki0987667899
225,aklama1
226,akshajthapa
227,akshaygupta28
228,alanthapa
229,alcrist
230,ale-rhoit123
231,aleenkc
