player_index,username
0,8r15a
1,abenotte
2,achillestwelve
3,alexstar0
4,aleyksy
5,aljechin13
6,amanito
7,aquaticarchie
8,bohen666
9,bunny_guy
10,c4671
11,cayde4
12,ceebs127
13,chesscake46
14,compengin_e
15,cr0mag
16,dangleibitz
17,danitrov8
18,dara-shikoh
19,djoter24
20,elgambitador
21,f1reeaccount
22,frequanc
23,gasparoid
24,griffithjeager
25,gufoloscaccolato
26,habb3r
27,halford74
28,henryckgorecki
29,hgfv2824
30,hisdogschristy
31,jamiekenmure
32,jemand-hallo
33,karo12345678
34,kingston1978
35,koipond2000
36,konrad161
37,l3iska
38,mastiffs91
39,maxclt
40,maxkemenos
41,mista32
42,mooluv
43,myulani
44,neoplasma24
45,nicolas_flamel
46,nimzo_indian
47,ninevehado
48,paurwsa
49,prepareiidie
50,puffenduec
51,ragnalothbrok
52,raimondsj
53,rainw0rld
54,redrum7777
55,republic_of_abkhazia
56,rookatdeeznuts
57,rs6andak47
58,samialik
59,samloh
60,sermatr
61,sneezingdino
62,textexx
63,theking0111
64,tinker-bell
65,tutitutatitu
66,uih7i9kokokuohjuj
67,vanatush
68,vect0rs
69,wang14
