player_index,username
0,-_chess_-
1,0-orca-0
2,001eagle
3,00alex
4,00higgins
5,00stormtrooper00
6,00_cain_00
7,01jon
8,0hdang
9,0liverg-g
10,0livermarsh
11,0sahar0
12,0uk
13,0yak
14,10blunders
15,10iqmaster
16,10millfirefly
17,11cameron11
18,11four
19,11quec11
20,11wayne11
21,1234567xujf
22,123craig
23,123wangking123
24,123wes123
25,12emilija
26,135727
27,137morty
28,13lood600
29,14tim4
30,15180
31,154mike
32,16aug98
33,17wrathsucksatchess
34,19264
35,1954markysparky
36,1968kiwi
37,1970ds
38,1alevi1
39,1bananaskiwi
40,1chessy
41,1chip1putt
42,1conductor
43,1da968
44,1gun13
45,1ix
46,1millionfrogs
47,1monkeyman
48,1nfuse
49,1qualunque
50,1stbass
51,1_lokidog_1
52,20yoboomer
53,228aknow
54,22murphy22
55,22_tobias_22
56,24beanie
57,24o
58,273james
59,29_4m1dabl_cam92
60,2balkan
61,2dimer
62,2eagle777
63,2edgedswordn8
64,2extreme01
65,2inchpunish3r
66,2mpacted
67,2newfish
68,2shedds
69,2taeroen
70,2taraj4
71,31_33
72,321nomekop
73,32fantail
74,33andrewhooper33
75,3deuce32
76,3ru3draith
77,3sperer
78,3y0b
79,42069blazeit420
80,420ruby
81,42td
82,44_turner_44
83,4563897
84,4ever11
85,4josh12
86,500kenzz
87,50daleeha
88,511shbowl
89,5acd419efb4f6ce6424c
90,5headplayers
91,5knuckles
92,5okudo
93,5pac3w0lf
94,60iq
95,64genius
96,6655e21
97,69cully69
98,69funnyman69
99,69kneegrows
100,6ates
101,6atra9g
102,6linklater6
103,70spawn
104,71mel
105,726aw2
106,7fleshfork
107,7ha7guy
108,7lbee
109,7ymaster7
110,7ypo
111,7_adolescent
112,808fakestate
113,818youtube
114,845691
115,862killa
116,888pbm
117,88dobbsy88
118,89gibby
119,8cwood
120,8mw007
121,90mile
122,925monday
123,96mesty
124,999dement
125,99pdx
126,9blank6
127,a-red-head
128,a-z-a-r
129,a0945
130,a1rsen3
131,a2869
132,a2rie
133,a340-400
134,a7c7
135,aaaansi
136,aadritshetty
137,aadxtha
138,aainac
139,aakashprasad17
140,aakdlive
141,aalaxer14
142,aalsee755
143,aap394
144,aardvark29
145,aarki
146,aaron0112
147,aaroncozens
148,aaronkingi
149,aaronradical
150,aaronsmith69
151,aaron_atomised
152,aartee
153,aarya922
154,aaryan_anup
155,aaxx_n
156,aaya001
157,ab105
158,abadabba
159,abandonmentissues
160,abanhawkins
161,abbawellington
162,abbow
163,abbsrock
164,abbysp8
165,abbyy8
166,abc123singwithme
167,abc910
168,abcd1223
169,abcd1238394
170,abcdefg20202020
171,abceden
172,abcfornow
173,abchess77
174,abdulrahmanaaa
175,abeatson
176,abellioo
177,abentj
178,abey50
179,abhayjitsingh
180,abhi1233214
181,abhijeet189
182,abhishek8394
183,abi5439
184,abkwatson
185,abnormalfiddle
186,abolizer
187,abrahanovic
188,abseiler
189,absolumgotthatheat
190,absolutebeginner54
191,absoluteboyo
192,abstractkk
193,absurdgoose
194,absurdisms
195,abyssmoneky
196,ac1289
197,acarlonvsn
198,ace0838
199,acec2006
200,acedymonds
201,acenb
202,achchampions
203,achievementz
204,acinonyxnz
205,aclarke17
206,acleanerfromvenus
207,acodata
208,acqnz
209,acrofhitkrer
210,actionman123
211,activate_nipples
212,activetomaash
213,actor07
214,ad17162
215,adam5081
216,adam7257
217,adamadventure
218,adamaged69
219,adambai
220,adambum
221,adamche55
222,adamcyc
223,adamfever
224,adamflorens
225,adamhartnett16
226,adamhasan-steinwsc
227,adamhuo
228,adamhyndman
229,adamjackson00
230,adamjdmac
231,adamjrob
232,adamkahan8
233,adamlapsley
234,adammactavish
235,adamovici
236,adamradzuan
237,adamtoots
238,ada_shanley
239,addles04
240,adequatelemon
241,adfectus
242,adii00
243,adimon_nolmds
244,adityajoshi25
245,adlercong
246,admiralaxolotl
247,admiralevan
248,ado2k
249,adodadoc
250,adonissnow-pere
251,adriaanstroes
252,adrian03hc
253,adrianionescu1
254,adrianr07
255,adrianseconi
256,adrienintro
257,adsventures
258,adub20018
259,advencherboy
260,aebroe
261,aecin
262,aelsawaf
263,aemer
264,aerobat
265,aetherflood
266,aeveon
267,afiquemohamed
268,afkat
269,afkbrain
270,afoekadoe
271,africanbeatboxer
272,afrotwd
273,agapwedge
274,agchulme
275,age0892
276,agentitty
277,agentxiri
278,aggressiveopenings
279,aggromancer
280,agingprince
281,agjt
282,agondahsyla
283,agspin
284,agw1982
285,ah16
286,aharlow1
287,ahmccain
288,ahmed_hassan
289,ahmeseighdohs
290,ahmo33
291,ahsoojin
292,aic4129
293,aidanchess990
294,aikeneliu
295,aim2099
296,ainselmay
297,airjashari
298,aisadeewana
299,aiseataliai
300,ait27ru
301,ajarcontest
302,ajaxx54
303,ajaychauhan1986
304,ajay_amber
305,ajleaupepe
306,ajlucic
307,ajoxford125
308,ajrstrickland
309,ajsain
310,ajthed
311,ajww
312,ak47lethal
313,ak5255
314,akahata92
315,akamaraa
316,akanzye
317,akhd
318,akhileshc93
319,aki22403
320,akitotp
321,aklguy
322,akolyte1234
323,akonedad
324,akorthus
325,akshelter
326,akstewart
327,akubelummandi
328,akuhatak
329,akuner
330,akuzminov
331,alacer
332,alacrityjones
333,aladin_nz
334,aladour
335,alanleuluai
336,alanlin
337,alanlzchess
338,alanoh
339,alanzhang123456
340,alan_stanley
341,alastair07
342,albaiscool
343,albell22
344,albert-leeratima
345,albertus77
346,albertventer
347,albinokiwi1
348,alby274
349,alcannan
350,alchemst
351,aldenmaiyor
352,aldrichrasco
353,aleeek123
354,alekhinesgambit
355,alekiwi
356,aleksanderkonnerup
357,alephnaught
358,alervin
359,alesh_nov
360,alessandrodegoldi
361,aleurus42
362,alevroal
363,alex5413
364,alex6702
365,alexanderbevin
366,alexandergandar
367,alexanderiiird
368,alexanderparry
369,alexandersalomon12
370,alexandersun
371,alexanderwoolrych
372,alexandrajordan
373,alexandrexg
374,alexa_116
375,alexbeluga
376,alexcando
377,alexcassidy
378,alexejelliott
379,alexfranz46
380,alexgray83
381,alexhokianga
382,alexia99999
383,alexisawizard
384,alexisha
385,alexking737
386,alexl111
387,alexleafman
388,alexmacdonald32
389,alexmcblase
390,alexmoore878
391,alexpfeffer444
392,alexreed11
393,alexsherbin
394,alexstiles7869
395,alextrav
396,alexx660
397,alexyates104
398,alex_prometh
399,alex_tver
400,alfcabnz
401,alfereti
402,alfieeatscats
403,alfiesimon
404,alfo92
405,alfyn
406,algernon5172
407,ali3nz57
408,aliatapalusa
409,alicemaguire
410,alien0410
411,alien1315
412,alienbrains
413,aligot49
414,alis74ir
415,alisonxccc
416,alistairpo
417,aljoanand
418,alkahzai
419,alkamist11
420,alkirk
421,all-cutscenes
422,allantroy1973
423,allants
424,allerwert
425,alliebabely
426,allroh
427,allycoup
428,allywickham2
429,all_blacks
430,almightysmudge
431,alm_44
432,aln276
433,alobar74
434,alonewer
435,aloobaingan
436,aloy88
437,alp2905
438,alpha-zebra
439,alpha1nz
440,alphalete
441,alpine300
442,alp_pachino
443,alta
444,altbomber
445,alternativeax
446,altf45505
447,altho25
448,altichess
449,alttrint
450,aluluy
451,alundracloud
452,alvin3004
453,alvinrkumar
454,alwaysblowthepie
455,alwayssukh
456,alwhitz21
457,alwinviv
458,alwynp
459,alybee154
460,amaan1603
461,amaanmerchant
462,amanjot101
463,amar90210
464,amardeep7
465,amaruyates
466,amazaldypenaranda
467,amazingatchess146
468,amcwaml
469,amdaws
470,ameture50
471,ameyapatki8
472,ameyzingyt2006
473,amilliken09
474,amilnerwhite
475,amin6318
476,amirjob
477,amitanthwal
478,amitbasr
479,amitchessmate
480,amitkanyan
481,ammmmbi
482,ammorphis
483,amolsing123
484,amonkeysuncle
485,amonmcroberts
486,amowl
487,amoxl
488,amperial
489,amphorix
490,ampullaofvater
491,amrit006
492,amritdatts
493,amullin002
494,amxelcbis
495,amyk02
496,amy_ning
497,amzo2
498,am_nz
499,anaalison
500,anaisha_priyu
501,anakuoch
502,anaminal
503,anarchist911
504,anarunz
505,anatabitha
506,ancientfeast
507,andalution
508,anderslivv
509,andersonmcintosh
510,andiezero
511,andiviv
512,andoras
513,andples
514,andreagia
515,andreazog
516,andreclaassen
517,andrehamman2
518,andrei813
519,andreicoman55
520,andreicre
521,andreifedotov
522,andreitop
523,andremacleod
524,andreshine
525,andret07
526,andrew-simpson
527,andrew60061234567890
528,andrewauimatagi
529,andrewg707
530,andrewk0204
531,andrewlilo
532,andrewmhoops
533,andrewmischefski
534,andrewnz09
535,andrewrakich
536,andrewthegreat5
537,andrewwilliamjames
538,andrew_mc
539,andrew_mulder
540,andrew_tan_wsc
541,andreyamin
542,andriesmolijn
543,andriy1999
544,android72
545,androvich31
546,andy0800
547,andy1566
548,andy2809
549,andy5555555
550,andyiphone1357
551,andyjon3
552,andymoo00
553,andynguyen114
554,andyp2010
555,andypantz89
556,andyppp96
557,andyroyal
558,andystream
559,andysun888
560,andyu69
561,andyyang520
562,andy_man
563,anetamc
564,angarewa
565,angbo
566,angelovski85
567,angelseb123
568,angel_duran_mx
569,angersonic
570,anghr
571,angie0712
572,angoosey
573,angrygorrila
574,angryplayr
575,angstypancake
576,angusread
577,anigudkar05
578,anikapattni
579,animabeata
580,animallover2_o
581,animegurl69420
582,anirishhobbit
583,anjechamp
584,anmu1990
585,annabellemalone
586,annakutty09
587,annamitchell
588,annatheidiot
589,anneard
590,annethegrand21
591,anniektw
592,annielaverne
593,anniemoo
594,annieye2011
595,annieyue218
596,annohatesyou
597,annoyingghoul
598,anonentity33
599,anonray
600,answerthethreat
601,ant-anson
602,antdeane90
603,antgatt01
604,anthonnihall123
605,anthonycoles
606,anthonyjsloan90
607,anthonykxx
608,anthony_ker
609,anthrax021
610,antiren
611,antonio-7
612,antoniovski101
613,antonvera
614,antonyhe
615,antonypages
616,antsc
617,antslogic
618,antss117
619,anty_social
620,antz30
621,anubiez
622,anucha1996
623,anunad
624,anyathekiwi
625,anyolite
626,anzbank
627,aoefj-2390
628,aominedaikiiii
629,aonghas666
630,aotahi
631,aotearoa13
632,aotearower
633,apalle
634,apepperfarm
635,apet2
636,aphache1
637,aphoticnz
638,aplors
639,aplot123
640,apmqne
641,apnatv
642,apolloalex
643,apolloscorpio
644,apollospectre
645,app1234
646,appalman
647,applause8
648,applecrumble2
649,applenut9
650,applyingcrust
651,apthnz
652,apugkid70
653,aquachess
654,aquilius589
655,aquiverscence
656,arah09
657,arahoe
658,arapatahapuku
659,arashfarjood
660,arcanaschala
661,arcaniaman
662,archiegeorgeson
663,archieirving
664,archiejelley
665,archielopernes
666,arcie68805
667,arfzarfz
668,argeewill
669,ari797
670,arieas9
671,arifahmed99
672,arimm14
673,arizonasweettea
674,arjacquan
675,arjohn27
676,arjun-nz
677,arjunawc
678,arkensaw
679,arkyn2
680,arlobarlo5
681,armaanchandra
682,armanchoudhry
683,armaninz
684,armanranjbar
685,armogheddon1
686,armysondan
687,arnaudnz
688,arnavkalra1
689,arnie1111
690,arnopercival
691,arpion89
692,arpitplayschess
693,arr0wstorm
694,arrays_start_at_one
695,arrow7011
696,artemisnyx
697,artfx21
698,arthur-young
699,arthur_andersen
700,artimal100
701,arttfx
702,artvandelay9
703,arun1100
704,arveenh
705,arvxndg
706,aryarch3
707,aryavasa01
708,asaptrees
709,ascoasphalt
710,asdfgh54321
711,asdimsa122
712,aseddon7
713,aseemzeyad
714,asepsus
715,ash038
716,ashatrieu
717,ashdhj127
718,ashen0
719,ashhsa28514321
720,ashinwilson
721,ashiscool7
722,ashishk977
723,ashishsaretia
724,ashivlal
725,ashketchumnz
726,ashklutchem
727,ashleighharris-dixon
728,ashley7025
729,ashleytaylor0621
730,ashr8
731,ashrafmalik23
732,ashtonclark
733,ashtonmcgarvie
734,ashwellgeorge
735,ash_yo
736,asianlogic
737,asiannoodlestimtam
738,asianraider
739,asj7777
740,askbenji
741,askel07
742,asmeetprakash
743,asr21
744,asrtait
745,assasin88
746,assaulterr
747,assumedly
748,asta05
749,astarrboy
750,astontheskux
751,astr0boy03
752,astroboy61
753,astroboy92
754,astroboyy
755,astronomeraustin7
756,asuka88517
757,aswun7
758,ataahua13
759,ataberk5533
760,atari9
761,atcq43
762,atgsitlftb
763,atma-dharma
764,atmayg
765,atomsnz
766,atr3yu91
767,atracurium
768,atrain666
769,atrnm0
770,atrobinson
771,attackedsquare
772,attactic
773,attm172
774,attractivehouse
775,atunny
776,aubreeziecn
777,aucklandvw
778,auckland_rambo
779,auggie3
780,augustusporta
781,aujla13
782,auninjin
783,auntoftwo
784,aurikball
785,austen64
786,austinbanks
787,austinpro2
788,autech91
789,autejeremiah
790,autistic4383
791,auto0
792,autosparx
793,autumn_sunn
794,avaixity
795,averagecelery
796,averagecereal
797,averageschoolstudent
798,average_punter
799,avercy
800,avi00-nz-ind
801,avik25
802,avinashkrishna1
803,avinkris71
804,avishekmishra93
805,avrahambriones
806,avtraz
807,awakura
808,awchestra
809,awesmoness
810,awesome2989
811,awesomea_123
812,awesomenessed
813,awgeezrick77
814,awhhiiiii
815,awhinawatson
816,awkwardoriginality
817,awux
818,axelsdad314
819,axiom64491231
820,axion-27x
821,axiscyanogen
822,axle158
823,axlmitcheson
824,axyc13
825,ayaanthehabibi
826,aybrooo
827,aycepe
828,ayelan
829,aymkhan
830,ayu324
831,ayyyyoalby
832,ayzecknozniksid
833,azar777
834,azarioix
835,azeroosu
836,azharris66
837,azicheckm8
838,aziz960
839,azizapatel786
840,azmodion
841,azmojoaz
842,azorath1
843,azothh
844,azteci5
845,azzaholborow
846,a_da_man
847,a_midway_rollick
848,b-kettlesnr
849,b-n-ware
850,b00mburger
851,b0bby_shmurda
852,b1mb0lover
853,b33nana
854,b3nj
855,b3nny77
856,b44bays
857,b4gggy
858,b66lz6
859,b787-9
860,ba018
861,baaaailey
862,baahbro
863,bababebe1
864,babablackchess
865,baboolovez
866,baburaokastylehai
867,babydropkick
868,babyfischerr
869,babyyodaluvu
870,bach2120
871,bachhe_
872,backenvelope
873,baconater411
874,baconpant
875,badads
876,badatchess666789
877,badboychillercrew
878,badchessplayer346
879,badcinszz
880,baddgear
881,badgambitceo
882,badgerburgers
883,badlymadeby
884,badplayer456
885,badsanta213
886,bafazan
887,baglyy
888,bagofhelium
889,baicohochiminh
890,bailey370
891,baileyconsidine6
892,bainsy101
893,bakedpotato99
894,bakkchess
895,bakkertrakker
896,bakkyhanjma
897,bakuryubeastmode
898,balake240
899,balancedbingo
900,baldeagle11
901,baldrick8
902,ballas3
903,balledbishop
904,ballram
905,ballsackhundees4
906,balthazarruscoe
907,bames3
908,bamza5
909,banana-hero
910,banana37
911,bananabana
912,bananafordays
913,bananaking121
914,bananna1995
915,banashy
916,bandlto
917,bangbangyouredead
918,banktkw
919,bantheunded
920,bapo3
921,bapsgambit
922,baquea
923,barba-siaopo
924,barbecuebrisket
925,barcan
926,bardguy
927,bardialonglastname
928,barefoot_kiwi
929,barikendan
930,barksandwich
931,barneystinson1234
932,baronsbro_aka_andi
933,barrelmannz
934,barret09
935,barringtonw
936,barrybateman
937,barrypurple
938,bartic48
939,bartman178
940,barto5555
941,bartvanderwerff1954
942,base_face
943,bashfulcelery
944,basilg9
945,basilthuruthelanil
946,basnz95
947,baspeng
948,bassiliusblaze
949,bassistpav
950,bassi_ziglarov
951,bassmaniac2020
952,bastien011
953,bateszy
954,batstix
955,battiewcrx
956,battlekelpie
957,battlekhess
958,battlepeices
959,battleplanner123
960,battletack
961,battlingjeffrey
962,baunbaggi
963,bavaria2018
964,bawsdawg420
965,baxterdre
966,bayfam
967,baymise
968,bayyls
969,baztehira
970,bazuka68
971,bazwah79
972,bazza007
973,bbatdown
974,bbedol
975,bbqwings6425
976,bcfjellerino
977,bchangman
978,bckim
979,bcollins90
980,bcoops92
981,bcush
982,bdg87brnz
983,bdingemans
984,bdiym
985,bdogggg
986,bdonkz
987,beachboy15
988,beachnik
989,beagleboy55
990,beanstalk187killa
991,bearform
992,bearlyregal
993,bearrss
994,bearsn
995,beastcamel
996,beastfrie
997,beatinglendz
998,beatius
999,beatmecapping
1000,beatrrriz
1001,beautynails
1002,beblubs
1003,bec5725
1004,beccmate
1005,beccyc
1006,becd0g
1007,beconnectednz
1008,bed608
1009,bedjacket
1010,bedolphin
1011,beechworks01
1012,beedrick-huch
1013,beedubya
1014,beehive01
1015,beejills
1016,beekeeper111
1017,beelaa
1018,beenakk7
1019,beepabeep
1020,beepboopxx
1021,beepbopbloop
1022,beeryenz
1023,beer_aux
1024,beezwaa
1025,bee_time
1026,beforepapa
1027,beginner121
1028,beginnerguy42
1029,beguilingbishop
1030,behindspace
1031,beigeknight
1032,beirnzy
1033,belastummeyer
1034,belirsizlikilkesi
