player_index,username
0,-lumens-
1,007hm
2,007jr10
3,00emiliano00
4,00rigzz00
5,0507calitotauro
6,050yolanch
7,0746
8,079524
9,080276
10,08361826
11,08mike80
12,09833501
13,099rt
14,0kevinflores0
15,0m4r777
16,0nikle0
17,0wen16
18,0xzbrandonxz0
19,0yellowmaster1
20,0_schlatter_1
21,10antoine10
22,10camilo10
23,10rose10
24,11andres
25,11guillen
26,12-evan
27,1207jotace
28,1234567897999
29,123456789pincel
30,123anitape
31,123hanako
32,123jajajaja12
33,123jer
34,123qwe003
35,123unicornio
36,123_ric
37,13jesus96
38,1437anyataylory
39,14564467
40,14agagod
41,14luka09
42,15493
43,18only
44,1959juanpedropablo
45,1blackatt
46,1disparo1muerte
47,1emersson
48,1emonchan
49,1emperador2
50,1en25studio
51,1enne
52,1fredd2
53,1gustavo
54,1joice
55,1nk0gn1t4
56,1rosel
57,1skr34m
58,1wes1
59,1xavi1
60,20062027
61,2008grandmaster
62,2020bahubali
63,20fus
64,20s94
65,21pierolopez
66,22101994govi
67,2323jonny
68,25hp
69,25thwizard
70,2602633
71,26james
72,27jordan
73,28arnoldfliscorn
74,2lynh
75,2past0r
76,2paul0
77,30mii30
78,32225hack
79,322gaa
80,32belzebu
81,3darkfire3
82,3dulc
83,3ki3
84,3scate
85,3scate1
86,3sergios
87,3v021
88,3xorr
89,404ms
90,4123christian
91,44hwxyz90
92,4anapaz
93,4dking
94,4lfre
95,4lrdyd
96,4nakaren
97,4p0c4lyps3
98,54321carlos
99,555galactus
100,564ra
101,5928526
102,5amner
103,5era
104,666conducer
105,69kiraxx
106,69klosed
107,6diegol
108,777len1
109,77trash
110,7andy
111,7k853k7o
112,7luis22
113,7obuas
114,7w7xd
115,81194a
116,85jh
117,86tintaya85
118,8vio69
119,949361649
120,94erick94
121,956757972kevin
122,959pandita20
123,96maykol
124,96roy
125,977687475
126,9876nieve9876
127,999amaru666
128,a-regal
129,a01247abigailmoscoso
130,a19991266
131,a1s1b1
132,a1varodiaz
133,a20190160
134,a5848
135,a62501433iker
136,a7511
137,a8mond
138,aaaandyyyyyy
139,aac03
140,aachxto
141,aafaust
142,aaguayos
143,aaguedo
144,aaldrin
145,aaluislol
146,aaromlopez
147,aaron17177
148,aaron1804
149,aaronav
150,aaronavalos19
151,aaroncalderon274
152,aarondec0912
153,aaronelharo
154,aaronfalcon
155,aaronmataflexios
156,aaronmontt
157,aaronnaveda
158,aaronnovakm
159,aaronovak
160,aaronpari
161,aaronsaidsalazar
162,aaronsantos5
163,aaronvanoordt
164,aaronveloz2391
165,aatv10
166,aazn
167,abalom07
168,abarreda
169,abc8000
170,abcd2201
171,abcdedwin_peru
172,abcor
173,abdiel432
174,abdul3303
175,abdulcordova
176,abeepeeee
177,abegod
178,abehcrdmbie
179,abel-pasache
180,abel1203
181,abel30ss
182,abelalama
183,abelardoascarza
184,abelarteaga
185,abelbm
186,abelcampos
187,abelcch
188,abelcf22
189,abelcori
190,abeldavid
191,abelithopv1
192,abelmav
193,abelmere
194,abelmorillas
195,abelo641
196,abelord76
197,abelw
198,abelzea
199,abergele
200,abhilasharadhya
201,abias45
202,abigail123460
203,abigailjfb
204,abiram666
205,abisachic
206,abjacc
207,ablefur
208,abner260
209,abnerguerreros
210,abnerkoo
211,abnermo
212,abnerquispepedraza
213,abnersonvelaconde
214,abnerzpb
215,abr1116
216,abraamcp
217,abraham0143
218,abraham2907
219,abrahamtiger
220,abrahamvila
221,abrahamvirhuez
222,abralozano22
223,abramr
224,abraxas3666
225,abreslauer
226,abril14168
227,abrilnomayo
228,absa11
229,abylady
230,ac03dala
231,academico20132013
232,acalex001
233,acamusd
234,acardozo
235,acasualplayer7w7
236,accoupobanana
237,ace120603
238,acedia29
239,acejoelik
240,achatax
241,acherontia99
242,achulocos
243,acolagnip
244,acostacortez
245,acpf
246,acrebitas
247,actitud04
248,acuaco
249,acuario14
250,acuario201877
251,ad2304b
252,adairluka
253,adairsb
254,adalicio
255,adallll
256,adam260101
257,adamanthiun
258,adamsmith0717
259,adamwarlock1989
260,adaninguno
261,adas0307
262,adawnam
263,adc4545
264,adcdefghijklmn
265,adclod
266,adderlypm
267,adderpe
268,adderson
269,addinson
270,adel0o
271,adelcast
272,adelcastillom
273,adelgadop07
274,aderly0809
275,adexcomunidad
276,adezx
277,adgmora
278,adolf01968
279,adolfher
280,adolfito777
281,adolfo203
282,adolfo2303
283,adolfoahc
284,adolfocp
285,adolfojc92
286,adolfo_4425
287,adonayvoker
288,adoniszelada
289,adorablebrand
290,adpa_278
291,adr2710
292,adr679
293,adri0928
294,adri7258
295,adri889
296,adrian1033
297,adrian136
298,adrian1572
299,adrian1615
300,adrian171105
301,adrian1947
302,adrian3535
303,adrian5942
304,adrian7007
305,adrian7124
306,adrian81996
307,adriana0110
308,adriana096
309,adriana1678
310,adrianafernndez
311,adrianahh
312,adrianakmc
313,adrianalexcacique
314,adrianandres7ro
315,adriana_18
316,adriancabe
317,adriancarmonaloyola
318,adriancox2
319,adriancrack
320,adriandelacruz23
321,adrianei
322,adriangsm
323,adrianjos9
324,adriankp40791
325,adrianmaster21
326,adrianmiyadi
327,adrianoelprochino
328,adrianoghd
329,adrianooiivos
330,adrianoregutierrez
331,adrianp20
332,adrianroger
333,adriantam
334,adrianu17
335,adrianvil24
336,adrianvilla3000
337,adrianzenbayona1999
338,adrian_090
339,adriax712
340,adrielcalvelo
341,adrielsalvador9
342,adrifres
343,adriiancroiix
344,adrisebasaliss
345,adritos21
346,adross64
347,advitan
348,adyanaxchess24
349,aeqm10
350,aestrellas
351,afemii
352,afhery
353,aflorestafur
354,aft2002
355,afuefuefuefue
356,afuentesc
357,afvelasquezx
358,againgames
359,agamer_29
360,agaroshi
361,aggo49
362,aght04
363,agjssjajjdjajndjsbfb
364,agniloto
365,agonzalezpe
366,agprado
367,agr77
368,agu007
369,agufer2016
370,aguilot
371,agus73
372,agustintardeo
373,agustoyhyh
374,ah9009
375,ahasenth
376,ahribotla2
377,ahtuconnais
378,ahurtadoames
379,ai123cc
380,aiden_73
381,aikidable
382,aimlesstraveler
383,aiorik
384,airjess007
385,airtonj
386,airtuz
387,aisbor
388,aitor273
389,aitortxus
390,aitt047
391,ajax013
392,ajedrecistanocturno
393,ajedrez200766
394,ajedrez2020456
395,ajedrez2822
396,ajedrez741852
397,ajedrezdecalle
398,ajedreziando2
399,ajedrezista345
400,ajedrezkendal
401,ajedrezmedico28
402,ajedrezpuntocom
403,ajedrezwar
404,ajfurrerv4p
405,ajhaxmendoza
406,ajosue26
407,ajovid
408,ajqc19
409,ajsp22
410,aj_anderson
411,akademieacc
412,akamarlon
413,akawa94
414,akei87
415,akeminaomi
416,akindlimann
417,akiradez
418,akshaypunjabi
419,akvp
420,al0520
421,al3jandromagno
422,alabtmt98
423,alaiga
424,alainbalza
425,alanaar
426,alanaquinopilco
427,alanausp
428,alancitoo44
429,alanda999
430,aland_chavez17
431,alanelportero
432,alangarcia1995
433,alanhill007
434,alanjoa10
435,alanogata
436,alanvalencia
437,alaoui32
438,alastaer
439,albarozt
440,albert0o
441,albert123512
442,albert194
443,albertciencia1
444,albertdiaztorres
445,albertfiestassalapi
446,alberthc
447,albertheins
448,alberthleo
449,albertis1
450,alberto123zyx
451,alberto2312
452,alberto260568
453,alberto384
454,alberto38448299
455,alberto5218
456,alberto5806
457,alberto900
458,albertoaer
459,albertocmlp
460,albertocubacruz
461,albertomateos
462,albertoperalta7
463,albertorhp81
464,albertostar
465,albertotiahuallpa
466,albertotisnado
467,albertotj
468,albertp91
469,albrau53
470,alcashofa
471,alcava12
472,alcides2665
473,alcidesf
474,alcon-feliz
475,alconxino
476,ald10000
477,alda1r
478,aldahir64hm
479,aldahirrz
480,aldair007
481,aldair255
482,aldairhuayta
483,aldairrozas
484,aldanaberetta
485,aldayrporras
486,aldebaran77
487,aldertt
488,aldikch
489,alditosc
490,aldo1808
491,aldo22
492,aldo29704
493,aldo394
494,aldoalexander
495,aldogalli
496,aldomamani93
497,aldomaster
498,aldomatador
499,aldomr24
500,aldopp
501,aldopul
502,aldoroni
503,aldowi
504,aldozela
505,aldo_9797
506,aldo_gpj
507,aldo_oec
508,aldreen20
509,aldrexs2040
510,aldrichsarmiento
511,aldrickeliuz
512,aldrin35
513,ale041205
514,ale094
515,ale2006
516,ale26khine
517,ale2996
518,ale6889
519,ale6889057
520,alebeatriz10
521,alecder
522,alecross7
523,alec_33
524,aled93
525,alegre45
526,aleh8eeee
527,aleir
528,alej18
529,alejaa1234567
530,alejandra0104
531,alejandra250
532,alejandra3661
533,alejandrasarmiento
534,alejandrez96
535,alejandro-mh
536,alejandro-moreno
537,alejandro078
538,alejandro28291
539,alejandroaz447447
540,alejandrocarpio
541,alejandrocavero
542,alejandroch1801
543,alejandrocircus
544,alejandrock21
545,alejandrodaniel12345
546,alejandrodavidd
547,alejandrogallardoooo
548,alejandrohurtado4019
549,alejandrokrkleer
550,alejandromango
551,alejandromc1188
552,alejandromdlc
553,alejandromesias
554,alejandromujica
555,alejandronart
556,alejandronovoa9821
557,alejandroomperez
558,alejandropr16
559,alejandrorosales
560,alejandrotapia1997
561,alejandrotwo60
562,alejandrouni17
563,alejandrowilliams
564,alejandrozavalav
565,alejandro_mr1
566,alejchess
567,alejitopro
568,alejo0481
569,alejochessyt
570,alejopijuan
571,alejorc
572,alejose2007
573,alekes21
574,alekhineperu
575,aleks7049
576,aleksanderlopezrodri
577,alekseybazarov08
578,alekslu
579,alelo76
580,alelumenca
581,alemap2
582,alencastre2021
583,aleoalim
584,aleong90
585,alepena92
586,aleprito
587,alepunk456
588,alereame
589,alesp90
590,aless161616
591,alessa4
592,alessander_linares
593,alessandra20060701
594,alessandralemos
595,alessandrazamora
596,alessandro034
597,alessandro2013
598,alessandro2896
599,alessandro8612
600,alessandroarbildo
601,alessandroortiz
602,alessandro_69_4
603,alesscorr
604,alessiahaaker
605,alessiatr
606,aleuwu000
607,alevi2
608,alex-a-h
609,alex03069830
610,alex123piura
611,alex1880x
612,alex20181509
613,alex2020467
614,alex212120
615,alex3000z
616,alex32580
617,alex337ha
618,alex3873
619,alex6749
620,alex7020
621,alex8493
622,alexa452221
623,alexachong19
624,alexand12ra
625,alexand68
626,alexande15
627,alexander10077
628,alexander20093009
629,alexander201187
630,alexander202012
631,alexander2808
632,alexanderahm
633,alexandercm
634,alexanderdm1995
635,alexanderf18
636,alexanderferdineli
637,alexanderfischer777
638,alexanderpaul
639,alexanderramoscanepa
640,alexandersalas109
641,alexandersanc
642,alexandervilla777
643,alexandervolg
644,alexandervolg2005
645,alexanderwvb
646,alexander_6666
647,alexander_d90
648,alexandr2810
649,alexandrabeatriz
650,alexandrafer19
651,alexandrapaola95
652,alexandrasalazar
653,alexandra_bel
654,alexandrelll
655,alexandro666
656,alexandroflores
657,alexandroluis
658,alexa_uzumaki
659,alexbaltazar
660,alexbarbur
661,alexbengoa
662,alexboca
663,alexbocanegramelende
664,alexbustinzap
665,alexby3341
666,alexcajan
667,alexcapelbal32
668,alexcch16
669,alexclavo
670,alexd1477
671,alexd1735
672,alexdedin3d
673,alexdenpe
674,alexdht08
675,alexei16
676,alexeiarx
677,alexelinca
678,alexelpapidel3ymedio
679,alexfederici
680,alexfzc
681,alexgh99
682,alexgont
683,alexht88
684,alexiasaldarriaga
685,alexis0519
686,alexis1325
687,alexis5136
688,alexisb422
689,alexiscalderon
690,alexischess88
691,alexiscl234
692,alexisgb1996
693,alexislion
694,alexismen
695,alexis_rf_27
696,alexis_s
697,alexit50
698,alexitouni2020
699,alexitoxd15
700,alexjcaceres
701,alexleogutierrez
702,alexllchees
703,alexlviii
704,alexlzm
705,alexmar2516
706,alexmcas99
707,alexmeds
708,alexmgiler
709,alexndr37
710,alexnl75
711,alexnomberto
712,alexnoo
713,alexnumber97
714,alexofficial4
715,alexones
716,alexpassara
717,alexquintop1
718,alexrafaelh
719,alexruiz167
720,alexsander24
721,alexsandro545
722,alexsba
723,alexsc66
724,alexssjdios
725,alexthor01
726,alexttito
727,alexundur
728,alexvid927
729,alexx037
730,alexyuki8
731,alexyyy556
732,alex_g2430
733,alex_romeo19
734,alf797f
735,alfamike76
736,alferezgomez
737,alfil2020alf
738,alfil365
739,alfil420
740,alfilchess20
741,alfilmarfil
742,alfilreychess1000
743,alfir6699
744,alfons2488
745,alfonsin2020
746,alfonzorc
747,alfors
748,alfred175
749,alfredev
750,alfredo04morales
751,alfredo3k1
752,alfredo40
753,alfredo565
754,alfredo703
755,alfredo808080
756,alfredocz
757,alfredoguerraa
758,alfredolol
759,alfredoludena180
760,alfredomalarin
761,alfredoochante
762,alfredopl
763,alfredosha16
764,alfredov18
765,alfredo_196844
766,alfredo_2019
767,alfredo_angeles
768,alfred_2
769,alfro66
770,alfyll
771,alge19
772,algonpeme
773,alicci25
774,alicegi
775,alienkasparov
776,alikey2020
777,alindsay211
778,alipand
779,alipandi
780,aliszenaida
781,alitan1985
782,alivevoice
783,alizck64
784,aljefuca
785,aljha
786,alkaliup
787,allaque
788,allbert13
789,allein-ich
790,allen6871
791,allenestela
792,allisonch
793,almagaja
794,almagrobj
795,almanguet
796,almanti
797,almarcelo
798,alma_guerrera
799,almegio
800,almendra7884
801,almendramora
802,almerxz
803,almoro90
804,almostqueenl
805,almovare
806,aln7272
807,aloestylez
808,alois-sea
809,alois1999
810,aloisius26
811,alonchi
812,alonktdc
813,alonsillo
814,alonso0709
815,alonso1220
816,alonso19995
817,alonso2019
818,alonso26ta
819,alonso64
820,alonso928
821,alonsoaqp
822,alonsoayquipa
823,alonsochavez99
824,alonsochess1
825,alonsodelcarpio
826,alonsofury
827,alonsogonzalez
828,alonsoking0
829,alonsolahoz
830,alonsoll15
831,alonsomarinleiva
832,alonsommp
833,alonsoochoa232
834,alonsoochossalinas
835,alonsoromanb
836,alonsoro_99
837,alonsosanchezsolis
838,alonsosb
839,alonsotafur
840,alonsovar
841,alonsoxs
842,alonsozl64
843,alonsozw
844,alonso_ol20
845,alonsusfaol
846,alonszo1591
847,alonzoquispe
848,alonzozv04111998
849,aloroad
850,aloxariman16
851,alpaca92
852,alpebu
853,alpincho
854,alpoquito15
855,alqagaleria
856,alqm028
857,alrod123
858,alsher221b
859,alskorpioal
860,altamirano957
861,alternativa01
862,alternocaos
863,altinax
864,alton21
865,alucina18
866,alumno1111111111
867,alva107
868,alvanocruces
869,alvan_07
870,alvar0cot
871,alvarista
872,alvaritochess297
873,alvaro110
874,alvaro12341
875,alvaro1810
876,alvaro20393
877,alvaro2108
878,alvaro2112hs
879,alvaro8262
880,alvaro84548
881,alvaro8560
