player_index,username
0,4apa4a
1,ach1995
2,ahelplesskittey
3,ahmedsw62
4,aia42
5,aichessju
6,alan177
7,alone2100
8,alyons8
9,amels
10,ameynaik
11,arnoldhajrulla
12,azor_ahai1
13,bcych
14,bodohpandai
15,borisische
16,brand222
17,brunodante
18,budah00
19,budyniek
20,bulbadelaet
21,calryssian
22,carlosdmm
23,cessmachter
24,cey1301
25,cheeks3
26,chessbrainvb
27,chokzy
28,chrismedary
29,ciaolorento
30,civilgen
31,crismo3
32,danutcri
33,davetang31
34,davy047
35,deldel07
36,demiknxd
37,den5434
38,dibadidibada
39,drewlarcula
40,efkanbey12
41,elbiduubled
42,emerald1504
43,fartwithextrareverb
44,feelaret
45,franstheunisz2
46,ginopaolino
47,gladal5krz
48,goroka
49,goroko
50,gramel53
51,gwhitey
52,heroa29
53,ichbereuealles
54,ikwoedatikskakekoe
55,inebriatedaccount
56,ismail61616161
57,itputsthelortion
58,izaakmanuel
59,j007lahui
60,jakiva
61,jakoboff
62,jamesroderick
63,janine11111
64,jedwhitcombe
65,jeogun
66,jess000
67,jesuisnulll
68,jezzamacaskill
69,jimmythexpldr
70,jjthejetplane007
71,jkuhn
72,joeythesavage
73,jomeshv
74,joniteh
75,justmig
76,karaege
77,karaolan
78,kenward9595
79,kilometrov
80,kingjoash117
81,kleinigemeini
82,krisgjo
83,kuluorourke
84,l0rd_raiden
85,lastfight2008
86,lazyguest
87,leah_rigsby
88,leon120909
89,letmecheckmaterq
90,lightning123chess
91,lilacphoenix
92,luisparov
93,maped
94,meannmrmustard
95,melanesia2021
96,mightymous
97,mikamca
98,miklenserf
99,milens777
100,mingyurtashi
101,miramart
102,mrbabacan
103,mrfmapinoy
104,n1onep
105,nansii793
106,nebucadnnezar
107,negreajuk
108,nemesis280199
109,nodi3
110,norbe152
111,ontheverge6
112,patbenmark
113,philiplauneka47
114,philrjv
115,pietmuilwijk
116,prout72
117,psykadz
118,pubcastro
119,qatd
120,r0kit
121,rakkyl
122,redaxe67
123,redwinner
124,reymarrambo
125,richbonn
126,ronzki16
127,roundonefight
128,rumyantsevpavel
129,saithong
130,sam-brook
131,schachmat84
132,seigor_bolskan
133,shaunpress
134,shueymd
135,simonesus
136,siskkskddkdl
137,sodomtulumba
138,stpw
139,sunkissedchild
140,sweaterfox
141,sweepright
142,therebelking948
143,thesword
144,theyyam
145,the_legionaire
146,tilanavro
147,tjenfield
148,tokpisin
149,tomqar
150,toto160515
151,tristanmurrell
152,trumpdakunt
153,trustmeisuckatthis
154,umit0107
155,unterwegs
156,uwiniwinweallwin
157,vaga71
158,vandgevorgyan
159,virgulus
160,watermelonpumpkin
161,wladca_wszechswiata
162,wowl
163,xuacuxintaxorra
164,xxbababouyplayzytxx
165,yamrock
166,yeoooooooooooooooooo
167,yowli
168,zapatayale
169,zasikalovm
170,zurnico
