player_index,username
0,00001111a
1,000dudas
2,000szachista000
3,000wiktxr
4,000z3r0
5,007bj
6,007buszek
7,007kozik
8,007lupus
9,007pain
10,007szachmat
11,007wk
12,0098771111
13,00ania
14,00aras00
15,00gaala00
16,00iplay4fun00
17,00jacobs
18,00junior00
19,00szymon
20,00tiara00
21,00zeuch
22,0109wroc
23,0110lekniw
24,01123131ddd
25,012reprezentant
26,01andrew
27,01kla22
28,01papasmerf
29,01wow01
30,01_avi_pl
31,02-michalzajac-21
32,02_karoll
33,03jz
34,040699
35,05ka
36,05owoce
37,05scorpio
38,0609123h4o
39,061mi
40,0700153mt
41,07kaktus07
42,07xxwojtasxx07
43,0800sebix
44,0807m4rku5
45,0909kamcio
46,09gutek
47,0ania0
48,0bigboss0
49,0brtx0
50,0fenixica0
51,0gambitking0
52,0globox
53,0hexperience
54,0iqmam
55,0jakub
56,0jciec
57,0jelly0
58,0jsunny0j
59,0kamilslimak0
60,0karolina
61,0kensei0
62,0krzys
63,0krzysztof
64,0kuba00
65,0kularnik
66,0l3k
67,0l3xandra
68,0lala
69,0legal
70,0lek05
71,0leksandr7
72,0leon
73,0limess0
74,0liwier
75,0lqaa
76,0lucky0luke0
77,0macias0
78,0makuch0
79,0mativ01
80,0maty
81,0michal0
82,0nat_usia0
83,0nelifeleft
84,0nskal
85,0nyxdragonfly
86,0nyxprism
87,0o7o0
88,0oski0
89,0pacho
90,0pagan
91,0piekacz
92,0plek
93,0prala0
94,0protector0
95,0przyjaciel
96,0qluk
97,0ranenoby
98,0relek
99,0roczi
100,0ry5
101,0sek0
102,0shashy0
103,0shinta0
104,0siaa
105,0sk1986
106,0sk4rxd
107,0smak0
108,0snero
109,0sonikku0
110,0swierszczu0
111,0szachmat0
112,0szuscik
113,0thatsthespirit0
114,0ttik
115,0uer
116,0usagi0
117,0ver354
118,0wawrzu0
119,0wojtus0
120,0worried
121,0x1b
122,0x859
123,0ziss
124,0_0_tadek
125,0_pawlej_z_forta_0
126,0_pio
127,1-2-3-przegrywasz-ty
128,100gecsfanboy
129,100hel
130,100larski
131,100lej
132,100per
133,100pka
134,100pson
135,100_lec
136,10111x
137,101leszek101
138,102166
139,102a
140,102iq
141,102_rudy102
142,107brayan
143,10cz3k
144,10hellge01
145,10lisek10
146,10maciej
147,10mistrz00
148,10najkrajsi
149,10p3z
150,10proca
151,110100
152,11111100100a
153,112571321345589mm
154,112kuba112
155,11edison11
156,11goha11
157,11ja11
158,11kiki11
159,11marjag11
160,11showman11
161,11silver11
162,11wiktor
163,120kgnazyle
164,1221916x
165,122222a
166,122333444455555d
167,1234554321qwerty
168,1234567398
169,1234567890karol
170,12345hose
171,123aa87
172,123abc4o
173,123abc590
174,123ads34
175,123janek123
176,123lber
177,123maciekkoxpl
178,123magdalena
179,123mariusz
180,123mateusz123
181,123mati123
182,123michal
183,123mk45
184,123piotr
185,123pokemon3
186,123pol
187,123ravenqq
188,123stas123
189,123szymon
190,123t19
191,123wiedzmin123
192,123wojtek123
193,123_g
194,1264maestrojan
195,12adam9090
196,12chessplayer1
197,12heroess
198,12kozlo
199,12krystiano
200,12m57
201,12mattma85
202,12pawel24
203,12yes3
204,1313356
205,1337head
206,1337knp
207,134kamil4164
208,13chessdestroyer37
209,13cris1983
210,13dolaruf
211,13kostek
212,13lukas13
213,13lukasz97
214,13robercik
215,13tsubasa
216,13zosia
217,140kw
218,1410lul
219,142karol
220,144hzmaciek11lat
221,144kg168cm
222,14kkrason
223,14nowik14
224,14r3k
225,14zow14
226,1535alex1535
227,15afro04
228,168u
229,16ohm
230,177cm65kg15cm
231,178iqdaniel
232,17akira
233,17alessandro17
234,17next
235,17tontrotylui6klusek
236,1800es1year67
237,18172
238,187haku
239,187karakuraizer
240,188cm85kg19cm
241,18lee
242,1910fan
243,1939bednarek
244,1946p
245,1954jarek
246,1960820
247,1960grzes
248,1964igla
249,1964ks
250,196925
251,19731207
252,1975mgalgan
253,1980mank
254,1985zeus
255,1987emil
256,1987poli
257,1990przemek
258,1992raven
259,1997qwer
260,19calek33
261,19cloud91
262,19dj92
263,19dudek28
264,19dyjewskit
265,19faf09
266,19gm86
267,19humen96_pl
268,19kriss77
269,19kurpi20
270,19marcin78
271,19marcin92
272,19marek54
273,19mentor89
274,19mt91
275,19persona66
276,19pietruszka20
277,19silva88
278,19staszek97
279,19tofik88
280,19z46
281,1acin10
282,1adamn
283,1airplane
284,1aleksd
285,1andree
286,1antonina
287,1anusz
288,1apatryda1
289,1aqq1
290,1as3r
291,1bacon
292,1bajojajo1
293,1bartekx
294,1bigboy3
295,1bkrawczyk
296,1bobokamyk1
297,1bolo1
298,1ceberg11
299,1chesslifter1
300,1chiaki1
301,1dahlia
302,1darejk
303,1ddddd22werr
304,1dnorozec
305,1dodolek1
306,1dubai1
307,1e4orgtfo
308,1ebacpis
309,1e_m_i
310,1fernandez
311,1filz
312,1freez3
313,1greg
314,1gruda_kryszatlu_pl
315,1gtrt1
316,1humberthumbert
317,1iqchessbot
318,1jakubek
319,1jang
320,1jking
321,1kamil
322,1kan2
323,1kapselek1
324,1kestrel
325,1ketris1
326,1kitschy1
327,1kml14
328,1kruk
329,1kuba11
330,1kvbs
331,1kwiatek
332,1k_to_moje_marzenie
333,1lifeordeath1
334,1luckay1
335,1m0ut
336,1mbir
337,1michal2
338,1miko1
339,1mikoone1
340,1milosz1
341,1misiu123456
342,1miw
343,1moveblunderknight
344,1myplay1
345,1n0x1
346,1n1co
347,1nasza
348,1neron
349,1nimbus
350,1nnnnnnn1
351,1noks
352,1non1
353,1ns3
354,1o9co8chodzi6
355,1oszi
356,1paralyzer1
357,1patka1
358,1pawel1
359,1peeps
360,1piotrek
361,1piter1
362,1playerone21
363,1qbek1
364,1quasar
365,1raskolnikow
366,1razgram
367,1remi
368,1reskil
369,1sdv1
370,1skubi
371,1slavko
372,1sojo
373,1someone1
374,1stor2nd
375,1sttlme
376,1stx
377,1szachy1
378,1szymon1
379,1trashpanda
380,1unbeatableplayer
381,1uq
382,1vandrag05
383,1wengorz1
384,1wrzesnia1939
385,1wszaklasa
386,1xantonix1
387,1xd22
388,1zirajder
389,2-tmk12
390,20000miles
391,2000adrian1110
392,2008kinga
393,200iqchessplay
394,200kardio200
395,2011adam
396,2013jan
397,2020paco
398,20adrian00
399,20d1
400,20dominik20
401,20gramsofbutter
402,20gubi02
403,20karol06
404,20key
405,20kk
406,20mm20
407,20natix02
408,20surr
409,2115geng
410,2115mikolaj
411,2115misiek
412,2115togeng
413,2115wiktor
414,2137janek
415,2137janpawel
416,2137jp
417,2137jp2gmd
418,213we
419,21julia
420,21klauz37
421,21kotaro
422,21kuba37
423,21lekcji
424,21macius37
425,21marca
426,21milkyway
427,21newbie
428,21pantera37
429,21reeb
430,21rogal
431,21rzuk21
432,21swoj
433,21tomi
434,21vivlis37
435,21wik
436,21_kuba_37
437,221243a
438,228sancho
439,22albatros
440,22emil
441,22gohan22
442,22jacobi
443,22pilot
444,22sonny
445,2346pl
446,23diamond
447,23fifi
448,23kkk23
449,23kuba
450,23nick23
451,23w09
452,23ychu
453,24111982
454,246iq183cm8inches
455,24golds
456,24qwe123
457,24vadim24
458,2500elosmurfaccezgg
459,2504mkt
460,2550330
461,25m03
462,25thviole
463,262jaworzniakow
464,26kacper
465,26mnich
466,26seba
467,27kolodziejj
468,29k09
469,29stefan
470,2aaaa2
471,2b8
472,2balon3
473,2brogiooo
474,2czarny2rycerz2
475,2d-emons
476,2danield
477,2eleven
478,2etsh
479,2gaiden2
480,2grzes3
481,2h74
482,2head11
483,2headzior
484,2iqchessbot
485,2iquba
486,2j7k03
487,2joanna
488,2k4k
489,2lo-szachy
490,2mati2
491,2maxis
492,2milosz2
493,2muchcoffee
494,2ndbarrel
495,2paluch3
496,2piotrek
497,2przemek
498,2q2q2e
499,2rec
500,2squarky
501,2strongbro
502,2stykot
503,2th3
504,2tomala
505,2ttifrutti
506,2waldemaro
507,2we35kjhl432hjkr
508,2wolfy3
509,2wpowiecie
510,2xmaro
511,2za2
512,2zgredek
513,3000stacks
514,3000_elo_in_one_week
515,300cytrus
516,300iqadam
517,300iqszachista
518,30kcorgi
519,3107jr
520,314jg
521,31schweini
522,320cdi
523,320przemoelo
524,321xew
525,322terg
526,32fajnypl
527,32gsus
528,32iq
529,32q4eedfwe
530,3343k
531,33andrew33
532,33marcelino33
533,33martyn
534,33nikus
535,33null
536,33plus
537,33scooby
538,33tymek
539,33umbromomento
540,33wojciech33
541,35mat
542,362xdg
543,36888
544,37kamilchessmaster21
545,37laureat
546,392janbartoszewski
547,3agonia
548,3amian
549,3ashley3
550,3axx
551,3biker
552,3citrony
553,3cmcdowoz
554,3damian3
555,3danz
556,3hhh3
557,3hirty1ne
558,3ii22020
559,3jabi
560,3jurek3
561,3katszachowa
562,3kokosymix
563,3krzychu
564,3lancia
565,3ldad
566,3loki
567,3miliarrrrrrrdy
568,3minplayer23
569,3nevergiveup3
570,3ngi3
571,3od2io
572,3pak3
573,3pi3
574,3povner3
575,3ptysiek3
576,3rvh
577,3sti
578,3stu
579,3suwalki3ski
580,3tafd4b
581,3tam3mat3
582,3thaen
583,3urrit0
584,3vares
585,3very1hing
586,3x1
587,3y6efuegd
588,3zyy
589,3_last_braincells
590,3_patelnie
591,400rankplayer
592,40266j
593,404dmg
594,404isnoob
595,40873x
596,40acresandmule
597,40pola
598,40v
599,4125
600,41761707
601,41bert
602,41van
603,42069pl
604,420chesseburger
605,420chessmasterpl
606,420hehe
607,420kapi
608,420koks
609,420maciek69
610,420noodles
611,420polo
612,420tomzaj
613,420user
614,420_penl5
615,420_so_funny
616,42nska
617,43inprison
618,4400kuba
619,4423omikro
620,44drakos44
621,44gb
622,44kapec
623,44mc44
624,44titelitury44
625,44uli
626,455destroyer
627,45678578996557
628,45iq_160kg_11cm
629,46dziadek
630,47henryk
631,47lucas
632,47pryszczv
633,47ukasz
634,48nicram
635,4azr
636,4azr2
637,4bishopsniper4
638,4br4
639,4c3rrr
640,4d0m
641,4d4m83
642,4damoo
643,4dik9
644,4drien
645,4e10
646,4elo
647,4emka
648,4est16
649,4evergruby
650,4ewa
651,4fabs
652,4fmf
653,4fon
654,4funking
655,4gatefastexp
656,4glo
657,4hz1
658,4izzaguy
659,4jaca
660,4kali
661,4keruz4
662,4kii
663,4kubrick
664,4lss
665,4mati
666,4mbr0
667,4moments
668,4n4rchist
669,4nd3650n
670,4neta
671,4nilorak
672,4nt3k
673,4ntonn
674,4oraj4
675,4pakpiwka
676,4qu4x
677,4quiler
678,4r3kks
679,4rlenrey
680,4rlo
681,4rud2ix0n
682,4sim0
683,4slim_pl
684,4stars
685,4szmula
686,4ter
687,4trickster
688,4tydokey
689,4ulan1ec
690,4vir
691,4xn
692,4zecior20
693,4zywce
694,4_dodo
695,50-tones
696,500neo
697,500wd
698,50cube
699,51_cent
700,52ymons
701,532at
702,533konrad
703,536darek
704,536dareknr1
705,545aleks545
706,555kkoo
707,55grzesiek
708,55wikcom
709,566279
710,56evildead56
711,571x
712,578074a
713,57cm-178kg
714,58chess
715,58marcel
716,5arge
717,5ciastek
718,5h4d0w3q
719,5had3
720,5hadow27
721,5hadowy
722,5head420
723,5headpajek
724,5ieksa
725,5imli5
726,5imlis
727,5iwek
728,5ka1991
729,5koryk
730,5la5h
731,5m0r4
732,5m0rc
733,5michaeljackson0
734,5migi31
735,5milek5
736,5nu5
737,5p00n
738,5sev
739,5tan23
740,5tchrono
741,5thmaygo
742,5tr4w83rry
743,5unny000
744,5ydney
745,5zarkan
746,5zatmarii
747,5zeta
748,5zlotych
749,5_ton_lnu
750,601162
751,619kiryu
752,65xe
753,665corona
754,666cheesemaster666
755,666dupa666
756,666evill
757,666johnsmith666
758,666kitty
759,666maj0r
760,666matviy
761,666pastor
762,666tonrbestii
763,666twojstary666
764,666_kimura
765,66754ftre
766,6770kasia
767,68adam
768,693263944q
769,69420james
770,69ananas69
771,69borgov69
772,69chessnuts
773,69dankmaster69
774,69harezjusz69
775,69kalix69
776,69kittydestroyer69
777,69koks69
778,69lelek69
779,69mcflow
780,69robert69
781,69rude_girl69
782,69szachermacher420
783,69_maciej_69
784,6adam
785,6ber6cio6
786,6djpi9
787,6headez
788,6iankis9
789,6iks9ajn
790,6ix10ine
791,6leo1
792,6malikmontana9
793,6matieusz9
794,6noobek9
795,6rdutdutd7t
796,6ryla
797,6tonajlepszaliczba
798,6wbajer5
799,6why9
800,6_round_nerf
801,702plus
802,70dan70
803,70mlnjacka
804,70sasin
805,71kozi91
806,729piotr
807,72kris
808,7312nairda
809,7312roiclawg
810,73mafia73
811,73smoothoperator
812,741human
813,74kris
814,74wny0wl
815,75zane75
816,76marek
817,76tom
818,76trader
819,777albert777
820,777jaxon
821,777miki
822,778hotor
823,77bartosz77
824,77blue
825,77dany
826,77dm77
827,77elvis
828,77forest
829,77gregory77
830,77grzegorz77
831,77korsarz77
832,77marcin
833,77oskar77
834,77pio77
835,77rally
836,77rookie
837,77spasski77
838,77tango
839,77_lukasz_pl
840,78akinom
841,78gizmo
842,7ack7
843,7acky
844,7amilek
845,7ania7
846,7artur7
847,7bishi7
848,7c0
849,7catsss
850,7domin77
851,7erox
852,7hanys
853,7herm
854,7hyperi0n
855,7iskra7
856,7jasio7
857,7kstudio
858,7madness
859,7marzec1274
860,7mendala7
861,7my
862,7orri
863,7pablo7
864,7rabbit7
865,7strag0wska
866,7tomni
867,7uk1
868,7vk1
869,7werka
870,7wodapokisielu
871,807lukas
872,80l0
873,80rgovv
874,813n10
875,81jasiek
876,81krzycho
877,823urdhdufiid
878,82bixby
879,82dkguardsman
880,83n1am1n
881,83tillinfinity
882,84r84r0554
883,850stach
884,8589869056
885,878kosa878
886,87marta
887,87tmk
888,87werka
889,88bury88
890,88loaded
891,88saja88
892,88sm
893,88_chaplain_88
894,89beny
895,89damian
896,8brbrkbrttbrt
897,8iack
898,8igosik
899,8iqplayers
900,8kacper
901,8kategoria
902,8l3mpro
903,8mamba24
904,8na1o
905,8om8el
906,8paza8
907,8ps
908,8rr
909,8saimonjk8
910,8szogun8
911,8szydlo8
912,8szymon8
913,8u3n0
914,8ucz3k
915,8wei
916,90dd
917,9111czarny
918,91igor
919,91magzu
920,91maly
921,91nemesis91
922,91rafals
923,92kira
924,93karti
925,93seanprice
926,94sampel
927,96-k
928,964abc
929,966589
930,97kaka
931,97tomix
932,9800andrzej
933,98498651265a
934,98n9m8t9mt9mlm7t9o
935,98zajac
936,9967
937,997legionowo
938,997majkel
939,998kuba
940,999delta999
941,99jack999
942,99mistrz
943,99wiktoria99
944,9awn
945,9bubblegum
946,9devil
947,9fredo
948,9gorn1
949,9inchesnasus
950,9jowi6
951,9michael6
952,9ocho3
953,9osiol9
954,9pj6
955,9r390r
956,9saint9
957,9simon97
958,9szczepan
959,9yezo
960,9_karstan_9
961,a-d-r-i-a-n-s
962,a-ivan
963,a-j-m-w
964,a-was
965,a0bito
966,a0c98
967,a0m32
968,a0rian
969,a1209c
970,a140294
971,a1b5
972,a1eks4
973,a1gor
974,a1icj4
975,a1mb0ttt
976,a1mlok
977,a1r1e1k1
978,a2050
979,a22an
980,a2372
981,a2araragi
982,a2xsa2xsin
983,a3mb1
984,a459
985,a4rian3k
986,a55kwiat
987,a5617235912
988,a5i0r
989,a5r1e7
990,a64pola
991,a7a73l
992,a94a
993,aa6531
994,aa77aa
995,aaa351
996,aaa557
997,aaaa227
998,aaaadammm
999,aaaalejandro
1000,aaaamelia
1001,aaaarek
1002,aaabbbaaabbbaaabbb
1003,aaabpbb
1004,aaadaaam
1005,aaaga85
1006,aaalbert
1007,aaapsik
1008,aaartur2
1009,aaascension
1010,aaavvvggg
1011,aabta
1012,aadam2020
1013,aadam420
1014,aadamek
1015,aadamo_16_00
1016,aaddkkaa
1017,aader
1018,aadrianl
1019,aadvmn
1020,aaggaa92
1021,aaggie
1022,aaijnn_aajkn
1023,aajsu
1024,aakkkannnnhjh
1025,aal3k
1026,aalanaa
1027,aaldor
1028,aaleh
1029,aaleksandra21
1030,aaleksandrazyyy
1031,aalyxa
1032,aam90
1033,aamaea
1034,aamateusz
1035,aamazingdragonn
1036,aami654
1037,aanatol
1038,aandrew40
1039,aandrzej
1040,aandrzejj
1041,aangu
1042,aanidr
1043,aanitrioph
1044,aanndrzej
1045,aannkka
1046,aanulka
1047,aaoki
1048,aaolaaa
1049,aarch94
1050,aardiann
1051,aariell
1052,aarnix
1053,aarondesanta
1054,aarondudmann
1055,aaronier0o
1056,aaronpodec
1057,aaron_levonian
1058,aarrovv
1059,aarrrrgh
1060,aas246
1061,aas47
1062,aasamujlo
1063,aasarnax
1064,aasdasdasda312
1065,aasja123
1066,aaskim
1067,aasloniu
1068,aatamixxx
1069,aatlaa
1070,aawjik
1071,aazleaf
1072,aazzizz
1073,ab0u007
1074,ab1ogenetic
1075,ab3lard
1076,ab737
1077,abaac
1078,ababhk
1079,ababom
1080,abachaczi
1081,abachatti
1082,abaciliber
1083,abacysta
1084,abaddon32
1085,abaddonkhan
1086,abakus312
1087,abarhc
1088,abaris1950
1089,abaroch
1090,abarth1
1091,abas1865216
1092,abathur666
1093,abatrowy
1094,abazy1
1095,abbaamun
1096,abbaba7
1097,abbass00
1098,abby825
1099,abc111333
1100,abcandrzej
1101,abcdf112
1102,abcdif
1103,abcofwinning
1104,abdulinho_99
1105,abdulkadirabdullahi
1106,abdulos93
1107,abdurjamal
1108,abebok
1109,abece5
1110,abeceder
1111,abecedes
1112,abedixon
1113,abeiille
1114,abelabel2
1115,abelincoln1986
1116,abelowy
1117,aberald
1118,aberalfak
1119,abernathypl
1120,aberrrrra
1121,abesmeister
1122,abessj
1123,abeszet
1124,abexuv
1125,abeysk
1126,abibon
1127,abida1
1128,abiersack
1129,abigail0301
1130,abiologist1
1131,abish00
1132,abishualarab
1133,abjh001
1134,abk108
1135,ablefrost
1136,ablesoup
1137,ablueslug
1138,abmin2004
1139,abnormalangel
1140,abogenetic1337
1141,abolree
1142,abominacja
1143,abonda023
1144,abonent0069
1145,aboominacja
1146,aborak
1147,abortage
1148,aborygen87
1149,aborygen94
1150,aboryn
1151,abotoklar
1152,aboulk
1153,abouqi
1154,abozkov
1155,abracadabraxx
1156,abraczes
1157,abradolf_hilcon
1158,abrahamgoldenshower
1159,abrahamlincoln2
1160,abrahimuss
1161,abramacabara
1162,abrambag
1163,abramowj
1164,abramowski
1165,abrams1231
1166,abrams27
1167,abramsik
1168,abrasus94
1169,abrasza
1170,abrax007
1171,abraxassinclair
1172,abroksini
1173,abrorkow
1174,abrovski
1175,absens137
1176,absentneutron
1177,abso1utunit
1178,absolutrelease
1179,absortio
1180,abstract_szef
1181,absurdtomato
1182,absynto31
1183,absztyfikant01
1184,abuhene
1185,abuk00
1186,abukon91
1187,abukovsky
1188,aburawl
1189,aburri
1190,abuuin
1191,abuz0har
1192,abwehrasg
1193,abydariusz
1194,abydosik
1195,abyegesarp
1196,abyff
1197,abyr85
1198,abyrtake
1199,abyskywalker
1200,abythunder21
1201,ac855
1202,acab131
1203,acaban08
1204,acaban1
1205,acacax
1206,acacy
1207,acapulco420
1208,acapulko146
1209,acariusz
1210,acarpacay
1211,acceion4k
1212,accept96
1213,access0
1214,acdajtki
1215,acdc65
1216,ace1337d
1217,acehte
1218,acejuno
1219,acelion24
1220,acemenpl
1221,acemori
1222,aceofspades1996
1223,acephalus
1224,acer2137
1225,acerustem
1226,aceseven7
1227,acetonek
1228,ace_hard
1229,ach0s0
1230,ach1960
1231,ach1997
1232,achbazyl
1233,achchacino
1234,achelon
1235,achernar296
1236,acheron1387
1237,achill3ssbeatz
1238,achilleseu
1239,achito69
1240,achivald
1241,achna
1242,achorosz
1243,achschach1
1244,achtungus
1245,achudek
1246,acid2115
1247,acid4205
1248,acidburn20x
1249,acidde
1250,acideq
