player_index,username
0,69bigdickwillie69
1,a4861
2,albertopoggers
3,albert_88
4,alexanderchoopin
5,alirezataban77
6,alkeymist
7,allahman
8,andonidi
9,antoine1786
10,appelros
11,aquiles_castro
12,arnovan
13,arzugar
14,asillyname
15,asti75
16,astlm15
17,avgc_xii
18,badat69
19,bastos2118
20,bawof
21,ben_johnson_gold
22,bernoull1
23,big-rig69
24,billyg01
25,bitcoinbarry
26,bixely
27,bloupo
28,bocemb
29,bri0
30,bronnthedon
31,buaiso
32,budziarz
33,carlsenmagnus04
34,cesanh
35,ch3141592
36,chesskingcrushu
37,chessrom
38,chicksaw
39,clajx
40,conassada
41,corsa5
42,crabman420
43,crhone
44,damipkgf
45,darthbowen
46,da_vinch
47,deedjerush
48,deeteee
49,dipripley
50,dudedude888
51,duran4783
52,dylanodegard
53,edgecdec
54,ekgaanwen
55,elcheriff
56,el_sala
57,empereurnathanxxi
58,estewey
59,et71
60,eviden
61,exlexrex
62,faithfulgoldfish
63,fila0
64,finagglethesituation
65,flautusflautus
66,fleurdumale
67,franko81
68,fried_liver4
69,frijolfurioso
70,gazzak
71,germanmc
72,giuntone
73,golzfild
74,gonzalto
75,gorfang
76,hal42hal
77,hasenkot420
78,hoilung
79,honzicekvu
80,iaritz1205
81,ice157
82,ijibby
83,ikdor
84,ilyax_x
85,in_suspiria
86,ionlydrawpictures
87,isd65
88,ivankalyaev
89,ja81
90,jameswmoriarty
91,jantango
92,jaseperi
93,jben5
94,jd2137420
95,jdjdjdjdjdjdjdjdjddj
96,jetdean
97,jiohooe
98,jmcollado
99,joanet_caminador
100,joec2020
101,johnmighty
102,jplg
103,juanmj
104,judgebay06
105,jumbojimmy
106,kalvis1
107,karlsson1
108,khunchris
109,kokajin
110,kommandant7
111,kuuratz
112,laikoss
113,lee1029
114,leod777
115,leoducho
116,lodysseusl
117,lorymoney
118,los_pollos_h
119,lucyjackson
120,maelick
121,magnus_carlsen_jr
122,maksima75
123,marc101101
124,matthew_miller
125,maximumplank
126,mcnword
127,meekoboe
128,micejoki
129,micka0708
130,mlukchess
131,mmma97
132,mrchessychan
133,n1c4named
134,nebylos-marvel
135,niezlyananas
136,nimportequi21
137,norksen
138,ocellot
139,ogt_rapaz
140,pintxewei
141,plutka
142,pochemychker
143,quattpucci
144,queenguineapig
145,ramzes00
146,raoulette
147,romgas
148,roost01
149,rossomullane
150,sambomcnutt
151,sam_the_eagle
152,santi27arg
153,sashifoxi
154,schnouzaff
155,schopengarden
156,scipioamericanus
157,sha11owb1ue
158,sharcashmo
159,silvan0ne
160,skullcrossbone
161,soleilmartien
162,souplovr
163,spacebar
164,spitzer88
165,stevestracciatella
166,stockportdave
167,supera83
168,swaggcombs
169,sydneymerlot
170,teddy701
171,temoc_999
172,thechesstronaut
173,themanygrams
174,theopajo
175,tobias_lulio
176,trico7ores
177,tsafy75
178,txotxomin
179,tzwl
180,ugmi
181,urbanger
182,urrutikoetxea
183,vadim_o987
184,verbalkintsoze
185,vucicaleksandar
186,whoamidevil
187,wigginsbane
188,willyin5
189,xakemate85
190,youreach_iteach
191,yungparrot
192,zigalay
193,zualoi
