player_index,username
0,0089897996969964
1,00_porto
2,01kaine01
3,01ralphmister09
4,04andre02
5,0blivion0
6,0bserve4
7,0danielneves0
8,0live
9,0mrcunha0
10,0npc0
11,0otico
12,0pedrpereira
13,0rlando01
14,0stracci
15,0xdels
16,0_hellofriend
17,100stressa
18,10inho
19,10rmc10
20,111potter111
21,11nunoalmeida
22,123456789xi
23,1234icce
24,1234mc
25,123carol
26,123isabel1230
27,123olireira4
28,12galinhas
29,12pgs12
30,1337br3akatanaz
31,13djembe
32,150nemconsidero
33,17jonas999
34,17tatu
35,18frederico
36,1906_francisco
37,1965moma
38,1971ricardo
39,1975pedroferreira
40,1977mc
41,19920315
42,1992dani
43,1asm1
44,1avip1
45,1barb0sa
46,1bisk8
47,1derbad
48,1derhoax
49,1derinter
50,1eu1
51,1hdhkd
52,1head1mouth
53,1joaodias7
54,1j_miguel_j1
55,1kiai
56,1ns4n3_j7
57,1patriota
58,1pedrogoncalves1
59,1shad0w1
60,1tantodetinto
61,1tonisilva
62,1tsame
63,1ykusa1
64,2020diana
65,2045o
66,20ardnas20
67,20comer100querer
68,20comer100saberjogar
69,20dl14
70,20griffin00
71,212gaspar
72,21passos
73,239slave
74,24tm95
75,299franciscaromero
76,2am_moon
77,2claudemonet1
78,2fast4you96
79,2hot2touch
80,2kingrodri2
81,3000elo1
82,314pk
83,31cm2
84,34emanuel
85,34itanz
86,3agirassol
87,3cookiedude
88,3dandre
89,3du6ou
90,3duda
91,3lademaster
92,3snow
93,420conan321
94,420yungtito
95,43iq
96,44bart44
97,472farias
98,4deespadas
99,4is20ver
100,4l3x26
101,4lmeid4
102,4lucas2016
103,4mike42
104,4riskas
105,4slow
106,4wheeler2
107,4zy
108,53rg1o
109,53_inesss
110,550pilot
111,5entry
112,5headkekw
113,5jjjjj
114,5pawnmoves
115,5quina5
116,60nca10
117,619digas619
118,69_pro_69
119,6avern9
120,6coochiemaster9
121,6diamaro1
122,6hunter
123,6typos9
124,70maz
125,71gasparov
126,72alfie27
127,781203
128,79afonso
129,7evenonearth
130,7jess
131,7oaomi9uel
132,7selo
133,88nn88
134,8carlcox8
135,8ctopus
136,8jo8
137,8towerpower
138,8yon
139,95dc
140,98vm
141,9a20gaiacoolgaia
142,9falcao
143,9filipesilva
144,9il
145,9merricat
146,a10zfl1t0
147,a1111500
148,a393
149,a3dog799
150,a58128
151,a74732
152,a8096
153,aabrantes
154,aace27
155,aacohen10
156,aadagaspinheiro1
157,aaegis
