player_index,username
0,0kght0
1,777_rahul
2,aaron7673
3,abigol
4,abulabula
5,afellaydemir
6,ageneric1
7,agnidevauttama
8,airxrick
9,alexcobom
10,arthur33200
11,axoland
12,b0b1122
13,batmandark2021
14,bigtol
15,bimchi
16,bliiind
17,chess9131
18,chesseonbread
19,cmoi2020
20,crnnburg
21,damiaogal
22,dcmf00
23,donilele
24,erayzah
25,erikh82
26,feelsgoodmanclap
27,fisher84
28,fjbuendia
29,floreschess360
30,floripondia06
31,francomasga
32,garrykass
33,ghonn
34,gregstony17
35,gtgguild
36,haeggs
37,harrivan
38,hatetheplace
39,hydrazop
40,ifmyo
41,ilikos
42,jamesbrems
43,jeandearve
44,joku_yoshida
45,joostandowi
46,jose_tristan
47,jsylvia
48,kneebuhr
49,kobler
50,laflin
51,lasersawkoalapaw
52,legalpaprika
53,loss1loss1loss
54,lupu_ionut
55,madruss1an
56,makatmavet
57,martinsjeldenerhomo
58,mertoyagami
59,mihandr
60,mikelmujikaeu
61,minority_hunter
62,miyagidojo
63,mondongon
64,moonbeams3017
65,mullder15
66,nanwich
67,neverthemind
68,nimso
69,nonqwerty
70,ntyr
71,ogeba
72,pandaypira
73,patricketoiledemer
74,pickenhauer
75,plitzlicht
76,public_garden
77,puddingcorn5
78,pw75
79,ricklaurenz
80,rid588
81,rogerverbalkint
82,sebbydana
83,shatranj_chess
84,sidzi
85,sigisigi
86,sixthmedic
87,terraformlaluna
88,thechessplayer1996
89,therealamazingalien
90,thisishono
91,tkeletor
92,tobacco_addict
93,tonychesstony
94,tttpo
95,v8powerage
96,vallabhva
97,vc1
98,won2518
99,woofwoofx16
100,xjonny
101,yenda
