player_index,username
0,007jbpy
1,02j06m53i
2,0985133709
3,13_tuyuti
4,14ofjuly
5,15813
6,1freezer
7,1lucastorres
8,2019bruni
9,245q2dfas
10,321maxxi
11,370072
12,4ndr32va0376
13,6282404
14,6bphmth6
15,a7902282032
16,aaaleexx
17,aadt-99
18,aaronbp09
19,aatf95
20,abantopy
21,abc24d
22,abel342
23,abel34263959
24,abelbog
25,abelfleitas
26,abelmancuello
27,abfpy
28,abogadorecalde
29,abrahan19945109
30,abrahan3000
31,abu310
32,acarlstein
33,acero95
34,achias
35,acs1978
36,acubo
37,acuna007
38,aczino1998
39,adastra293
40,adictx
41,adilosn
42,adolfmf
43,adriano322
44,adrianpapaa
45,adripe
46,adri_acunha
47,ads1960
48,adwiegold
49,aedan111
50,aenrique14
51,afichamps
52,ageob8
53,aguacateconmango
54,aguantecerrokplu
55,aguara
56,aguarasur
57,aguedacardozo
58,aguila97
59,aguilera96chess
60,agusgamer6
61,agusn05
62,agustinmorales2822
63,aharonemery
64,ahmaddhass
65,aivlisch
66,ajedrezemperor
67,ajm220
68,ajota007
69,akairopy212
70,alaerte
71,alan67678
72,alanalexisa
73,alancasco
74,alancito210
75,alankarajallo
76,alannartu
77,alanrolon
78,alantaboada
79,alanyu69
80,alan_565
81,albemar
82,albertitoluis
83,alberto1113
84,alberto1983
85,albertoacosta011
86,albertobarrientos
87,albertoesquivelg
88,albertomartinez1994
89,albertosan123
90,albert_centurion01
91,albirroja007
92,alboutsa
93,alci77colman84
94,alcides16
95,alcides2002
96,aldairroman
97,aldo00007
98,aldoalopez
99,aldopaul
100,ale4595
101,ale4884
102,aleaynon
103,alecent23
104,alecz_ulivi
105,aledark
106,aleemarecos
107,alefleitasch023
108,alegianni
109,aleimarp
110,alejanchess73
111,alejandraguillen
112,alejandro26062001
113,alejandro618
114,alejandro9601
115,alejandroachucarro
116,alejandrocabeza97
117,alejandroe1000
118,alejandrokale
119,alejomartinez851
120,alello13
121,alelopez1520
122,alemax123
123,alepro10gamer
124,alerachid
125,alerivas91
126,alermrz
127,alesanc
128,alesgsi
129,alevera
130,alex01122335564
131,alex28030
132,alex8699
133,alexale2020
134,alexalvarenga
135,alexbenitez_18
136,alexberhm
137,alexbrizuela
138,alexgraph
139,alexisaliendre
140,alexisalonso100
141,alexisbruno1998
142,alexjbd007
143,alexjhon
144,alex_py
145,aleynsfran
146,ale_17
147,ale_diaze
148,ale_ingles
149,ale_jos
150,ale_murys
151,alfil7902
152,alfilrojo
153,alfredoqui98
154,alfrenault
155,alfrestrauths
156,alfrexd
157,alfre_chuso
158,aliciaesquivel
159,aliciazf
160,alicio386
161,alika2204
162,alinebdomingos
163,alisaads
164,aljocava63
165,allamosas
166,alpha1one
167,altherra
168,alvararguello
169,alvarito81
170,alxvel
171,amartin2
172,amazingmood
173,amca9
174,amdiarte
175,aminmanu
176,amitanan
177,amonandpain
178,amontema
179,amontema09
180,amp50396
181,amt85
182,anagako
183,anatolyjonhykarpov
184,andercuevas
185,anderkennedy
186,andertsai
187,andre4111
188,andrea7107
189,andreacostaflecha
190,andreafb
191,andresito03
192,andresorrego
193,andresthekiller_py
194,andrestibia
195,andres_barreto
196,andres_gomez
197,andres_tole
198,andrexter26
199,andriusanfer
200,andro_ss
201,andrumendoza
202,andydiaz2008
203,andytej
204,anesthesiaa77
205,ange951
206,angeeeela
207,angelcaridad1952
208,angelofranco884
209,angelopez020
210,angelpy
211,angelraidan
212,angel_coronel
213,angie016
214,angie89py
215,angore
216,anibal0513
217,anibaltorres01
218,anonimo9310
219,anselmob9957
220,antcantero
221,anterra051
222,anthuanhair
223,antonio017
224,antonio7006
225,antoniobogado17
226,antoniosigner
227,anzeta
228,aortizpy
229,apollo20000
230,apolo195
231,apostropheez
232,ara6711
233,arangova
234,aravera
235,archieferg
236,ardrews
237,aresqc
238,arezgod
239,argarich
240,arian971
241,ariel436
242,ariel5991
243,arielalmada
244,arielcaballero68
245,arielcaceres2
246,arielelizeche
247,arielkp
248,arielrejala01
249,arielschuartzman
250,ariel_garcia_py
251,arissama
252,aristides78
253,armandospxp
254,armaroldan7
255,arnaldodavidgonzalez
256,arnaldoguillen
257,arno420
258,arnol1974
259,arnoldmayeregger
260,arodriguez33
261,arranca
262,arse58028
263,arsenioarambulojara
264,arseram
265,artemiohuespe
266,artfghsx
267,arthurjv
268,arthurtkgg
269,artianuwu
270,artogon
271,artuacevedo
272,arturexit
273,arturo410py
274,arturochess8
275,arturolocio
276,aru_169
277,arzhael
278,asdpy
279,asekl
280,asheront101
281,asm1987
282,aspiranha
283,assisfilho182
284,asteroide595
285,astr0101
286,at0mest
287,atacktigre2
288,athlonpy
289,atisio77748
290,atoditore
291,atoman90
292,atomopy
293,aufer1989
294,augus86
295,augustocardus
296,avelgonzalez
297,avicii1989
298,axelm084
299,axeltellez21
300,axlkev
301,axn8
302,ayalacesar
303,ayalanoe
304,aztecamaia
305,azuligrana
306,babyelrasta
307,badfish420
308,banfiss00
309,banquit0
310,baracusm
311,baranskid
312,barbaing
313,barmd
314,barret01
315,barto314
316,barua00
317,bastiandash
318,basu00
319,battiermaple633
320,beast4k
321,bee183
322,belenfleitas
323,bellachaopy
324,belong1327
325,beluuoc
326,bencho7
327,benedicto_sugastti
328,benja_melgarejo15
329,benjro
330,bennypossum
331,benru79
332,bercaballero
333,berniharp
334,bessegatt0
335,betobogado
336,beto_kasparov
337,betto932
338,betux
339,bh840
340,bibz99
341,bic8725
342,bicho433
343,bicho7902
344,bigfrodo333
345,bilard0
346,birhoff
347,birra98
348,bishop_pyo
349,bizarab
350,bl4ckhunt
351,blackman_012
352,blackowl276
353,blackwolffd
354,black_kaiser98
355,bladerod
356,bladi282
357,blas217
358,blasvive1
359,bmbenjamin
360,boasovietica
361,bobmarpy
362,bolche30
363,bossanova47
364,bourbongirl
365,box010
366,brian_98
367,briggeth_301
368,brizuela837
369,brodofolson
370,broker8822
371,brujadearena
372,brun099
373,bruno0808
374,brunofg0
375,brunog17
376,brunoplanas
377,brunoracca
378,brunoriv24
379,brunosmar
380,brunotexs
381,bryanperea
382,bucle2
383,buzarquis
384,byleon7
385,c4rusian
386,c4russian
387,c4r_l05
388,caballomocho
389,cabalopiri
390,cacl1976
391,cainsf
392,calde87
393,caleidoscopioo
394,callatevirgenjajajja
395,calofi5to
396,calvarenga96
397,camell97
398,camiflores98
399,camiiortiz
400,caml
401,camperitoo
402,capablanca20203
403,capadelmedio
404,capamoroti19
405,capanegracasigris
406,capibara21
407,captainj4ck
408,cardozo72
409,carigol9
410,caringoyster
411,carletox10
412,carlimieres
413,carlnus_magsen90
414,carlos6046
415,carlosa99
416,carlosen2594
417,carlosferreira2020
418,carlosfrumor
419,carlosquiindy
420,carlosrav
421,carlossanabria9
422,carlossla
423,carmen819
424,carp311
425,carsegovia
426,catalinalagrande
427,cauanliima
428,cauchy17
429,cautiousbutton
430,cavalo27
431,cayala083
432,cdoming96
433,cechauri
434,ceciliasoledad
435,cellbutikkparaguay
436,cellosofia
437,celsodaniel
438,celsom98
439,celsowiilianesp
440,celta_cabrera
441,cent81
442,centfunes
443,centraldefender
444,centumauri
445,cerro_portenho
446,cesaram59
447,cesarcanete
448,cesardoldan
449,cesarios
450,cesarito2020
451,cesarnah11
452,cesarorti96
453,cesarpolo
454,cesarsandoval92
455,cesarsmerdel
456,cesarvm
457,cesarzaracho
458,cespedes0125
459,cess7902
460,chachi10
461,challengernumberone
462,chaloovi
463,charlie2610
464,charlymatiauda
465,charlysenpai
466,charlytorres
467,chavopy
468,che55_p1r1t0
469,chechoparedes14
470,cheedavid
471,cheeselion
472,chelobruy
473,cheloneu
474,chemaarias
475,chensky20
476,cheo357
477,chesitos94
478,chesscohol
479,chesskillfx
480,chessmate0202
481,chessovo80
482,chessproxdddd
483,chester098
484,chgr77
485,chiaravera
486,chiaretta18
487,chicochu
488,chila17
489,chilav
490,chilu90
491,chingu2
492,chinovez
493,chito1975
494,chito89
495,chiuzano
496,chochipy
497,chopper100714
498,choripanasesino0077
499,chrijedrez
500,christianchip
501,christiancs91
502,chronojun
503,chudovischi
504,chumbidelarosa
505,chunior
506,ciclon1912
507,cielorecalde99
508,cindyb22
509,ciro018
510,cjtorresh
511,cla5454
512,clara488
513,claterza
514,claumeriv
515,clelia99
516,cleverperalta
517,clocla54
518,clutteredclient
519,cmjnestoruiz123
520,cmvi82
521,coccol_ramr
522,cochicde
523,cocomenez
524,code9029
525,coffeefw
526,coki182
527,comando22
528,conejosalvaje
529,consuladoboi
530,coti99
